;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri
30;;2015-02-01;;;;RS;Titular;0837dc08-4480-4c7f-b915-bcc3028d64e9;b27beba7-ca02-4041-a9e0-1793bcd141fe;3995cc07-eb48-43cd-8db3-41c70651ca53
31;;2015-02-01;;;;BA;Titular;d845b6f8-10b1-4498-a4c7-9b16f3fd3d8e;b27beba7-ca02-4041-a9e0-1793bcd141fe;ce859e18-3f32-471a-884d-352c3a52c96c
32;;2015-02-01;;;;PE;Titular;d05a2348-1292-4153-8881-5a14020f2e91;b27beba7-ca02-4041-a9e0-1793bcd141fe;f28d77be-9bfa-44c1-b24e-7897c26b18bd
33;;2015-02-01;;;;SP;Titular;e85fc6ac-f494-40cd-ac5e-e736d44ffd0d;b27beba7-ca02-4041-a9e0-1793bcd141fe;29ccc61f-df09-4dc1-b259-32ee072e7779
34;;2015-02-01;;;;AM;Titular;c5ed41c7-4fe4-432d-8474-d09c41bc799c;b27beba7-ca02-4041-a9e0-1793bcd141fe;c0ad5cc6-dd09-49da-a66e-30ca4c1d7ec5
35;;2015-02-01;;;;BA;Titular;0c57f705-613f-4613-9460-7f3e9c002243;b27beba7-ca02-4041-a9e0-1793bcd141fe;263a9ef9-4c12-4424-b580-71a8510184a7
36;;2015-02-01;;;;DF;Titular;63e04d59-0528-4020-ad23-d7b62eef133a;b27beba7-ca02-4041-a9e0-1793bcd141fe;f9b829b2-c211-497a-8ff7-ee7df9681e0d
37;;2015-02-01;;;;MG;Titular;f07fbb88-be11-437f-89f1-f223820b8d2f;b27beba7-ca02-4041-a9e0-1793bcd141fe;3353a2a8-29a0-4749-aa07-aff9ffc77142
38;;2015-02-01;;;;MT;Titular;fce00a76-9f79-4704-95ad-a542f50c9028;b27beba7-ca02-4041-a9e0-1793bcd141fe;38f9cd47-616c-4730-b3eb-cb367d2e20fe
39;;2015-02-01;;;;BA;Titular;f32333f5-5b5f-4605-8bc0-3c0e93dff770;b27beba7-ca02-4041-a9e0-1793bcd141fe;cc0fe053-b930-400f-afe9-8858621ffa19
40;;2015-02-01;;;;RS;Titular;52af8894-d021-4912-a7e0-57b6b26b7592;b27beba7-ca02-4041-a9e0-1793bcd141fe;c444971b-6fbd-4e3a-ae62-ac13d686cffc
41;;2015-02-01;;;;CE;Titular;96969e69-0f2b-483b-acb5-eb22a82e298a;b27beba7-ca02-4041-a9e0-1793bcd141fe;87b71030-9774-4494-af37-319ddfb375a4
42;;2015-02-01;;;;AC;Titular;61f7ea77-6407-44d9-99c3-2f98585a56fb;b27beba7-ca02-4041-a9e0-1793bcd141fe;7e91e463-bb27-4170-8d64-aa1400a20884
43;;2015-02-01;;;;SP;Titular;3ee5a812-ec75-43f8-958e-21196c005016;b27beba7-ca02-4041-a9e0-1793bcd141fe;19fff501-dfdf-42a5-a614-a47789abe58e
44;;2015-02-01;;;;PR;Titular;d548d3b1-3502-41c4-ab31-cc0d56d3c1f7;b27beba7-ca02-4041-a9e0-1793bcd141fe;baef5f63-3aad-4bb3-9378-f4c7853249dd
45;;2015-02-01;;;;SP;Titular;55712da3-d7c4-41f2-b748-cf71799bd668;b27beba7-ca02-4041-a9e0-1793bcd141fe;867c1fee-d2ff-4717-8c8a-dd144029079c
46;;2015-02-01;;;;RS;Titular;d49c3c30-65a5-4cfa-bf6c-7ede13df4292;b27beba7-ca02-4041-a9e0-1793bcd141fe;982b2987-8d34-485f-b43b-ad9e141a0dd1
47;;2015-02-01;;;;RJ;Titular;811ecd44-2061-4a0e-89c3-d942ccac1a93;b27beba7-ca02-4041-a9e0-1793bcd141fe;568239a7-fa49-4c47-844a-b10a3d4beeba
48;;2015-02-01;;;;RS;Titular;71ac4b25-b727-495b-b5a2-f823e74bc527;b27beba7-ca02-4041-a9e0-1793bcd141fe;83a71416-7cef-4059-8c68-13e5cdc0d92d
49;;2015-02-01;;;;RJ;Titular;e73a4c47-881c-4c14-95c5-91ab9447b4f5;b27beba7-ca02-4041-a9e0-1793bcd141fe;658cdd56-d704-4348-bfeb-1abe62f73b3a
