org:role;slp:resource_uri
e2f00461-94a9-48b5-89ef-16f4c57be688;7b210070-df61-11e7-97e9-c82a144c0a85
888c19b8-6a1b-40c7-9ea1-c2beb397b6e8;7b2138a6-df61-11e7-baf1-c82a144c0a85
2c5b3fa7-279c-46db-9e0e-07f8c47c5f2a;7b212d98-df61-11e7-95f7-c82a144c0a85
ffeacfe8-c785-43c3-a9f0-dd52fbb360e1;7b210e1c-df61-11e7-b99b-c82a144c0a85
a3ef9a4b-a290-449f-95f7-bdf0f60b7f1d;7b212b86-df61-11e7-9f98-c82a144c0a85
3c4cf242-fd4f-4a67-9a0a-d8304de72ce6;7b210070-df61-11e7-97e9-c82a144c0a85
0aa100df-dfc6-426e-a43f-a4eeac797f58;7b210cfa-df61-11e7-9864-c82a144c0a85
e029b22a-5aaf-4141-9008-542a5627497b;7b2139c8-df61-11e7-8d64-c82a144c0a85
63afa513-31c3-4581-8dc5-101fe68da0ee;7b212b86-df61-11e7-9f98-c82a144c0a85
b599e100-fceb-4ec2-ac3e-b709f4572659;7b212e92-df61-11e7-aaf4-c82a144c0a85
595d96e3-5a7e-4681-abc2-3f2962734824;7b210cfa-df61-11e7-9864-c82a144c0a85
7e09494a-45cc-4965-b2f5-b458c2e4846a;7b211b34-df61-11e7-b235-c82a144c0a85
faaa7565-b70c-45a0-8331-9b0499f9089f;7b210cfa-df61-11e7-9864-c82a144c0a85
81bcd975-a1f8-47c2-b594-a001b3a3b5d9;7b210cfa-df61-11e7-9864-c82a144c0a85
e67a489c-edce-4570-8189-e591da21a324;7b210cfa-df61-11e7-9864-c82a144c0a85
7ba5ffab-d452-43ea-8701-0abdc49d4421;7b210cfa-df61-11e7-9864-c82a144c0a85
036158d7-cad9-4e96-b2c6-f742934caba2;7b212e92-df61-11e7-aaf4-c82a144c0a85
1c0aedb3-dc66-4447-a718-807f91df35d4;7b214350-df61-11e7-b1a0-c82a144c0a85
3cf35f2f-94b6-4ff2-96e4-9e3c332e7981;7b212b86-df61-11e7-9f98-c82a144c0a85
66c5518f-9111-4349-aa4f-e0ab07ac38f2;7b212b86-df61-11e7-9f98-c82a144c0a85
b5f244c6-943b-487b-bb37-624e4c4d06a4;7b210cfa-df61-11e7-9864-c82a144c0a85
0ddaca8b-f949-442b-860c-72bf62684f78;7b210cfa-df61-11e7-9864-c82a144c0a85
4127a6c0-430e-4f5f-bd07-ce19b1b58ee9;7b2148e6-df61-11e7-b174-c82a144c0a85
2ab7f7f2-18c2-4338-8fe2-561fae14bcca;7b210cfa-df61-11e7-9864-c82a144c0a85
b6df56ec-38f6-4388-94e4-bbcd42efb915;7b212e92-df61-11e7-aaf4-c82a144c0a85
eb2c5313-7e8a-449b-ad05-e390e3a75dee;7b21046c-df61-11e7-8094-c82a144c0a85
47b20aef-e8fb-42e1-9cc6-efeaf211234f;7b21184c-df61-11e7-a6b7-c82a144c0a85
856f75b9-ec4d-4ce6-914d-a9791805b6cd;7b20ed7e-df61-11e7-bb65-c82a144c0a85
c8b98e39-f670-412b-a4df-4574e84eaae0;7b21046c-df61-11e7-8094-c82a144c0a85
ea395bae-352b-4e3f-8f46-6b26cbe5d174;7b212e92-df61-11e7-aaf4-c82a144c0a85
6a014157-8191-4f97-b960-804e699c169c;7b212b86-df61-11e7-9f98-c82a144c0a85
a1e148d0-0ab5-4f00-9334-80b710227265;7b212e92-df61-11e7-aaf4-c82a144c0a85
04c38899-9ae3-4e81-9ce8-aba06a7d238f;7b211b34-df61-11e7-b235-c82a144c0a85
08c0d63d-96da-4223-957d-9e5085752830;7b212b86-df61-11e7-9f98-c82a144c0a85
dad126fe-8c90-46bc-b9eb-ecd97282e4a0;7b21152e-df61-11e7-bdcf-c82a144c0a85
be63c640-a2eb-49a9-9e8a-940c4d2afb25;7b210cfa-df61-11e7-9864-c82a144c0a85
b94a4471-8be2-429a-b6f1-ae9b3d1df278;7b20ed7e-df61-11e7-bb65-c82a144c0a85
169fad45-164e-493b-b07b-ced9dbb11c2f;7b2139c8-df61-11e7-8d64-c82a144c0a85
2e24f63c-2d79-47e0-9fa8-759e368e555a;7b212e92-df61-11e7-aaf4-c82a144c0a85
710041e1-ccaf-4fa3-bbfb-96718349d6de;7b210cfa-df61-11e7-9864-c82a144c0a85
eab59870-9a53-4f86-9df2-cafbc33e9089;7b21193e-df61-11e7-8869-c82a144c0a85
090bcad6-143c-425f-bd71-50bc870efb41;7b212e92-df61-11e7-aaf4-c82a144c0a85
41530e95-e394-4f28-be15-477d0717c3f3;7b210cfa-df61-11e7-9864-c82a144c0a85
2dc14181-7367-417e-a62a-ec36801bdf7f;7b210070-df61-11e7-97e9-c82a144c0a85
3cbaf6f8-e469-4083-950e-d7a4af857f7e;7b21152e-df61-11e7-bdcf-c82a144c0a85
5f4de16d-1f93-4a6f-b67e-cdeb35efd3c6;7b210cfa-df61-11e7-9864-c82a144c0a85
d2f5b4c6-801a-4193-a63e-ac3859cd2086;7b21224c-df61-11e7-8bf0-c82a144c0a85
d57fa78e-21aa-4384-acae-03209b7e31a9;7b210cfa-df61-11e7-9864-c82a144c0a85
1a88668e-6e37-4874-aa28-6b1881ad0981;7b2138a6-df61-11e7-baf1-c82a144c0a85
ea2112e0-ef9e-4ca4-9938-1209d264ec61;7b213e50-df61-11e7-918f-c82a144c0a85
edb92020-c031-4123-a996-5d94479b9942;7b2132de-df61-11e7-8882-c82a144c0a85
93ea7778-85d6-4cfd-ace5-17be95701497;7b212e92-df61-11e7-aaf4-c82a144c0a85
982b9a9b-d82a-44e3-a805-30f118cfe97c;7b210070-df61-11e7-97e9-c82a144c0a85
0eb42367-f80f-4682-8e6e-c79f6fa189f3;7b2138a6-df61-11e7-baf1-c82a144c0a85
d7590892-c64d-456c-8d5e-2da7b4afaad7;7b2148e6-df61-11e7-b174-c82a144c0a85
1292709e-9214-49a5-8909-9364061644fc;7b21193e-df61-11e7-8869-c82a144c0a85
9a8fe968-7483-4b9d-a1f9-48d75d4737fc;7b211b34-df61-11e7-b235-c82a144c0a85
fcbe70c2-282d-4f8c-b0f6-ffc8c0fca794;7b212c9e-df61-11e7-a12b-c82a144c0a85
d19b2711-75cd-448a-80bc-30808aca08ad;7b2138a6-df61-11e7-baf1-c82a144c0a85
aa1654dc-9881-4d99-a4eb-b905d3986824;7b2138a6-df61-11e7-baf1-c82a144c0a85
995006f8-bf17-4868-a176-8c6411382de3;7b2109d0-df61-11e7-a4af-c82a144c0a85
fa42b775-6e14-4a52-9993-969df0080c76;7b2139c8-df61-11e7-8d64-c82a144c0a85
067a9ac1-4549-4c04-90e5-23d1c85b1991;7b2138a6-df61-11e7-baf1-c82a144c0a85
dc18a8f6-61d5-4970-8e34-e17d512244cb;7b2148e6-df61-11e7-b174-c82a144c0a85
881bd74e-ee5f-4355-9e45-6c267c85f731;7b210070-df61-11e7-97e9-c82a144c0a85
bf11665a-3c46-4dc5-8f66-f33fb137d23e;7b212c9e-df61-11e7-a12b-c82a144c0a85
e8641b63-bd0f-47fc-8c06-03241b47e67c;7b210cfa-df61-11e7-9864-c82a144c0a85
c421db3a-4bc6-454b-8171-bd272596bccd;7b212c9e-df61-11e7-a12b-c82a144c0a85
a13e22d6-475e-49b5-a975-812b77345fea;7b211754-df61-11e7-86d7-c82a144c0a85
739a5155-4d0e-479e-ba0d-d26faf6e808f;7b212e92-df61-11e7-aaf4-c82a144c0a85
98449729-1563-4131-b617-e0cc0942494f;7b212e92-df61-11e7-aaf4-c82a144c0a85
c6a64886-8b48-4e2f-aa17-af662d23b190;7b21046c-df61-11e7-8094-c82a144c0a85
6274ea31-cd6f-4437-a377-bc93d747519a;7b2138a6-df61-11e7-baf1-c82a144c0a85
66e15db2-2307-4c16-a48d-38d8633bdab8;7b210070-df61-11e7-97e9-c82a144c0a85
5c44374e-f5ad-4404-ac9c-f709881a590a;7b21297e-df61-11e7-8546-c82a144c0a85
13433612-01a8-4bb0-8332-080a88ed241d;7b210cfa-df61-11e7-9864-c82a144c0a85
93df2ef8-e662-4362-9929-a3cc2df29e2c;7b211a38-df61-11e7-b1b8-c82a144c0a85
13e212af-e51e-41f2-80d0-865564c193f1;7b212d98-df61-11e7-95f7-c82a144c0a85
77c7f89a-5f0c-49d6-b484-98f9204d2517;7b2138a6-df61-11e7-baf1-c82a144c0a85
4cf8f661-30d5-458a-8ad8-8fc74755fe0a;7b21152e-df61-11e7-bdcf-c82a144c0a85
7c2c3f3b-1bc2-43e7-bafa-612201996d3f;7b2139c8-df61-11e7-8d64-c82a144c0a85
2e2670c3-7362-4469-abcd-5860ef3f24ec;7b21046c-df61-11e7-8094-c82a144c0a85
5d68f433-f955-43fb-9a3e-e6ee75362c35;7b212d98-df61-11e7-95f7-c82a144c0a85
d96802ba-bf3e-4f88-8426-0773d616b68f;7b210cfa-df61-11e7-9864-c82a144c0a85
2ca17962-97a3-4139-9552-8fdbb1e4bf9c;7b210070-df61-11e7-97e9-c82a144c0a85
7850c9b4-2483-492c-8a1e-08e92f7aea4b;7b212e92-df61-11e7-aaf4-c82a144c0a85
202ffe71-8039-4761-99e9-0b55171da32f;7b210070-df61-11e7-97e9-c82a144c0a85
9107b2e2-92cb-47de-9689-bc37913a4630;7b21152e-df61-11e7-bdcf-c82a144c0a85
27d35d47-084f-49cf-b249-eec55ac7bc4e;7b2138a6-df61-11e7-baf1-c82a144c0a85
919deffe-f310-4c68-b55c-65727f0f5fd6;7b210cfa-df61-11e7-9864-c82a144c0a85
34e2028d-6ea1-490e-b002-0fd2f8d68da8;7b2138a6-df61-11e7-baf1-c82a144c0a85
3d572295-f759-445b-b204-6a78b402c35f;7b20ed7e-df61-11e7-bb65-c82a144c0a85
343f8cff-b809-4463-90f5-7f12db69401a;7b212b86-df61-11e7-9f98-c82a144c0a85
647932ba-73dc-4c9c-99e9-45c92482d2c3;7b20ed7e-df61-11e7-bb65-c82a144c0a85
c0e6daca-f5b3-464e-b15c-f234910504b4;7b211b34-df61-11e7-b235-c82a144c0a85
c56e4856-c387-4c7a-9b76-3f695d39c407;7b210cfa-df61-11e7-9864-c82a144c0a85
