slp:resource_uri;org:role;org:postIn
35c01901-2cca-4d0f-b244-dd7cf2157137;22a2ecf6-5f03-4da9-bc89-48319d152403;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
bfd204ea-f6e1-4e95-878f-e446c2a901fc;dc66ab57-90b8-437b-a29c-aae35cbf2ac1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
4505615a-02e5-4dd1-8ed4-81e79de0ea54;467f2a3e-6c7b-4234-9f62-27cf83588db0;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
ad073298-7f8a-4977-a306-54ee3b3cb906;c2d4abc4-a53c-439b-92af-a529c9edd339;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
c98664fd-a4f8-46b0-a198-be4deff2f62a;7f059d97-18e2-4053-8116-43636eab4de2;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
0e8024e8-3bbf-4730-86b9-d9f513a90d9f;3fe10739-a2c8-40f1-b429-f58f1950a45b;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
7149e5f1-dc63-4630-a1cd-5102c3e802ab;23ff1598-9e40-4906-bf71-051459ac2010;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
a3688889-abbb-4835-817d-9ed61d582a26;747c9708-46c6-4249-8675-e702b36c5d87;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
f3417711-2533-4468-8d75-1fce4c62ad6b;05d61f56-f5a6-47db-81c0-1360c131483a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
296bd4bf-2e2e-4b46-99a4-2908b1de3115;54bb5293-1c0c-43b2-932a-ea65f16b96b5;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
c83322b5-c2cd-4748-bb16-980f2f739bfa;45deb600-6f30-46d9-b134-62e320cbdb23;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
df4d8958-c323-4d50-bb08-1be7baa1c231;3f624545-69b1-4993-8380-31f85317c7b3;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
7c063b70-7157-438d-96e7-3e15afb83f31;b6f8ed55-5cc9-4b50-86ab-4a3c3623d7c8;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
bcfc45d7-8ebb-4f1e-b303-4c13d0427aeb;6ba5f856-1f4b-426c-b25c-e480834247f6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
198a3768-e924-4cd5-a569-e5412564f6c5;726b9428-9153-4eac-b0eb-81a45fed0f8b;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
d1a6ce29-4086-489a-9811-8d85e9e26491;b0244ddd-137b-4150-a887-bfd78c889f9c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
a2a2275d-84b5-4f48-b2e7-f01063efaddb;19053c27-584d-4f77-9a6b-c6a25eb9b372;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
d6df73e5-8627-4602-8ba2-30d0095b1e59;2107ee8d-b738-4c7b-b7d7-a506fd57bbc4;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
b6b9185f-5995-41ba-9db4-2fdede0a0b5a;b538b5e9-5c85-4762-931a-90be98228e5e;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
9730cb02-1d4c-4e9f-b17d-48ea9ce392c5;29684710-3705-4c05-ab07-8e1dab38893a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
1d946f50-a6de-4870-9f5b-d07e0b7d70dc;ec6ff8eb-51ef-46ea-9509-0865c295ebb7;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
bdcdff89-d72e-45fe-b975-81183ff73353;d06bd44a-b979-48fd-a95c-1231b8236e69;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
d4c1ecfc-f78a-455c-a2ff-0829048ba8de;c0c35235-860c-4662-9fdc-38018bddc092;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
e6874e62-20e3-4650-8b79-3ef4b06fce1c;5d3c01cb-7ec5-4834-bcf6-09944a8becff;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
de1972fd-7814-4e25-9a88-096619d35a65;63b6d88a-1d49-41dd-8d8d-e3a7705b3a34;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
aaf9d980-5a22-467a-9141-cc66bfafc8ed;491ca04c-a637-4987-8b71-5b3a832eb48c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
1ada72b1-8cbb-4628-97ec-89c41ae66995;0de228ad-9029-4905-9c2b-0dc442bc9fe1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
2503073b-8b16-4bbf-88b9-7f13f4a2780d;197d7a94-1560-44cf-a3e9-86bff29d2c24;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
042dd0f0-2937-4e5c-bf7d-69f1f6c4206c;4cc8a623-9eec-48b4-ac1a-7824286d3bae;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
f6f000e8-4253-4c88-b2ad-930c662edb96;9ed50284-ca6e-4882-80a4-76c62458be5f;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
746f55c6-fc99-4620-9a7c-1a395e77ba27;442f1aa3-88a9-48aa-aec4-b417c3c189b8;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
371b7ccc-cb32-4128-a9b4-f2873e798c72;bafc1820-771e-474b-abf9-1f6da6a01ef6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
16edb30e-d103-4dd6-9b68-633b91079415;e51322d4-cbb1-4381-8b9f-c780b65a803c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
5a13d9e4-4615-49ff-8e2a-849d3fe0e8d9;4a46c222-deed-455c-9c7c-9831710d4d89;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
2d89972c-a654-4d79-879f-7dd472286c51;ea7f68bb-40ca-45f7-81d5-c30c6f99e888;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
1f465473-599f-4632-a390-284ef5c301fd;ff99b93e-cfc5-458b-ac5a-ef298381ec75;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
5e6e3521-2f24-47a8-8b16-99cab4b8a846;59cd9a11-b131-4c97-848b-610b74388eac;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
9244910d-1c4a-49f8-a2d1-95722dbbbb96;d79e7222-2828-49ad-8d25-11c06e1082cc;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
89fc3838-0037-4267-943d-8dcbf104d3c7;23768664-e169-48a1-a1d2-9ff30c6bb7d6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
75728d13-d970-4cc2-b2c0-47186b362c6a;f5a9e2f3-d78a-40f8-b2ec-2c1633bbbd12;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
1244c582-8553-40d8-b7ef-8ed6a4794955;4a4be606-ee48-4563-bf04-af0b681fa77b;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
c98118e6-dd3e-4afc-b726-ac58b4c50c7b;46e407f9-e859-4b61-8a8b-93ad42efb3b8;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
99d81e5d-ff86-476a-933a-9180db996e68;242768fd-8ac3-4008-9cc5-45c7e1b107f3;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
69ec4bc9-fbf4-4869-baf7-122031bab435;5d8227c0-d13c-4e15-95db-9762a9eb5b67;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
63f2bc93-4dbb-48c8-b5ae-e096e488f2f8;7989c043-8633-41ef-8668-be9566a3a2b1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
fd9f0fd2-b752-4a18-9d54-36cf9913abdb;79080fe4-a7c5-46d5-8c21-174b1b5688ef;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
4fa8a06b-c1c9-4155-a020-1b56b36ee6e2;7d234fe0-1b0e-4db3-86fd-9d384e1e5c59;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
f4bb85cb-61b1-4019-84ae-fb21905d9c6e;a5ffd689-f9dc-4937-815d-08b58e9d02d7;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
bbd361f7-1f52-4112-9e76-df4d06a684b5;968a2cec-1906-43b8-bca6-10039891acca;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
3264f65d-c1e9-40a5-8129-44b5b37819ad;c136cad3-598e-4dd2-968f-79a72a1139b0;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
d0adccdf-680b-42c2-9ccf-c9b9c7d27724;e7db71c7-d765-4893-b845-4072f670533b;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
a3998fda-6b3d-4bdf-a0bf-0498ce4cc3fd;30ea5b5d-6b8f-4ea4-8caa-d879f9c55ded;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
aba1bf3d-f0b8-4271-8298-649b0122fd16;92d8b470-1ed1-4b1a-bca2-9a32c5e98a12;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
32e95e51-d19e-421c-a152-5ab770a06fb5;db9486aa-cdff-4ba5-8022-56caf500a90d;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
2ba71ed9-f8bf-460c-a5c0-60fac3e0798f;4fe4c295-c98a-43a4-9255-e88b4d8433d6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
adb7cc3e-5124-4c39-b6da-f794858482b6;d2d7e748-507c-4b89-a59c-84af7cd39f06;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
6d8c1e67-c5b7-4bed-a1b6-82a042f5ab01;f39df917-cc49-4916-9fa4-99e3a48908f4;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
3ebf3a21-a12e-424a-bd98-7676f6cff6c3;ff9f1c10-596b-4425-9549-7eaaa452809e;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
8802bf48-383e-4247-ad10-59ebd97b19e9;5c73e50a-e00b-4f97-b5c0-f8dd0c2d2ff6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
8ac54a18-e251-4831-9054-997091aba80f;e3e582b4-8dfe-4b8d-9476-04ad383af74b;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
6ec06bab-1380-47f1-b052-4c1190608b47;0f5467d3-1cdd-4b86-8480-0b2d7ac8a34e;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
28c3b0f3-a023-4dc4-9689-4b4513297c4a;08480b50-6ccb-440c-8445-12eb67f4ecc3;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
dc8af511-206e-47da-be7d-1b775fabda51;977e18e2-73eb-4154-9f98-7a0228154896;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
6b8a8f34-420b-4cf9-af66-f388655556b0;042c00ac-6687-450d-a438-ec41841e99a7;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c
