NumeroLegislatura;org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;org:role;resource_uri;org:postIn
55;db87a81a-c226-401b-be80-05f3cf59e5f9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2019-01-31;2015-02-01;6d5e28f4-1eeb-497d-8556-a59566e9beda;1ca769a8-8419-4040-b03d-59d2400656bc;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;51b54acb-1d34-4105-af6d-1d2d419bb6e0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;500;AC;2019-01-31;2015-02-01;56374615-4a2e-413a-8acb-07a93dbf36d6;068a816b-68be-473a-9460-3d19114ffb59;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;51b54acb-1d34-4105-af6d-1d2d419bb6e0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;500;AC;2023-01-31;2019-02-01;5dd6ab49-0e2f-48a2-b882-fa1486d0c191;91f443f5-961a-4500-8910-9dc5641a8819;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;fe7114b4-7e5f-428c-8e5b-39b78da653ef;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;518;TO;2019-01-31;2015-02-01;2ce24034-b8a8-40fe-8eda-e0cbd667ac3c;58d36762-5ca9-4d59-83c8-147ac927f94f;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;fe7114b4-7e5f-428c-8e5b-39b78da653ef;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;518;TO;2023-01-31;2019-02-01;0e9b4b06-c456-4fda-8646-f41bbb20b2bf;b979ef0e-461c-4e7b-bfa0-c87fee3188b5;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;ac236e3d-e2de-435c-b851-6baba89f85f8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;457;AL;2015-01-31;2011-02-01;7c23a0d7-d36d-4a38-b08d-1a481f1c9825;f0119bba-eed1-47de-b39f-0071db45d7a2;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;ac236e3d-e2de-435c-b851-6baba89f85f8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;457;AL;2019-01-31;2015-02-01;67f057c3-b3f8-46e8-876a-6dbdf2ea4edf;552a5e06-7b61-411a-a5a1-6c62e86b21c7;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;a0878cdb-eaee-4662-8ee1-ac51e771ddc6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;499;SC;2019-01-31;2015-02-01;f72531dc-10ef-4b9e-8658-6d15ab1e0106;70816600-2d8f-4a22-9745-b4d1eb36b3dd;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;a0878cdb-eaee-4662-8ee1-ac51e771ddc6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;499;SC;2023-01-31;2019-02-01;daecddca-1f04-4906-a3e2-2ad16aafaee6;7d0d0bf1-2006-4986-9f36-e9fa03631055;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;d48b4ddb-1f60-4f1f-ac24-55342d073a80;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;2015-01-31;2011-02-01;30d2b162-8c65-42d0-bdf4-51cc60b24254;7dc90350-2dc9-4c24-a1df-6cfba126af6e;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;d48b4ddb-1f60-4f1f-ac24-55342d073a80;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;2019-01-31;2015-02-01;2e9784c9-d979-4c64-831a-cbdb1f1dd9c5;263c4f39-5216-4ee3-95ec-413e49a5fa86;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;1e75ab82-aabc-4ad3-b9e7-78e82da34b89;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;516;SP;2019-01-31;2015-02-01;b9ca8310-c6dd-4610-8afd-37a7ca46c923;93e2fbf0-ed01-4400-9335-132ae28df889;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;1e75ab82-aabc-4ad3-b9e7-78e82da34b89;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;516;SP;2023-01-31;2019-02-01;cc48f7f1-9461-4634-a81f-2c8ac0348d78;46ad45a0-8db6-4f90-b28c-703d7cece868;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;955fe4aa-1b14-4e95-b6ec-923efe50f10d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;466;SC;2015-01-31;2011-02-01;fc946ef0-c902-47d9-a9bf-026634a72c27;1358846d-6100-42e6-ad7d-bfa43d6c5f8e;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;955fe4aa-1b14-4e95-b6ec-923efe50f10d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;466;SC;2019-01-31;2015-02-01;09ab42ee-3e25-4333-bd45-b2046ddb1280;cf1d1d3a-02e9-47f5-8355-acf16e768cf5;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;9b3aa5c1-4e3a-4026-aa35-cdd29e438fa2;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;447;MS;2015-01-31;2011-02-01;b8387855-74fe-4e32-a9bf-0f9111a2d91b;ea0c4ba9-ea25-47bb-b9b2-1cf837ad96c2;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;9b3aa5c1-4e3a-4026-aa35-cdd29e438fa2;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;447;MS;2019-01-31;2015-02-01;15ec43cd-b862-4a57-93fe-8eff85f20dc0;49785c3c-f34b-4ac9-869a-7c362a23cfb3;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;ac495087-1416-4e2a-bb04-56c4b5d694d7;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;486;RR;2015-01-31;2011-02-01;abc0914c-1794-4fd0-ba32-0881b674f963;c6135d86-9bdd-48d1-af8b-e8fb11255f82;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;ac495087-1416-4e2a-bb04-56c4b5d694d7;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;486;RR;2019-01-31;2015-02-01;3bafa90d-e492-4128-b2d5-eb393046a958;85f9541b-4380-4921-b8fd-27ed7a9e4820;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;7d6bc32a-751c-4e13-b3cd-2942e14ae018;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;441;MG;2015-01-31;2011-02-01;edfc6bab-840b-4298-a060-61b5a7a07a1a;87b21189-ec68-40a5-b637-5e77f0dcc59c;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;7d6bc32a-751c-4e13-b3cd-2942e14ae018;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;441;MG;2019-01-31;2015-02-01;5173d45e-8e8e-4d53-927c-5ece5bc88dd2;07726e6b-5e62-4e71-aa64-5e38cd80d43d;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;a506f121-4dff-475f-ba6f-69210454927d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;460;RR;2015-01-31;2011-02-01;c6eb36f4-97e6-4afc-ae08-3a9b6b58eae9;1b35a317-0b02-4008-88f5-497082975a88;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;a506f121-4dff-475f-ba6f-69210454927d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;460;RR;2019-01-31;2015-02-01;9751d9b9-cbdd-42e2-957f-8bc543a9476b;2942fb5a-8d3d-4449-9de9-0f6ec04aa7e6;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;c568b459-7c73-4b53-baee-3baae0a79db8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;452;DF;2015-01-31;2011-02-01;a923832c-0b4a-42bd-8848-ecad826d972f;db4ba61f-f3e1-4701-b790-d33c588cb938;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;c568b459-7c73-4b53-baee-3baae0a79db8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;452;DF;2019-01-31;2015-02-01;1c9b4edc-b771-459e-9d30-1c891196a8b3;40f81be0-b65f-43bc-bdee-e76329a09f5e;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;41fd7c6c-e250-4c81-860a-2116526c8754;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;472;GO;2015-01-31;2011-02-01;1b817863-d30c-4f43-9e7a-f57a0df577b4;75e4f7e4-6be9-423b-b3b2-8c7edf20c44a;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;41fd7c6c-e250-4c81-860a-2116526c8754;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;472;GO;2019-01-31;2015-02-01;a28686e9-b7ff-4219-b329-7f33b678c95e;4d991c2c-99e3-47ac-bb47-4162d41e4f55;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;46d469e2-f0d5-4f44-b4a6-fa8e59dc3200;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;479;PB;2015-01-31;2011-02-01;b26621f3-d2ec-4dc4-9486-a3bfc6479b18;d098929a-26a5-4f0a-99a3-d4ddc78a94b9;81311052-e5b6-46fe-87ba-83865fa0ffb0
