cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slnp:resource_uri
2014-12-31;SP;2011-02-01;53f18f12-a965-4083-b9d1-a57709674cb0;22a2ecf6-5f03-4da9-bc89-48319d152403;2a7dbc7a-0002-4d68-bfd3-a19909149be0
2015-01-30;BA;2011-02-01;c531728d-745d-42ed-9e4d-bbc2ed611962;22a2ecf6-5f03-4da9-bc89-48319d152403;c31c4421-3c32-4f13-9b8b-2005d097bd0b
2015-01-30;MG;2011-02-01;24d8e42f-a8e7-4512-8345-9d18d43a7bd5;22a2ecf6-5f03-4da9-bc89-48319d152403;b4c160cb-c2a6-48d4-a0d8-c191f02af081
2015-01-30;MG;2011-02-01;899f21db-a2df-4151-81a9-884b3d686880;22a2ecf6-5f03-4da9-bc89-48319d152403;4331569e-c0bc-41c1-a312-14410243dab4
2015-01-30;MG;2011-02-01;c288475e-11d0-49a9-89ba-5c712cf44881;22a2ecf6-5f03-4da9-bc89-48319d152403;475afa90-86be-4264-a554-78116c813065
2011-02-17;RJ;2011-02-01;56de0f4b-b893-4021-82fe-1a184233a6a5;22a2ecf6-5f03-4da9-bc89-48319d152403;866d325b-ed7e-4d7a-bc4b-0844d80cab50
2011-02-08;GO;2011-02-01;ac1dcf0d-04be-4854-80ec-840fae47d7bc;22a2ecf6-5f03-4da9-bc89-48319d152403;c965d82a-68ec-4b3e-8428-de89bc68ce26
2011-02-09;DF;2011-02-01;411524a9-012e-407f-abb4-bb809264e5df;22a2ecf6-5f03-4da9-bc89-48319d152403;cf42b648-e426-4d20-84b1-c34093f14012
2011-02-01;RJ;2011-02-01;8e71d9b7-7d65-4d78-9b37-3865016cf37a;22a2ecf6-5f03-4da9-bc89-48319d152403;dad52afb-89b1-4780-80a5-3f3f403b5140
2015-01-30;MG;2011-02-01;7a00ec2b-1dff-47c2-b95a-3b4480a916bb;22a2ecf6-5f03-4da9-bc89-48319d152403;168c93a3-3125-48f8-87fb-d98356aeb230
2015-01-30;RS;2011-02-01;ca239fc6-a88d-4114-9c58-bdc93d2e9723;22a2ecf6-5f03-4da9-bc89-48319d152403;cd600a9d-8573-442c-91af-fe27b67ca7b0
2012-07-10;BA;2011-02-01;5d50da0a-a063-4b03-9bf2-c1eb4f23c8c8;22a2ecf6-5f03-4da9-bc89-48319d152403;78d5e33d-486e-4557-a620-1301fed1a219
2015-01-30;PA;2011-02-01;3a6d2b57-fca6-41eb-ab2e-2a235610ee39;22a2ecf6-5f03-4da9-bc89-48319d152403;b4d91702-bade-4db9-8362-c2267f5c8a98
2011-02-03;DF;2011-02-01;1cb70303-3ff2-418b-a0b2-6c9b88b868cf;22a2ecf6-5f03-4da9-bc89-48319d152403;9aa33a2d-a39c-49b0-b937-c1263a005dc0
2015-01-30;PI;2011-02-01;2487fd17-d632-4d0c-85da-299d3ba47536;22a2ecf6-5f03-4da9-bc89-48319d152403;66b75d61-a823-478b-a060-2d54d7a555cd
2015-01-30;MG;2011-02-01;ae4e9d7a-6faf-40e0-b8d7-7d1bafc1bd8b;22a2ecf6-5f03-4da9-bc89-48319d152403;b6ee255d-d38d-4738-94b1-66421872236e
2012-06-11;MA;2011-02-01;94b578e4-605b-4e73-978a-0dfda8b91312;22a2ecf6-5f03-4da9-bc89-48319d152403;30ec41ea-bfe9-4990-ac61-2164e6aa3449
2015-01-30;AC;2011-02-01;3ebd36aa-67e6-4298-ab85-c24a1b9af731;22a2ecf6-5f03-4da9-bc89-48319d152403;0ac33351-858f-4d46-990f-e7579bb1942b
2012-07-10;BA;2011-02-01;6a42c22f-ef62-4295-b89f-a60277a2790f;22a2ecf6-5f03-4da9-bc89-48319d152403;b9cba755-e585-4977-8fde-0fb0dc38a436
2015-01-30;DF;2011-02-01;301ce8ed-6904-4840-804d-a0661ec0214c;22a2ecf6-5f03-4da9-bc89-48319d152403;f02f884f-cc94-4349-a066-fa2611bc66da
2015-01-30;MG;2011-02-01;7e828f0d-87ef-4376-97fa-de68a360f187;22a2ecf6-5f03-4da9-bc89-48319d152403;33313140-3b91-436f-a127-5878392bdde9
2015-01-30;GO;2011-02-01;bac25f8f-c1e8-435e-8e76-be34dbaf43d1;22a2ecf6-5f03-4da9-bc89-48319d152403;a81cfe06-07ae-4e79-ac47-9e8aad443954
2012-12-11;AM;2011-02-01;cbc0cb25-3c7c-43e5-9a8c-8c7ff2ae891c;22a2ecf6-5f03-4da9-bc89-48319d152403;4a93afcf-7b3e-41d8-b353-2b76a976aedc
2015-01-30;RJ;2011-02-01;0a68de9c-0cc4-474e-b342-b1f29348d1c7;22a2ecf6-5f03-4da9-bc89-48319d152403;f634f74f-4ed1-4d93-acc2-91abc08542f3
2012-06-05;AL;2011-02-01;d03c78bf-a225-4938-a949-9eda0c241b40;22a2ecf6-5f03-4da9-bc89-48319d152403;55f343ba-9b41-47e2-a7ee-e1bf5518aa40
2012-01-04;BA;2011-02-01;57c787fa-8b07-412e-b026-b977bc8744d0;22a2ecf6-5f03-4da9-bc89-48319d152403;f2b5c8ab-15fa-4a22-921e-1bcdac8bd23c
2014-03-05;PE;2011-02-01;9ef851e8-2984-420c-9cd7-76d1244cae57;22a2ecf6-5f03-4da9-bc89-48319d152403;dd14f056-1e23-408e-b2ea-f61f3f5dbe95
2015-01-30;PB;2011-02-01;78e699cf-b7a1-4b95-852f-55c83f5f6147;22a2ecf6-5f03-4da9-bc89-48319d152403;d2893994-859e-4ee2-8b89-d40ab79dfa81
2015-01-30;RS;2011-02-01;ded781e4-b604-4aa2-a848-1deb2f9024a5;22a2ecf6-5f03-4da9-bc89-48319d152403;7e8aa433-b496-446f-8944-46c40bbfc6dd
2015-01-30;SP;2011-02-01;801818be-beb9-419a-bc17-a8a3c8bc986c;22a2ecf6-5f03-4da9-bc89-48319d152403;6b48fee7-5ad6-4574-bf82-707e41108acb
2011-03-22;RJ;2011-02-01;12d5f5f3-9a37-4dca-b729-aa237b0da235;22a2ecf6-5f03-4da9-bc89-48319d152403;79f9bfb8-f9ed-4ed2-8afa-9911f8aebb3a
