org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slnp:resource_uri
64cc4a7e-41ae-40ab-9437-62297e6a8ddd;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2013-02-07;2011-09-01;98427ecd-301e-4f2e-9442-50f1336360fc
64cc4a7e-41ae-40ab-9437-62297e6a8ddd;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2011-05-02;2011-02-01;6d81b336-3bfb-41e8-9a17-487f3ac66618
f9059d63-f83a-4fd3-9fe7-9effc40591cc;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;364;AM;2011-07-07;2011-01-06;c64c3f87-0db1-4295-9357-939a09c66e26
f9059d63-f83a-4fd3-9fe7-9effc40591cc;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;364;AM;2010-03-31;2007-04-03;bef89476-a91e-461e-9a02-719a00483898
e520eccd-2972-486c-b9ad-489e8e7020c4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;451;TO;2013-04-22;2013-02-05;223c22bd-e757-4f75-aa0b-eb6b76736031
e520eccd-2972-486c-b9ad-489e8e7020c4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;451;TO;2013-01-29;2012-10-17;cc77746a-f24d-4208-9c8f-d6f43349aa46
755b6850-fcfd-4f6e-b8f0-035d15bad59d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;354;BA;2015-01-31;2007-02-01;01eb45f4-65d5-4eaf-95f8-c625a3aa4474
bb8180be-9045-492d-b148-cea0b627f74f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;490;AP;;2011-11-29;d4783675-0134-42dc-84b5-784129490e54
a32434d7-b6fa-425d-8492-1b800bb6ea70;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;438;MA;;2012-11-05;61152217-af6b-48ea-b902-35ac6303e9bc
a32434d7-b6fa-425d-8492-1b800bb6ea70;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;438;MA;2011-09-29;2011-02-01;86ef427b-6fe6-475b-a7a9-126050836645
6571f41d-4fa7-43ef-a8ed-e750d90928da;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;365;AP;2015-01-31;2007-02-01;dc678331-1e9d-4f29-95be-072f33ae5078
ae29185c-37dc-40f2-b5b9-8d70970dd5eb;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2014-11-21;2014-07-24;6147e480-3f0b-4575-a575-0b6b5d518328
eb66ffff-d2dc-4af8-9f94-9a636070379a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;444;CE;;2011-02-01;a47dd1f6-e11a-479c-890e-59033ed1596f
336fa947-f297-414b-b1cb-b9bf73e67b06;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;463;MT;;2015-01-01;38ce267a-407b-4cc6-9ceb-fcc2034bc47c
c479fd40-b2da-4480-ad69-15a44952f84b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;481;RN;;2011-02-01;d93698d6-d08a-4dfd-aac0-4eb3d0d947f2
8d0b7a42-86ca-492b-96ba-b3cbc1297985;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;484;AC;;2011-02-01;f432de8e-2104-4014-add9-226399069d72
182da5af-5ae4-4c09-9899-cfad7c235f72;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;356;DF;2015-01-31;2007-07-17;dac4bb3a-16b9-4b51-b080-8189c5714d67
90b87afa-82e6-409e-a514-f71059e156e6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;356;DF;2007-07-04;2007-02-01;b283cfc4-c8b2-4b19-a553-0431ed55a242
7c5b3df9-8722-47f5-bdeb-51953bf8e8ff;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;353;MT;2015-01-31;2014-01-13;ba19fb9f-5022-4f4e-845d-d04e72113bc4
7c5b3df9-8722-47f5-bdeb-51953bf8e8ff;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;353;MT;2013-09-13;2010-01-03;cff9eb01-a84c-4c34-83cd-184566048db3
7c5b3df9-8722-47f5-bdeb-51953bf8e8ff;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;353;MT;2009-08-25;2007-02-01;d9cbbbcd-70a8-4138-9bdb-bb4af862c4b1
745df387-d78c-43e3-9d92-7addf2070527;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;491;PA;;2015-04-07;e60db98a-2e24-4557-8670-7c1af1b525ae
745df387-d78c-43e3-9d92-7addf2070527;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;491;PA;2015-01-30;2011-12-28;0becfabb-7e44-4cb9-a2a9-21ee4ba26628
e2fd79d8-22ae-45c4-9e8b-06b2e9eca18a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;352;PE;2015-01-31;2007-02-01;923a6afd-9965-42c8-acbb-52dd49daee73
991f7de7-4d36-4f8c-a554-f42426658095;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;363;RN;2015-01-31;2014-03-26;51c76fde-2971-4914-ba22-b8ab16ec20b6
991f7de7-4d36-4f8c-a554-f42426658095;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;363;RN;2012-04-05;2011-12-07;e4221211-68af-4cfb-bbdf-5ad9c531d41c
a28499ed-a9c0-4abe-b756-8d17dcc43521;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;351;CE;2015-01-31;2007-02-01;bf4fcc71-cb4d-4cbc-aacd-da7ecb6a25a4
2746164c-5dac-4116-8532-556fd659de7a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;477;RO;2018-06-13;2014-11-13;51377711-a9fb-4fab-8179-751ab7969dcd
2746164c-5dac-4116-8532-556fd659de7a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;477;RO;2014-07-15;2011-11-14;768d7be8-2cc1-4e89-8a86-75dd692df6a0
2746164c-5dac-4116-8532-556fd659de7a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;477;RO;2011-07-12;2011-02-01;70a191cc-a59c-44c0-b587-d8a1c130347f
6295a725-c94b-4fb2-b296-7403dd69df89;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;441;MG;2011-07-02;2011-02-01;e5f203c7-fff2-43c6-a836-e2aecbfc3d31
d4390f6d-363f-4f2c-b980-af181aa08b11;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;470;DF;;2015-01-01;e7d68c3d-0048-4897-91d0-ee466fde7d5a
4e1c44c4-72cf-4cd7-9bdf-c10cc67c139e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;439;PR;;2014-02-03;4a80cdff-86fd-4431-9913-9c2cf839d30c
4e1c44c4-72cf-4cd7-9bdf-c10cc67c139e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;439;PR;2011-06-08;2011-02-01;c0d78e3c-a7fe-423f-996a-6ff1b67a9148
fbbfada8-2f41-45b6-9d14-ec44ad6902a9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;448;PE;;2011-02-01;dec403e3-aaf2-4098-b093-9aa84f887b78
68c41408-22ec-4bb4-9ed3-3455d7e7963e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;464;AP;2011-11-28;2011-11-26;b4267188-1b90-4eb4-b6c6-9b4cf58b49be
68c41408-22ec-4bb4-9ed3-3455d7e7963e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;464;AP;2011-03-28;2011-02-01;d2d29690-51d6-4390-be58-29d0865fb28f
eaacebb5-c975-4475-8433-bfefebf7b90b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;464;AP;2011-11-25;2011-03-31;87af2cf6-aa19-4759-88df-ce3d80c80075
869008b2-a378-4abf-88f1-cef359e1aba2;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;476;RN;;2015-01-01;5a2bf11c-a437-4428-8e38-a3e26354acc8
869008b2-a378-4abf-88f1-cef359e1aba2;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;476;RN;2011-02-01;2011-02-01;c83b611c-1e3c-48a9-b5d3-2fbebe117b66
771752b3-6847-45c0-b993-6624fae2f95f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;363;RN;2014-03-25;2012-04-06;caece2bf-f6b6-42d6-90dd-15cf0db63a31
