org:member;org:postIn;org:role;org:startDate;owner;resource_uri
5108;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-15;111;1b93da67-0546-4837-a06d-9036b5b5ac59
5108;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-03-13;111;1b93da67-0546-4837-a06d-9036b5b5ac59
5108;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2012-08-09;111;1b93da67-0546-4837-a06d-9036b5b5ac59
3398;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;0274b700-0d4c-455f-9977-58119f3d226a
4895;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-01-12;394;deac66fe-6199-4955-8e03-e1a3143c3754
739;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;9f2dc506-140d-4398-8547-862bcf25af14
13;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-01-29;1206;9872098e-b4c8-448b-8f16-08b7c933dc99
13;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2010-07-08;1206;9872098e-b4c8-448b-8f16-08b7c933dc99
13;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2008-07-01;1206;9872098e-b4c8-448b-8f16-08b7c933dc99
704;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2008-04-02;4529;b8ec4173-dfa0-4777-8a71-234a9a8d8253
111;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-07-18;;1b93da67-0546-4837-a06d-9036b5b5ac59
111;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2012-12-17;;1b93da67-0546-4837-a06d-9036b5b5ac59
111;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;1b93da67-0546-4837-a06d-9036b5b5ac59
3823;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;1176cd4d-49fb-4763-80d8-f96cbbf60dd3
391;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-10-17;;fdfe0c79-fcf4-44f4-8a5e-d63b201fe7e0
391;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-06-30;;fdfe0c79-fcf4-44f4-8a5e-d63b201fe7e0
391;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;fdfe0c79-fcf4-44f4-8a5e-d63b201fe7e0
4697;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;5f86f650-1ecf-4df5-a2be-136ed7be1392
5144;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-07-11;1754;e580cb62-31f0-4bdb-a7d7-3f48304573d9
3597;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-17;73;49d43d72-bab1-4706-b763-875495a8c207
3881;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-09-30;950;ed15ebac-8dd8-449d-aaff-9a79a2486236
3811;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;a60997e6-3d85-4cca-b5e7-743cbece4b03
4772;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-08-06;945;7245909a-40c3-4b79-a0e5-346a6861944f
4772;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2007-04-03;945;7245909a-40c3-4b79-a0e5-346a6861944f
604;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-10-17;;e9faf91e-88de-4f4e-9c07-af53eebe6e0c
604;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;e9faf91e-88de-4f4e-9c07-af53eebe6e0c
5016;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;c0c8b43a-1373-4977-9358-d5060e5ef0ad
5070;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-11-15;3399;0961bb2f-61b2-42d6-80bd-5dd475812db7
5070;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2012-07-13;3399;0961bb2f-61b2-42d6-80bd-5dd475812db7
1176;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;616e361c-1761-49d3-8aa4-af5411e767ac
