org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slp:resource_uri
6c4df3ef-7c88-49cb-a2bd-6c75cd4217c1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;517;SE;2016-05-13;2016-05-10;c72c626a-5819-46e4-b4de-e1b1f67b2484
6c4df3ef-7c88-49cb-a2bd-6c75cd4217c1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;517;SE;2015-11-10;2015-02-01;cf13f1a1-e17e-46de-a688-5b30d2f4452c
57de6482-a96c-4257-a87e-dcd59ec8f175;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;482;PA;2011-12-27;2011-02-01;86f5b8a7-30ca-4fe1-8b7f-30540615bfde
93069441-e879-44e1-8499-8fc1a3682e9b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;483;ES;;2011-02-01;54a3555b-4442-4c3a-a8e9-f87c5c7e1aec
8df43c35-6e9c-4d03-9d36-d2c8f0cbef0c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;465;SC;2015-05-10;2011-02-01;059870b8-b2bd-4ac6-b6d4-19dcba74b618
2c30354e-0a80-4d40-bda2-f76da79dd9d4;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;459;GO;;2011-02-01;a078a0f3-db31-4912-821e-45d63341a785
631e146c-5c62-4043-8b4c-088fa9f7b454;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;2014-12-31;2011-02-02;78d0a2ef-e152-4513-9611-51d30270b7ab
bc9c8f34-df5d-42fc-8331-b76053590717;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;461;BA;;2011-02-01;f58ae49e-03cd-45e1-ae1f-47934c569f16
ad099469-0cbe-4cbb-8f49-c9bae0a2a093;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2014-07-23;2014-07-23;be46296e-c98f-4939-a467-66ccb4d75f5d
ad099469-0cbe-4cbb-8f49-c9bae0a2a093;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2012-04-04;2011-12-06;ab13e9d7-24fb-4623-8c9b-1c314fc425d2
48437b7c-fc29-49cb-9b88-93f50928a306;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;518;TO;;2016-05-12;bed7993c-7c94-42a5-a47f-64ba1751a5ec
48437b7c-fc29-49cb-9b88-93f50928a306;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;518;TO;2015-02-02;2015-02-01;ff302358-ae7a-43d5-8b7f-27a3d627302e
15460aa6-afa9-4285-ac52-d57950ba4cf2;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;436;RJ;;2011-02-01;60719b5d-281f-4a2e-a981-f0205898396c
5ea62ed9-ced2-4f10-91b5-76ff5cc986fd;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;497;RS;;2015-02-01;b1c0f53f-8468-4ba6-b29b-859ef1ab05e0
6d95b01f-698a-42a3-be3f-83598f094521;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;451;TO;2013-04-22;2013-02-05;7c215309-4f6a-4c53-8972-8292f8b64da1
6d95b01f-698a-42a3-be3f-83598f094521;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;451;TO;2013-01-29;2012-10-17;77509785-1ffe-498b-9ad0-e4e49a4e469b
f17f2991-ee3c-4176-a25b-8baf8814f38f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2014-11-21;2014-07-24;457e6966-91f6-4c41-81ec-3de3fc854a1b
4ab4653a-bd80-48ea-9b66-cf774c8dbcf0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;490;AP;;2011-11-29;7cdb7db7-b2d9-4f0b-81a2-99a912e7e64c
4d171310-612c-4221-943c-f7e52d7c833b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2013-12-18;2013-08-08;2844c3eb-2b87-4783-859a-99b5260ea89d
4d171310-612c-4221-943c-f7e52d7c833b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2013-02-07;2011-09-01;6ef5107a-2b20-4749-baad-1a99df7595f9
4d171310-612c-4221-943c-f7e52d7c833b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2011-05-02;2011-02-01;faadc1d3-224d-4ec3-9886-e105374ca9e0
d4448cc1-8481-4b73-9fe2-996c070e19ed;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;438;MA;;2012-11-05;4d70d46c-3a11-4dbd-a16b-30b19dbf5830
d4448cc1-8481-4b73-9fe2-996c070e19ed;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;438;MA;2011-09-29;2011-02-01;185c4744-25cf-4cde-a8ba-81042dac6dd8
e958e311-68be-456c-83fc-c23098208ed0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;513;PB;;2015-02-01;0d0509ae-709b-438b-9d7c-649a2ff35c28
80cd402a-2b06-4448-b7dd-5bd59bca756d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;516;SP;;2017-02-23;5f30b943-c972-4d70-86ec-db99faac31c6
80cd402a-2b06-4448-b7dd-5bd59bca756d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;516;SP;2016-05-13;2015-02-01;9a7186c7-c291-41d1-9652-06b99193a002
66b8a60a-075b-4b77-8af1-93fe9bf81f74;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;463;MT;;2015-01-01;4b33e11e-4eaa-4373-83fa-845cea3d11d8
