cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;PSD;;2dd6db55-28c2-4607-8784-d8f45f9e2177;d3281256-bfc1-48ab-84c5-14d3f13404ec;e9ad0d91-4d80-456e-8495-12eddb0bbf7c
;PROS;;a287ed45-5fa2-459d-a807-00032c1e5c83;27cca621-1c65-44e6-8952-8d0f3495620f;4f95e50b-9536-47a4-9932-50e67daad821
;PTN;;a287ed45-5fa2-459d-a807-00032c1e5c83;c8f6dd36-bc37-473c-b03e-6a89ef539076;cb239780-e9ba-4afc-83f8-3a8c8caa460c
;PODE;;a287ed45-5fa2-459d-a807-00032c1e5c83;fd17d488-fbf3-41d1-affc-aab53e182ff2;194f73ea-3a54-4255-a2da-0c188ef4227b
;PT;;9fa16f07-1fa8-432c-a3e4-6ac61dd14055;4b325a94-35b8-453e-a7de-52cc1e24f7be;d3aa57b2-cfaa-4dfa-b860-1717dd67d4b5
;PMDB;;c5830278-3b13-43b0-8dbd-6b22d04918d2;86503969-625a-4b5b-8a73-ba2f9f9fe0ca;615df07b-c0c1-4274-a807-5b065688eaf7
;PDT;;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;a79776ad-a3cb-467b-bbd7-5745ef4e7159;12bfc885-fe40-44eb-a3a4-fddcbf27734a
;PMB;;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;165eed5a-393c-423f-ab4a-ab2b8dc655bf;025ea180-909f-4ee0-ac0e-06c33bf84c99
;DEM;;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;301dcc03-79c2-40be-a6e4-34a856c4b881;dbe71da7-91c0-4039-838b-f326ba985ecb
;PRB;;01aab937-df9a-4fb6-b751-789b10f77a10;2abbd85f-8819-4910-bdde-887d8d35cf3e;b5ea2bc0-b2f5-4104-8cd8-aef791ac72b9
;PCdoB;;05aae140-c7f5-4c84-aa55-fac7d5d6911e;e42d7b82-688f-42fa-b4f5-0b2d4225d469;b29e4ec2-9afb-45b9-8284-52c58f13d066
;PR;;461af638-907e-4e3d-a786-6208567bae6c;037dfd2f-530f-4093-88f5-93e615d2014d;970adb1e-1f62-492c-baf8-4a3026a12cf8
;AVANTE;;461af638-907e-4e3d-a786-6208567bae6c;215c9322-f010-4fbd-a375-eac6a2a4bdd3;93a6179e-5824-43e0-ab61-dc98914e1f04
