cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:role;slp:resource_uri
2016-05-23;2015-02-01;AL;12742186-5bc8-4bd9-932c-fe247f8c6f3c;b27beba7-ca02-4041-a9e0-1793bcd141fe;447b0d29-32af-49c3-9729-7e8431d9a729
;2015-02-01;SP;15d73351-e972-4a4b-8bae-80ac730513b5;b27beba7-ca02-4041-a9e0-1793bcd141fe;2c322923-591d-474a-a244-a03626d9975c
;2015-02-01;MG;0328f737-88fc-4325-9e2a-300cec9b9cae;b27beba7-ca02-4041-a9e0-1793bcd141fe;305d4df6-4399-44b3-9487-1d6bc4aa1ac4
;2015-02-01;PA;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;b27beba7-ca02-4041-a9e0-1793bcd141fe;cc0bb14f-ff92-48e3-8a18-4f96a525563a
;2015-02-01;PR;15a7dab6-461f-4543-929c-93d2e6ed0069;b27beba7-ca02-4041-a9e0-1793bcd141fe;fd49df99-fbcb-4419-a727-528602c77e9c
;2015-02-01;ES;fda9e9b6-791b-4063-92dd-942f1bd28e88;b27beba7-ca02-4041-a9e0-1793bcd141fe;616a131c-0ca8-4e4f-aebf-eb3f5960f9a6
;2015-02-01;PE;e4658aff-e9cd-49a5-a2c5-7c557baa744c;b27beba7-ca02-4041-a9e0-1793bcd141fe;0bc153e5-677f-4e34-9340-92a906753b72
2015-02-03;2015-02-01;SP;7dd105df-c756-44c3-9a42-7655937beeda;b27beba7-ca02-4041-a9e0-1793bcd141fe;1965c1a7-3981-4938-9b32-9f0e3e66f41c
;2015-02-01;RJ;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;b27beba7-ca02-4041-a9e0-1793bcd141fe;3df7833c-19db-4fd2-8998-682f953f6fcb
;2015-02-01;SC;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;b27beba7-ca02-4041-a9e0-1793bcd141fe;ba2bb88e-90b3-47ea-a6d9-11d73b0c24af
;2015-02-01;RR;2497fcf9-d994-4c8e-b48e-a4be711b78fc;b27beba7-ca02-4041-a9e0-1793bcd141fe;98b34e33-11ea-4ced-8f20-5878c7a5e9d2
;2015-02-01;AP;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;b27beba7-ca02-4041-a9e0-1793bcd141fe;8cc905c3-7080-442d-ad13-00bf9263b173
;2015-02-01;PE;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;b27beba7-ca02-4041-a9e0-1793bcd141fe;f142255e-a9ea-4ce1-9260-c18f5d5e1a2b
;2015-02-01;SP;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;b27beba7-ca02-4041-a9e0-1793bcd141fe;198d4f1c-97ee-4b80-a6b6-87dea2e8b986
;2015-02-01;PA;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;b27beba7-ca02-4041-a9e0-1793bcd141fe;306e67fa-90d0-42a9-afdd-15c143c63472
;2015-02-01;CE;b004a190-744c-47e6-af4f-ddffd36adc96;b27beba7-ca02-4041-a9e0-1793bcd141fe;ac111305-3eab-4a45-ac2f-d29302e18c9c
;2015-02-01;RJ;99a43ef5-ded5-48bf-9792-dd1d74c5cd9c;b27beba7-ca02-4041-a9e0-1793bcd141fe;3bf2fd66-d320-4ec8-9ed6-441981d9f0ee
;2015-02-01;AP;9a5e3486-1552-476d-a619-fa898782adc3;b27beba7-ca02-4041-a9e0-1793bcd141fe;70d81bad-7e71-4d5d-8f13-1a2387fea68e
;2015-02-01;BA;890ee311-1045-41ee-af3c-d267db92e573;b27beba7-ca02-4041-a9e0-1793bcd141fe;9cc410f4-eac5-417f-ad5a-1f15e5941280
;2015-02-01;RS;e2f3d761-a44a-4bae-bdcb-ddc5b865c410;b27beba7-ca02-4041-a9e0-1793bcd141fe;a6bf1258-4982-4278-8b74-c72031b4a206
;2015-02-01;SP;81be1c11-327d-4965-baff-2ec0316df925;b27beba7-ca02-4041-a9e0-1793bcd141fe;2f469e51-29b8-46de-b291-5c773abe2e05
;2015-02-01;MG;f3872356-c9a4-43e7-a342-1281395d1f04;b27beba7-ca02-4041-a9e0-1793bcd141fe;3248285a-a101-4099-92b2-61fec5a84ffc
;2015-02-01;GO;118687ac-a58d-4f53-bc3e-aea766ff9049;b27beba7-ca02-4041-a9e0-1793bcd141fe;4c092c1f-35cb-4be7-8bd3-4dcfdc26afc9
;2015-02-01;RO;52b945a0-5db5-44a4-b13c-61b64dd99165;b27beba7-ca02-4041-a9e0-1793bcd141fe;46366ac8-3421-472e-adac-249e5bc3c655
;2015-02-01;SP;3458f5a3-cf98-42f4-b46a-64bae2b3e39c;b27beba7-ca02-4041-a9e0-1793bcd141fe;f44be2cd-7377-411f-b94c-8a74b62617b8
;2015-02-01;MG;96277a2a-f12c-49ee-a52a-2119d7f1fa4f;b27beba7-ca02-4041-a9e0-1793bcd141fe;6334cbc9-303c-43dc-b777-17ee4fc6fecb
;2015-02-01;SP;32b7704b-7ccb-42a4-9864-0d10fad81f98;b27beba7-ca02-4041-a9e0-1793bcd141fe;49953702-9553-4dd7-b5df-a32a01c4bc82
2017-04-11;2015-02-01;MG;f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05;b27beba7-ca02-4041-a9e0-1793bcd141fe;9702bd69-97bd-4a62-8c15-2889a0de3ce3
;2015-02-01;MG;a1aca44b-e25f-4ffa-ba8c-a2280445731d;b27beba7-ca02-4041-a9e0-1793bcd141fe;74a24a4d-1820-43eb-b50f-5f739b0ae50e
;2015-02-01;RJ;8f7f8f69-5235-4e9d-a884-ce61d75fd613;b27beba7-ca02-4041-a9e0-1793bcd141fe;88c86121-ac87-47d6-b4df-aef21f55adce
2018-02-19;2015-02-01;SP;0685388c-49fd-42f8-a945-080138e67328;b27beba7-ca02-4041-a9e0-1793bcd141fe;e6e6f6fb-68ec-40e7-8cdd-a52ed5c035dd
;2015-02-01;SP;f82dcb07-a11b-4620-a5ec-9d7784a861ed;b27beba7-ca02-4041-a9e0-1793bcd141fe;17e839cd-5604-4f9a-ba17-6c5fd885bb7a
;2015-02-01;RS;81f5e736-f84f-44c6-8f63-f64947aadcc4;b27beba7-ca02-4041-a9e0-1793bcd141fe;db955b9f-8443-41e6-9403-a864cc940513
;2015-02-01;GO;413a3ac3-bcd0-4bb9-9b49-b03ce2014e06;b27beba7-ca02-4041-a9e0-1793bcd141fe;c72ef8cc-015e-4ee9-ace4-f36f00bc049a
;2015-02-01;RJ;dc487c48-3d09-4709-a107-2b1fabe26f6a;b27beba7-ca02-4041-a9e0-1793bcd141fe;fb7b4218-6513-4957-a234-ba272d376fc5
;2015-02-01;BA;6352fe51-c310-409c-82f4-088130e6973d;b27beba7-ca02-4041-a9e0-1793bcd141fe;83c95cf6-1eb1-46c2-9683-40186abed19a
2016-04-06;2015-02-01;SP;2b913d98-5ab3-4605-937d-ec26e40f09c7;b27beba7-ca02-4041-a9e0-1793bcd141fe;78d031b8-0c3a-4aad-a81e-a1bec51d2aa5
2016-05-12;2015-02-01;RS;c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4;b27beba7-ca02-4041-a9e0-1793bcd141fe;83c40af2-5ee1-4a99-a8da-9d9202a1cbce
;2015-02-01;MS;c5c7c191-13e4-435c-92f9-4387209d3f1d;b27beba7-ca02-4041-a9e0-1793bcd141fe;61c60c27-ec08-4d3f-8aac-b4e2a9a0d86f
;2015-02-01;MS;751854d4-1a34-467e-a257-1733509ca504;b27beba7-ca02-4041-a9e0-1793bcd141fe;d6ca2feb-aa87-4bca-b107-4ed51bc9242b
;2015-02-01;MA;cbb14715-0305-430d-bc1c-dbf011a2b347;b27beba7-ca02-4041-a9e0-1793bcd141fe;d3163ccf-c040-43a9-a487-e100a3c52d48
;2015-02-01;BA;df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a;b27beba7-ca02-4041-a9e0-1793bcd141fe;20e87bea-8efc-4b7b-a040-01324d630932
;2015-02-01;MT;06542a65-3e37-489a-b14d-8f29edd32f86;b27beba7-ca02-4041-a9e0-1793bcd141fe;cea81291-0554-48c7-a696-1ae6b38ea76b
;2015-02-01;MA;7b9fcb0c-b186-4b43-b289-476c3a2960dd;b27beba7-ca02-4041-a9e0-1793bcd141fe;90363bf8-3523-45a0-9558-1879f2e2a5be
;2015-02-01;SC;c3d3625e-ea63-4afa-8519-86cff2399cdf;b27beba7-ca02-4041-a9e0-1793bcd141fe;a765660d-d46c-4152-80b9-c25b7d31fc3c
;2015-02-01;RN;8fa4ec72-82c0-4868-a76a-ed04e6e57caf;b27beba7-ca02-4041-a9e0-1793bcd141fe;519fd802-8e88-41c7-acda-20c407f274f0
