cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slp:resource_uri
2016-05-23;AL;2015-02-01;12742186-5bc8-4bd9-932c-fe247f8c6f3c;0559c847-a666-4485-9cdf-303dfe7d65d1;447b0d29-32af-49c3-9729-7e8431d9a729
;SP;2015-02-01;15d73351-e972-4a4b-8bae-80ac730513b5;96f66e7b-07e7-449f-a5e2-0f120ff2a7c7;2c322923-591d-474a-a244-a03626d9975c
;MG;2015-02-01;0328f737-88fc-4325-9e2a-300cec9b9cae;61dd535b-5714-457f-a5ce-bb12486985ca;305d4df6-4399-44b3-9487-1d6bc4aa1ac4
;PA;2015-02-01;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;bf4577bb-0d33-4427-9332-75b1dbe299bb;cc0bb14f-ff92-48e3-8a18-4f96a525563a
;PR;2015-02-01;15a7dab6-461f-4543-929c-93d2e6ed0069;c7b457cb-2804-47e6-abbd-d281484c187b;fd49df99-fbcb-4419-a727-528602c77e9c
;ES;2015-02-01;fda9e9b6-791b-4063-92dd-942f1bd28e88;37c5b391-48c5-4d83-a6c9-35b652740962;616a131c-0ca8-4e4f-aebf-eb3f5960f9a6
;PE;2015-02-01;e4658aff-e9cd-49a5-a2c5-7c557baa744c;2afc05ba-99b8-442e-a1ea-ad0c9c6fecac;0bc153e5-677f-4e34-9340-92a906753b72
2015-02-03;SP;2015-02-01;7dd105df-c756-44c3-9a42-7655937beeda;cb3ad25c-fb98-47cc-a2bb-d984595a2268;1965c1a7-3981-4938-9b32-9f0e3e66f41c
;RJ;2015-02-01;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;701a625d-a3d6-4c5d-a838-32720ddcd673;3df7833c-19db-4fd2-8998-682f953f6fcb
;SC;2015-02-01;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;a3673d6b-3431-48e3-925b-077814a2d789;ba2bb88e-90b3-47ea-a6d9-11d73b0c24af
;RR;2015-02-01;2497fcf9-d994-4c8e-b48e-a4be711b78fc;fa2e537f-b23d-4d39-8b32-40d991a0b9ab;98b34e33-11ea-4ced-8f20-5878c7a5e9d2
;AP;2015-02-01;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;5c6e95eb-c256-4b9a-a809-87472707945f;8cc905c3-7080-442d-ad13-00bf9263b173
;PE;2015-02-01;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;cb5bbf15-1ffd-4c6b-8682-255dd5e1dade;f142255e-a9ea-4ce1-9260-c18f5d5e1a2b
;SP;2015-02-01;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;16509835-122a-4b91-8c84-64022f2c6d86;198d4f1c-97ee-4b80-a6b6-87dea2e8b986
;PA;2015-02-01;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;59f9c675-4f6c-46d5-bba7-e3c5ee046735;306e67fa-90d0-42a9-afdd-15c143c63472
;CE;2015-02-01;b004a190-744c-47e6-af4f-ddffd36adc96;252044e8-5065-4661-9140-5af918414fd0;ac111305-3eab-4a45-ac2f-d29302e18c9c
;RJ;2015-02-01;99a43ef5-ded5-48bf-9792-dd1d74c5cd9c;95538b2b-ce54-4125-a88e-611233ef4f71;3bf2fd66-d320-4ec8-9ed6-441981d9f0ee
;AP;2015-02-01;9a5e3486-1552-476d-a619-fa898782adc3;2f1989ec-4eaf-489b-8485-078f9b733465;70d81bad-7e71-4d5d-8f13-1a2387fea68e
;BA;2015-02-01;890ee311-1045-41ee-af3c-d267db92e573;1587bbb9-6ddb-4754-b47f-af211f334bd4;9cc410f4-eac5-417f-ad5a-1f15e5941280
;RS;2015-02-01;e2f3d761-a44a-4bae-bdcb-ddc5b865c410;0a6a7c84-2233-46a9-98ce-1a77bdd044b5;a6bf1258-4982-4278-8b74-c72031b4a206
;SP;2015-02-01;81be1c11-327d-4965-baff-2ec0316df925;832df926-59c5-4a11-9214-52d1b746c9be;2f469e51-29b8-46de-b291-5c773abe2e05
;MG;2015-02-01;f3872356-c9a4-43e7-a342-1281395d1f04;ea556adf-8d2e-4f20-bead-46fd53fd6fc9;3248285a-a101-4099-92b2-61fec5a84ffc
;GO;2015-02-01;118687ac-a58d-4f53-bc3e-aea766ff9049;07aba631-554d-42d1-9a45-e779d71acf7a;4c092c1f-35cb-4be7-8bd3-4dcfdc26afc9
;RO;2015-02-01;52b945a0-5db5-44a4-b13c-61b64dd99165;402b8f4e-a797-42ed-9046-3562ee7ba1c4;46366ac8-3421-472e-adac-249e5bc3c655
;SP;2015-02-01;3458f5a3-cf98-42f4-b46a-64bae2b3e39c;3a4310c4-b036-4f97-b7b5-024ad96f4279;f44be2cd-7377-411f-b94c-8a74b62617b8
;MG;2015-02-01;96277a2a-f12c-49ee-a52a-2119d7f1fa4f;8ca2c5a9-267a-41bb-8ccd-ca60a6f065e3;6334cbc9-303c-43dc-b777-17ee4fc6fecb
;SP;2015-02-01;32b7704b-7ccb-42a4-9864-0d10fad81f98;4222eca6-182c-4d7d-b716-90794723b222;49953702-9553-4dd7-b5df-a32a01c4bc82
2017-04-11;MG;2015-02-01;f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05;e78166ed-009d-49fd-8202-31eda4cc8bff;9702bd69-97bd-4a62-8c15-2889a0de3ce3
