org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2007-08-01;1999-02-01;PFL;943e3ce5-d020-4485-86f1-1009ced01e30
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-01;PR;dcd5700f-5725-4d61-a01b-1995346eb90e
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2006-12-19;1999-02-01;PL;c5062859-12cb-48d5-8df2-ae0d4ef7093e
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-09-13;PMDB;3b75efa5-5456-4721-8f84-cf86642cc4d7
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-09-04;2015-02-01;PSB;a71871c3-3cd5-4d20-91ec-36ac0fab221c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-01-31;PT;fdfcac58-3c31-41af-beb5-56b378ed1182
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2016-03-28;1999-02-01;PT;c5f72dbe-2dd2-476c-9500-81f15929a847
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PMDB;8fd02bde-4f61-4c18-89bb-9f443c37804a
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-02-01;PMDB;849bc5ba-5de4-47ae-85e7-f6d8af08684c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2014-12-30;PR;d4685010-db0b-4e16-964d-f43db92a2477
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2014-12-29;2013-10-01;SD;6c3cf5e4-c5b3-40ae-9a51-3f56fc281c19
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2013-09-30;2011-01-27;PR;87651f96-be1e-45e3-97da-a050fc8f1bdb
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-25;2007-02-01;PSDB;122c5edc-ab76-49b9-a153-4c6a42c22fc5
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PCdoB;949630b0-106b-4c52-911d-55fb62a2b519
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PMDB;bd2dc502-5c64-4da7-afe5-70d38479799c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-02-01;PMDB;f7895d1a-e398-4161-af0a-1c2e86523d3c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2008-03-26;PSC;34fecb4c-5c80-4f7d-91ef-b970672ef592
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PDT;64baec06-e21a-4217-97cb-0df938190e93
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-02-01;PSDB;4f366002-c2eb-4658-8cd0-3c7359c7ac73
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-01-31;PTB;58a64876-ccd7-48f5-aa80-2913dafb460d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-01-26;2015-02-01;PDT;a7bc3b97-0b57-4ee6-a527-2ba8a3dc6e76
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-02-01;PTB;736cc031-78c6-4ef2-98bc-f43caa77299c
