org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
85e8b745-786b-4782-a8a1-e3b3164a3f22;0edfc607-575e-40b4-bfc5-c041b853f22b;2006-12-19;1999-02-01;PL;3a8be23b-f9e1-424b-9ac0-0dd0999e525e
85e8b745-786b-4782-a8a1-e3b3164a3f22;b7143f30-1dac-4a30-b43c-f4588fceee64;2016-03-28;1999-02-01;PT;bb063ffa-7785-46c8-abc2-e1857015c43f
85e8b745-786b-4782-a8a1-e3b3164a3f22;b1197415-f11f-45a4-90a8-1adddbced6a9;;2011-02-03;PT;6689182c-8797-43fb-bdf6-5a62da7e8787
85e8b745-786b-4782-a8a1-e3b3164a3f22;226d9100-6f05-4959-a370-1f6718e57587;;2011-01-31;PT;9c951888-b36f-4a29-8de3-c33793b46ad0
85e8b745-786b-4782-a8a1-e3b3164a3f22;835aa6e1-10ed-4ff9-a0c8-309db3c19301;;2015-02-01;PSB;3fda8291-21dd-49f6-8af8-8627b883dcd1
85e8b745-786b-4782-a8a1-e3b3164a3f22;f469fdcf-60f0-4462-a0f2-3e1d14d5f752;2015-01-31;1999-02-01;PDT;5d2907d7-d019-4e98-a974-830bd1e199b7
85e8b745-786b-4782-a8a1-e3b3164a3f22;963b250d-3792-4ecf-92dd-67dc3220ad2d;;2007-02-01;PMDB;3fcd0cee-d7e6-4896-bd66-3bdb5a5a542e
85e8b745-786b-4782-a8a1-e3b3164a3f22;6a1c4075-a43e-47da-b4d4-6c0232f16db0;;2014-12-30;PR;cde6452d-519e-418e-8979-1183dd5518f7
85e8b745-786b-4782-a8a1-e3b3164a3f22;60a63f50-8d2e-475f-b41e-7e974909ad93;2014-12-29;2013-10-01;SD;457b0598-ba53-462e-adb3-a234cff8b6d8
85e8b745-786b-4782-a8a1-e3b3164a3f22;89fa5a01-4efc-4e52-8b61-dba70deeff67;2013-09-30;2011-01-27;PR;dc1a25ef-2437-4857-a733-1b3b8c36579a
85e8b745-786b-4782-a8a1-e3b3164a3f22;658d4920-8f11-487f-87a2-e4ccae358cf3;2011-01-25;2007-02-01;PSDB;c9b198b3-a5fa-4476-9fe5-0fac33790d33
85e8b745-786b-4782-a8a1-e3b3164a3f22;d4561e1a-b09f-483a-a776-4c1fb7faa62e;;1999-02-01;PMDB;643d14f3-a02e-4ef1-bff6-da9acdac824d
85e8b745-786b-4782-a8a1-e3b3164a3f22;8b16498f-b98f-448a-91b4-46ea79454a5c;;2008-03-26;PSC;e55960a1-dc57-4126-943e-a2108f330a63
85e8b745-786b-4782-a8a1-e3b3164a3f22;83b6dd33-e425-4efc-a127-0a3faddb8a7b;;1999-02-01;PCdoB;292a8cb2-a3bc-4f20-9c09-9cad15405170
85e8b745-786b-4782-a8a1-e3b3164a3f22;99e7c4fe-5e1b-4c77-ae2a-0b98f007764c;;2003-02-01;PMDB;6d336c0e-fef5-40b5-8e3a-c31a9ef33dee
85e8b745-786b-4782-a8a1-e3b3164a3f22;2bc0e125-8ec7-4f25-9b73-3e3e32d90c1f;;2011-02-03;PSDB;c9c1823a-d7be-4ed8-a332-5a30ead770d1
85e8b745-786b-4782-a8a1-e3b3164a3f22;c50e5c63-c11f-4d97-84ec-68e7ac5f5080;;2011-02-03;PT;c52c1398-7be8-4539-b1d3-99ec579729d0
85e8b745-786b-4782-a8a1-e3b3164a3f22;cd61aeae-d85f-46b7-a39f-3f0647d5840e;;1999-02-01;PT;66cff76c-c1d3-476f-81d2-e2f053d6c126
85e8b745-786b-4782-a8a1-e3b3164a3f22;28d66201-fa77-4693-aab7-9274e7b1b7be;;2011-02-03;PMDB;cabd05dd-f636-431b-9e5a-b8298719f97b
85e8b745-786b-4782-a8a1-e3b3164a3f22;c66e651d-9aaa-41d0-92a4-8e7548a1902f;;2011-02-03;PRB;32065184-640d-463b-91f6-79a610cb63fe
