cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
74103;FRANCISCO ARIOSTO HOLANDA;ARIOSTO HOLANDA;cde5e48f3f3d3a03a927e58864666e8f
74103;FRANCISCO ARIOSTO HOLANDA;ARIOSTO HOLANDA;cde5e48f3f3d3a03a927e58864666e8f
74103;FRANCISCO ARIOSTO HOLANDA;ARIOSTO HOLANDA;cde5e48f3f3d3a03a927e58864666e8f
74103;FRANCISCO ARIOSTO HOLANDA;ARIOSTO HOLANDA;cde5e48f3f3d3a03a927e58864666e8f
185500;DEOCLIDES ANTONIO SANTOS NETO MACEDO;DEOCLIDES MACEDO;45787fc5ca96276af2eec7a984640bac
124411;MAURO PEREIRA;MAURO PEREIRA;0798510429fc58dcf4986a01d813fdbb
181316;ELIZEU DIONIZIO SOUZA  DA SILVA;ELIZEU DIONIZIO;8327feb335be02b4fbcb9c5e34e760f2
74308;VICENTE FERREIRA DE ARRUDA COELHO;VICENTE ARRUDA;14c8117777d1b6983bf47851bf893913
74308;VICENTE FERREIRA DE ARRUDA COELHO;VICENTE ARRUDA;14c8117777d1b6983bf47851bf893913
74308;VICENTE FERREIRA DE ARRUDA COELHO;VICENTE ARRUDA;14c8117777d1b6983bf47851bf893913
74308;VICENTE FERREIRA DE ARRUDA COELHO;VICENTE ARRUDA;14c8117777d1b6983bf47851bf893913
187008;SILAS FREIRE PEREIRA E SILVA;SILAS FREIRE;b1872a0e562b02ed843a0f14d02d867b
131966;José Alberto Fogaça de Medeiros;JOSÉ FOGAÇA;bacb7f6ab067416d867919d023290b4f
73568;CELSO ALENCAR RAMOS JACOB;CELSO JACOB;95c7fa79179a1adbca4ae751afeb75ce
73568;CELSO ALENCAR RAMOS JACOB;CELSO JACOB;95c7fa79179a1adbca4ae751afeb75ce
180545;OSMAR STUART BERTOLDI;OSMAR BERTOLDI;569da6fd21c945e201bffde90386c4ba
160582;JOSÉ ALBERTO OLIVEIRA VELOSO FILHO;ALBERTO FILHO;4d5d3e6498d808f1a3e0916f33f525d5
160582;JOSÉ ALBERTO OLIVEIRA VELOSO FILHO;ALBERTO FILHO;4d5d3e6498d808f1a3e0916f33f525d5
101309;DAVIDSON DE MAGALHÃES SANTOS;DAVIDSON MAGALHÃES;be691f02a69334caf6da6bd011c00512
160631;WALNEY DA ROCHA CARVALHO;WALNEY ROCHA;0f399862ae8304b88134541f3398a4e2
160631;WALNEY DA ROCHA CARVALHO;WALNEY ROCHA;0f399862ae8304b88134541f3398a4e2
73805;ROBERTO JOÃO PEREIRA FREIRE;ROBERTO FREIRE;f3f822f94289081103cbcfd081d60b9b
73805;ROBERTO JOÃO PEREIRA FREIRE;ROBERTO FREIRE;f3f822f94289081103cbcfd081d60b9b
73805;ROBERTO JOÃO PEREIRA FREIRE;ROBERTO FREIRE;f3f822f94289081103cbcfd081d60b9b
160665;AUGUSTO RODRIGUES COUTINHO DE MELO;AUGUSTO COUTINHO;1837207751500d52499c13f13e1fb5f0
160665;AUGUSTO RODRIGUES COUTINHO DE MELO;AUGUSTO COUTINHO;1837207751500d52499c13f13e1fb5f0
160660;MARCELO THEODORO DE AGUIAR;MARCELO AGUIAR;799d94699c9d8a873e31aec41d5dec0f
160660;MARCELO THEODORO DE AGUIAR;MARCELO AGUIAR;799d94699c9d8a873e31aec41d5dec0f
160676;FERNANDO DANTAS TORRES;FERNANDO TORRES;f7e0504294e53e01c6268e03c5b6d951
160676;FERNANDO DANTAS TORRES;FERNANDO TORRES;f7e0504294e53e01c6268e03c5b6d951
74474;CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CARLOS EDUARDO CADOCA;162f64364f291a7c03421d68e4abc23d
74474;CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CARLOS EDUARDO CADOCA;162f64364f291a7c03421d68e4abc23d
74474;CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CARLOS EDUARDO CADOCA;162f64364f291a7c03421d68e4abc23d
74474;CARLOS EDUARDO CINTRA DA COSTA PEREIRA;CARLOS EDUARDO CADOCA;162f64364f291a7c03421d68e4abc23d
92699;FERNANDO MONTEIRO DE ALBUQUERQUE;FERNANDO MONTEIRO;600b0780579b00fbd012aa3d8e48d512
74372;JOÃO SANDES JÚNIOR;SANDES JÚNIOR;0e245534512917219cdd244c41da3d91
74372;JOÃO SANDES JÚNIOR;SANDES JÚNIOR;0e245534512917219cdd244c41da3d91
74372;JOÃO SANDES JÚNIOR;SANDES JÚNIOR;0e245534512917219cdd244c41da3d91
74372;JOÃO SANDES JÚNIOR;SANDES JÚNIOR;0e245534512917219cdd244c41da3d91
74277;ANTONIO ADOLPHO LOBBE NETO;LOBBE NETO;ff07c0bae83c39ebfe249147acf484b8
74277;ANTONIO ADOLPHO LOBBE NETO;LOBBE NETO;ff07c0bae83c39ebfe249147acf484b8
74277;ANTONIO ADOLPHO LOBBE NETO;LOBBE NETO;ff07c0bae83c39ebfe249147acf484b8
133374;ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;0619a608d90f2633bc0b259580c3b13e
133374;ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;0619a608d90f2633bc0b259580c3b13e
133374;ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;0619a608d90f2633bc0b259580c3b13e
133374;ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;0619a608d90f2633bc0b259580c3b13e
73584;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;61f3bb7a8e6bbe17e3988dad717d6f24
73584;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;61f3bb7a8e6bbe17e3988dad717d6f24
73584;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;61f3bb7a8e6bbe17e3988dad717d6f24
73584;ANTONIO CARLOS DE MENDES THAME;ANTONIO CARLOS MENDES THAME;61f3bb7a8e6bbe17e3988dad717d6f24
160543;ANDRÉ LUIS DANTAS FERREIRA;ANDRE MOURA;73ca0003db34528d6b7d9ab7b98d17a9
160543;ANDRÉ LUIS DANTAS FERREIRA;ANDRE MOURA;73ca0003db34528d6b7d9ab7b98d17a9
141560;WALTER SHINDI IIHOSHI;WALTER IHOSHI;9f1fd94a33f1b6365f0649e81090c182
141560;WALTER SHINDI IIHOSHI;WALTER IHOSHI;9f1fd94a33f1b6365f0649e81090c182
141560;WALTER SHINDI IIHOSHI;WALTER IHOSHI;9f1fd94a33f1b6365f0649e81090c182
160535;DIONILSO MATEUS MARCON;MARCON;eb86fee0ed47469617e3579a47b76730
160535;DIONILSO MATEUS MARCON;MARCON;eb86fee0ed47469617e3579a47b76730
160611;ANTÔNIO PINHEIRO JÚNIOR;TONINHO PINHEIRO;59732fedb7130006ba5a754ae6afef07
160611;ANTÔNIO PINHEIRO JÚNIOR;TONINHO PINHEIRO;59732fedb7130006ba5a754ae6afef07
178841;JOSÉ CÍCERO SOARES DE ALMEIDA;CÍCERO ALMEIDA;40950be552b14179da5316a7ddc7576d
141513;OLAVO BILAC PINTO NETO;BILAC PINTO;9d5c32a8d1f92749308762291ccc4c7d
141513;OLAVO BILAC PINTO NETO;BILAC PINTO;9d5c32a8d1f92749308762291ccc4c7d
141513;OLAVO BILAC PINTO NETO;BILAC PINTO;9d5c32a8d1f92749308762291ccc4c7d
74395;JOSÉ OTÁVIO GERMANO;JOSÉ OTÁVIO GERMANO;48e8d2be8346c694e1e45aab39816214
74395;JOSÉ OTÁVIO GERMANO;JOSÉ OTÁVIO GERMANO;48e8d2be8346c694e1e45aab39816214
74395;JOSÉ OTÁVIO GERMANO;JOSÉ OTÁVIO GERMANO;48e8d2be8346c694e1e45aab39816214
74395;JOSÉ OTÁVIO GERMANO;JOSÉ OTÁVIO GERMANO;48e8d2be8346c694e1e45aab39816214
141401;CARLOS GOMES BEZERRA;CARLOS BEZERRA;ca1095b82e63c9701d301b0fcad17496
141401;CARLOS GOMES BEZERRA;CARLOS BEZERRA;ca1095b82e63c9701d301b0fcad17496
141401;CARLOS GOMES BEZERRA;CARLOS BEZERRA;ca1095b82e63c9701d301b0fcad17496
160600;ARTHUR DE OLIVEIRA MAIA DA SILVA;ARTHUR OLIVEIRA MAIA;3f8ff039f2cb68fb2af9f0e0b67e39c0
160600;ARTHUR DE OLIVEIRA MAIA DA SILVA;ARTHUR OLIVEIRA MAIA;3f8ff039f2cb68fb2af9f0e0b67e39c0
74833;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;49105dab3cfa5c9307a46b38eedec417
74833;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;49105dab3cfa5c9307a46b38eedec417
74833;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;49105dab3cfa5c9307a46b38eedec417
74833;AROLDE DE OLIVEIRA;AROLDE DE OLIVEIRA;49105dab3cfa5c9307a46b38eedec417
74299;JOSÉ LEÔNIDAS DE MENEZES CRISTINO;LEÔNIDAS CRISTINO;1171838345ed269733f05d07a6f49149
74299;JOSÉ LEÔNIDAS DE MENEZES CRISTINO;LEÔNIDAS CRISTINO;1171838345ed269733f05d07a6f49149
141478;LAERTE RODRIGUES DE BESSA;LAERTE BESSA;93efa5159f0e5794c33cb048766ffd33
141478;LAERTE RODRIGUES DE BESSA;LAERTE BESSA;93efa5159f0e5794c33cb048766ffd33
178844;PEDRO TORRES BRANDÃO VILELA;PEDRO VILELA;292d00739463e6f16f33c9a0952fe2d7
178973;ANA LUCIA LIPPAUS PERUGINI;ANA PERUGINI;fedca07d26773ad1725b941337c1674d
160561;JOSÉ OLIMPIO SILVEIRA MORAES;MISSIONÁRIO JOSÉ OLIMPIO;ac075a35de2f796a91fd1b249447a45c
160561;JOSÉ OLIMPIO SILVEIRA MORAES;MISSIONÁRIO JOSÉ OLIMPIO;ac075a35de2f796a91fd1b249447a45c
73441;CELSO UBIRAJARA RUSSOMANNO;CELSO RUSSOMANNO;4f5fc3ebe8e362077f3b5e114baf071b
73441;CELSO UBIRAJARA RUSSOMANNO;CELSO RUSSOMANNO;4f5fc3ebe8e362077f3b5e114baf071b
73441;CELSO UBIRAJARA RUSSOMANNO;CELSO RUSSOMANNO;4f5fc3ebe8e362077f3b5e114baf071b
160653;ROBERTO ALVES DE LUCENA;ROBERTO DE LUCENA;ade0322e3c90073d633b8aacaaff79bb
160653;ROBERTO ALVES DE LUCENA;ROBERTO DE LUCENA;ade0322e3c90073d633b8aacaaff79bb
74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;5b7663f198b9861036cff99e06eda725
74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;5b7663f198b9861036cff99e06eda725
74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;5b7663f198b9861036cff99e06eda725
74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;5b7663f198b9861036cff99e06eda725
74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;5b7663f198b9861036cff99e06eda725
160556;JOÃO CARLOS SIQUEIRA;PADRE JOÃO;5795d3354a6b3266439b04b5fc786081
160556;JOÃO CARLOS SIQUEIRA;PADRE JOÃO;5795d3354a6b3266439b04b5fc786081
141458;JOÃO CARLOS PAOLILO BACELAR FILHO;JOÃO CARLOS BACELAR;0917e4b2f68484bc096cf9c3c982fa1a
141458;JOÃO CARLOS PAOLILO BACELAR FILHO;JOÃO CARLOS BACELAR;0917e4b2f68484bc096cf9c3c982fa1a
141458;JOÃO CARLOS PAOLILO BACELAR FILHO;JOÃO CARLOS BACELAR;0917e4b2f68484bc096cf9c3c982fa1a
178989;RENATA HELLMEISTER DE ABREU;RENATA ABREU;22347716fddeb5d6a78ce94b0f820b08
178951;RAFAEL HUETE DA MOTTA;RAFAEL MOTTA;0c5740f1d9ed497f26110b7c1fc7d69a
141536;RÔMULO JOSÉ DE GOUVEIA;RÔMULO GOUVEIA;30d32aadb75667abeca1390079687537
141536;RÔMULO JOSÉ DE GOUVEIA;RÔMULO GOUVEIA;30d32aadb75667abeca1390079687537
178846;ALFREDO PEREIRA DO NASCIMENTO;ALFREDO NASCIMENTO;d055efff4340e81fefc8c37c690a89ea
178865;FLAVIO ALVES SABINO;CABO SABINO;e66e2b4c0a202b035b1ceb5db24bb1f7
160612;SERGIO ZVEITER;SERGIO ZVEITER;c9a978684a12bf66b7b0684681297384
160612;SERGIO ZVEITER;SERGIO ZVEITER;c9a978684a12bf66b7b0684681297384
178882;ANDRE LUIZ CARVALHO RIBEIRO;ANDRÉ FUFUCA;93c057d2e204415b359c576696e26ea4
160673;GIOVANI CHERINI;GIOVANI CHERINI;4df58729c582e3ed71c5ec12d1e355a9
160673;GIOVANI CHERINI;GIOVANI CHERINI;4df58729c582e3ed71c5ec12d1e355a9
160621;SANDRO ALEX CRUZ DE OLIVEIRA;SANDRO ALEX;43fa649a92d563b6e2f6d4b4114b88f5
160621;SANDRO ALEX CRUZ DE OLIVEIRA;SANDRO ALEX;43fa649a92d563b6e2f6d4b4114b88f5
64960;MARIA HELENA VERONESE RODRIGUES;MARIA HELENA;1a1e93bb7615021b7289497c85bb5800
64960;MARIA HELENA VERONESE RODRIGUES;MARIA HELENA;1a1e93bb7615021b7289497c85bb5800
64960;MARIA HELENA VERONESE RODRIGUES;MARIA HELENA;1a1e93bb7615021b7289497c85bb5800
74040;BENJAMIN GOMES MARANHÃO NETO;BENJAMIN MARANHÃO;125b75b835bd3f45e3d9bc6535964b7d
74040;BENJAMIN GOMES MARANHÃO NETO;BENJAMIN MARANHÃO;125b75b835bd3f45e3d9bc6535964b7d
74040;BENJAMIN GOMES MARANHÃO NETO;BENJAMIN MARANHÃO;125b75b835bd3f45e3d9bc6535964b7d
178938;BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;d92143bd13ac5a61bdb8435581237303
73483;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;77dadc15f14d848bcab3b17b6f6cbef3
73483;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;77dadc15f14d848bcab3b17b6f6cbef3
73483;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;77dadc15f14d848bcab3b17b6f6cbef3
73483;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;77dadc15f14d848bcab3b17b6f6cbef3
178898;SERGIO LUCIO DE ALMEIDA;TENENTE LÚCIO;a8d3775a32a2919d59c89b4113c5826e
178957;ABEL SALVADOR MESQUITA JUNIOR;ABEL MESQUITA JR.;aed6224c8c381b6e184198948059bcca
160598;FLÁVIA CARREIRO ALBUQUERQUE MORAIS;FLÁVIA MORAIS;d70a34bd021e5a634e93d659d03414b9
160598;FLÁVIA CARREIRO ALBUQUERQUE MORAIS;FLÁVIA MORAIS;d70a34bd021e5a634e93d659d03414b9
160617;THIAGO MELLO PEIXOTO DA SILVEIRA;THIAGO PEIXOTO;86d9d611f0a645fee56d2e0e0877e11c
160617;THIAGO MELLO PEIXOTO DA SILVEIRA;THIAGO PEIXOTO;86d9d611f0a645fee56d2e0e0877e11c
160515;RONALDO JOSÉ BENEDET;RONALDO BENEDET;d1570b0766b275cf40068fab1026ac25
160515;RONALDO JOSÉ BENEDET;RONALDO BENEDET;d1570b0766b275cf40068fab1026ac25
74140;JOSÉ CARLOS LEÃO DE ARAÚJO;JOSÉ CARLOS ARAÚJO;ce7fcbd5f9ea3c755b39e597fed3f643
74140;JOSÉ CARLOS LEÃO DE ARAÚJO;JOSÉ CARLOS ARAÚJO;ce7fcbd5f9ea3c755b39e597fed3f643
74140;JOSÉ CARLOS LEÃO DE ARAÚJO;JOSÉ CARLOS ARAÚJO;ce7fcbd5f9ea3c755b39e597fed3f643
74140;JOSÉ CARLOS LEÃO DE ARAÚJO;JOSÉ CARLOS ARAÚJO;ce7fcbd5f9ea3c755b39e597fed3f643
73433;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;c236c68d1ab6e61ac05c549a06955732
73433;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;c236c68d1ab6e61ac05c549a06955732
73433;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;c236c68d1ab6e61ac05c549a06955732
73433;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;c236c68d1ab6e61ac05c549a06955732
178970;JOAO SOMARIVA DANIEL;JOÃO DANIEL;bfc3a21b04486f1f0d7689a8515bc3d2
178986;NILTO IGNACIO TATTO;NILTO TATTO;2e07e35b882279afef34c75f28791234
178916;DANIEL PIRES COELHO;DANIEL COELHO;8dad2de3232de38fd6460e6fcbd73a5c
160532;ADRIANO ELI CORRÊA;ELI CORREA FILHO;c52c0c7115c9dd9f9bc58115c61187cc
160532;ADRIANO ELI CORRÊA;ELI CORREA FILHO;c52c0c7115c9dd9f9bc58115c61187cc
160636;JOSÉ WILSON SANTIAGO FILHO;WILSON FILHO;25b43c4c7c9fb2b47c9ebec7df79b7b5
160636;JOSÉ WILSON SANTIAGO FILHO;WILSON FILHO;25b43c4c7c9fb2b47c9ebec7df79b7b5
178833;ALEXANDRE AUGUSTUS SERFIOTIS;ALEXANDRE SERFIOTIS;0d9aaa629879fe27435d80a2da1469e7
178904;EZEQUIEL ANGELO FONSECA;EZEQUIEL FONSECA;a3ff12708d2dc83d0a087f3f11630f39
76287;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;35e6d568220831e252347905fa973553
76287;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;35e6d568220831e252347905fa973553
92776;STEFANO AGUIAR DOS SANTOS;STEFANO AGUIAR;2b8eb6f08b64f3a0863ccd893c909b31
92776;STEFANO AGUIAR DOS SANTOS;STEFANO AGUIAR;2b8eb6f08b64f3a0863ccd893c909b31
74535;BENITO DA GAMA SANTOS;BENITO GAMA;8e90e0a14ef7e9403b236adc00ecfebd
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
159238;MARCUS VINÍCIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;74bfdec52533a202ad40d221cb3241e1
159238;MARCUS VINÍCIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;74bfdec52533a202ad40d221cb3241e1
141434;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;3f04a87ddb6df6fb86a2b9fa00a7f842
141434;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;3f04a87ddb6df6fb86a2b9fa00a7f842
141434;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;3f04a87ddb6df6fb86a2b9fa00a7f842
166402;MAGDA MOFATTO HON;MAGDA MOFATTO;88d37f2042927958ccf5876896692a01
166402;MAGDA MOFATTO HON;MAGDA MOFATTO;88d37f2042927958ccf5876896692a01
178901;TEREZA CRISTINA CORREA DA COSTA DIAS;TEREZA CRISTINA;64821e340e16e48cc582ac0d6c933fbe
177282;LUIZ GONZAGA RIBEIRO;SUBTENENTE GONZAGA;955c67745681dc7cff51f92335166159
