slp:resource_uri;rdfs:label;rdfs:seeAlso;skos:prefLabel
15aa3075-606c-4f6d-8338-cec805a559e2;Eduardo Benedito Lopes;Eduardo Lopes;4767
8a421783-f64e-4cd3-899f-5f7c9f66b67d;Eladio Barbosa Carneiro;Eladio Carneiro;5587
111ff5b1-cae7-4027-af0f-bff0712942fd;Elaine Matozinhos Ribeiro;Elaine Matozinhos Ribeiro;5146
f8c1d74d-3fdb-4eb4-a2f3-db6ee9d136a9;Elber Batalha de Goes;Elber Batalha;4969
9fdc072f-17be-4812-87f5-52ada4743c56;Eliane Rodrigues de Andrade Ferreira;Eliane Rodrigues;5605
6a8fa67f-e57e-4598-ad06-acac1b5bd524;Elmano Férrer de Almeida;Elmano Férrer;5531
aef469d0-9c30-4a67-8729-4a3d0a4eee69;Elmiro Alves do Nascimento;Elmiro Alves do Nascimento;5148
03095b04-8eb3-4949-a805-7e07714562a6;Emir Simão Sader;Emir Simão Sader;5064
c25cc8d1-68b1-4471-b37a-ff7187574ab8;Enivaldo Euzébio dos Anjos;Enivaldo Euzébio dos Anjos;5126
c85bf7cf-7dfe-4459-9c32-764a957e5ac9;Eunício Lopes de Oliveira;Eunício Oliveira;612
00f3caaa-3e29-40a1-a479-8d6ff582af76;Fadi Fayez Faraj;Fadi Faraj;5581
bb7aae40-3619-41df-afe8-bbdea1744260;Fernando Bezerra de Souza Coelho;Fernando Bezerra Coelho;5540
1a2d5bee-3a0d-427f-99b0-ef4d409d89a2;Fernando Carvalho Lage;Fernando Carvalho Lage;5026
85c147ec-1971-4285-bef3-c8e0fd9fe263;Fernando Affonso Collor de Mello;Fernando Collor;4525
bd5af03f-18c9-4c1d-8791-b028bcc8e28f;Fernando Antonio Mendes Façanha Filho;Fernando Façanha;5577
ee0b34a4-fcfb-4125-b639-bcccbc9f429d;Fernando de Castro Ribeiro;Fernando Ribeiro;2632
5bc12883-ed16-4284-8193-d7fb143bf815;José Eduardo Fleury Fernandes Costa;Fleury;4873
a84c8c2d-fbac-4939-8bf7-ecfdf86c252b;Fernando de Souza Flexa Ribeiro;Flexa Ribeiro;3634
ae453ad6-3734-49d8-a595-f423cf4289a7;Francisco Garcia Rodrigues;Francisco Garcia;553
8c11b7d5-83f4-4a24-a161-939637c4a033;Francisco Simeão Rodrigues Neto;Francisco Simeão Rodrigues Neto;5054
969be6fb-f09a-4735-8d1a-ce460ca78a44;Francisco Wilson Ribeiro;Francisco Wilson Ribeiro;5416
79242066-3f52-40f3-871d-c44944e4d96e;Fábio Luiz Araújo Lopes de Farias;Fábio Luiz Araújo Lopes de Farias;5034
a472089d-cb04-4332-a463-0e5891e9dc8f;Maria de Fátima Bezerra;Fátima Bezerra;3713
b3612600-4027-4431-9a83-e4241a75d5f3;Félix Urano Gama de Souza;Félix Urano Gama de Souza;5162
b6ab955e-56a9-4f12-bb33-1fcfad14ebc2;Gabriel Maia Gelpke;Gabriel Maia Gelpke;5024
a8779d4d-8fd1-4968-9f47-f94268ae3d0d;Garibaldi Alves Filho;Garibaldi Alves Filho;87
fabc30fb-f72a-4fa2-9d9e-e9c989a18b20;Geovani Pinheiro Borges;Geovani Borges;4522
731d1acb-76a3-462d-92e0-916fd88825d9;Gilberto Corazza;Gilberto Corazza;5088
2a73a6c1-2d43-4cc2-8c68-5d28be3f5d29;Gilberto Piselo do Nascimento;Gilberto Piselo;5615
bfaebb8c-7001-4891-8dae-2baebdf2c3f0;Gilvam Pinheiro Borges;Gilvam Borges;30
9d34938a-1ddb-4cc5-8aa3-7a92026bb9e2;Gino Jose Ferreira;Gino Jose Ferreira;5128
044dfb05-2187-418f-93b6-03fdced1ccf4;Gladson de Lima Cameli;Gladson Cameli;4558
8742ecd6-8801-4b45-b126-9d6ffb1b6945;Gleisi Helena Hoffmann;Gleisi Hoffmann;5006
d112789e-af4c-45e9-bdd7-12f8b50e1ced;Humberto Sérgio Costa Lima;Humberto Costa;5008
fdbec3a4-6ea1-4743-8806-d17e16eb68fd;Hélio José da Silva Lima;Hélio José;5100
2471027a-8d8d-4150-b5f5-7548dd39049b;Ione Borges Ribeiro Guimarães;Ione Borges Ribeiro Guimarães;5076
64c39b8a-65d1-41cb-ad5e-73718e9b8429;Itamar Augusto Cautiero Franco;Itamar Franco;1754
2e839b46-2985-45f1-8ee2-579028dc3583;Ivanci Magno;Ivanci Magno;5418
e893c8c5-8204-4c2e-8a80-db4af33a6d00;Ivo Narciso Cassol;Ivo Cassol;5004
15fd8a0b-6a6f-41da-9320-c8fcb7401ea4;Jader Fontenelle Barbalho;Jader Barbalho;35
4bdb68bb-67ba-4542-85ca-e50313e18a2c;Janduhy Max Freire de Andrade;Janduhy Max Freire de Andrade;5022
903bab70-79f6-49d4-a465-7434d3a5236b;Jean-Paul Terra Prates;Jean-Paul Prates;5627
1b844d51-89e8-4960-b222-e1c8e4269d71;Joaquim Francisco de Freitas Cavalcanti;Joaquim Francisco;724
08a8aedf-0d3c-422b-ba8a-30b9e3d5c0c6;Joel Malucelli;Joel Malucelli;5609
cdd23e85-1be2-42cd-8d15-fa6e8ae93688;Jorge Ney Viana Macedo Neves;Jorge Viana;4990
6453f0e8-fe19-4ee2-9d4f-9fb5195fcfb2;Jorge Yoshiaki Yanai;Jorge Yanai;4885
c8a41ec7-91f3-4ec5-bc52-f99a15c6a791;Jose Amauri P. de Araújo;;5849
42942b1b-3180-4220-be4b-d0ae357a7bcd;Jose Nagib da Silva Lima;Jose Nagib da Silva Lima;5078
170a5a8e-a899-4301-892a-da369771ab8f;Jose Samuel Alcolumbre Tobelem;Josiel;5569
39c6b124-452c-45dc-b123-941cce7dce31;José Agripino Maia;José Agripino;40
8de705cd-76c6-4ec6-8b16-c49344da6a6b;José Alberto Wenzel;José Alberto Wenzel;5090
f97a73a1-03cb-4e32-a382-0177b258260f;José Amauri Pereira de Araújo;José Amauri;5188
17031a44-b65f-4638-8662-b13bf6f8ce12;José Antonio Guidoni;José Antonio Guidoni;5120
9f73ae11-6ff0-42e6-a8db-705a4692e0fa;José Aníbal Peres de Pontes;José Aníbal;878
e356eb11-90f1-49a8-85d4-a8e16a95a17e;José Carlos de Moraes Vasconcellos Filho;José Carlos Vasconcellos;5579
5c911422-7443-4bf0-8b11-9a520c8a27cb;José Eduardo de Barros Dutra;José Eduardo Dutra;43
87ae454d-d28f-4474-9f29-1bf19a2e4f5a;José Givago Raposo Tenório;José Givago Raposo Tenório;5030
8c0a7b07-274e-49ef-8183-1b0f7d2a12d4;José Targino Maranhão;José Maranhão;3361
dfb1419a-ee09-449f-9952-4ed6b289f8ff;José Antônio Medeiros;José Medeiros;5112
c856cfc4-2e0c-4430-a10f-34dcb587d91b;José Barroso Pimentel;José Pimentel;615
cbe5f9ca-9957-4942-a6f7-f06b65c62214;José Ribamar Noleto de Santana;José Ribamar Noleto de Santana;5184
e2a0c8c7-1425-4a92-bf48-39b6dc6ce113;José Rodrigues da Silva;José Rodrigues da Silva;5180
a3548a4e-4ed4-499a-b4c8-56c6c17b1ca2;José Serra;José Serra;90
ba68a161-21e0-41bd-83f7-79585009d217;José de Macedo Ferreira;José de Macedo Ferreira;5036
9e5aa786-11f0-4bf5-8a56-3c1602173afe;João Alberto de Souza;João Alberto Souza;950
27f4d6c1-1037-4962-8f06-8be2aa125bda;João Batista da Rocha Lemos;João Batista Lemos;5613
2e481b90-0e15-4db9-9b5f-610e172d594c;João Alberto Rodrigues Capiberibe;João Capiberibe;3394
24e9ce13-10bc-45c8-8e44-193ae4a05652;João Claudino Fernandes;João Claudino Fernandes;5186
320311a6-d715-4964-879e-fb101fa402bc;João Costa Ribeiro Filho;João Costa;5166
9bb51ba5-88b6-4ba3-b029-d9c49e6c3153;João Faustino Ferreira Neto;João Faustino;3593
f1457652-afbf-4a81-b6aa-b849dc561046;João Batista de Jesus Ribeiro;João Ribeiro;916
a212ab79-d828-47dc-a51c-975ff407b33f;Juçara Feitosa de Oliveira;Juçara Feitosa de Oliveira;5066
ef74cc4d-6a3a-4064-a91b-c98678c6d365;Antonio Carlos Porto de Andrade;Kaká Andrade;5158
6dc5b084-b09c-4d62-8944-a44a4cd76d4b;Kátia Regina de Abreu;Kátia Abreu;1249
89a0c997-19a7-4cb4-8de2-aa42d0be3a15;Lael Vieira Varella;Lael Varella;415
62339ad5-d4b4-4020-ba26-d7cf4fdf1a05;Lasier Costa Martins;Lasier Martins;5533
5dce3689-8680-455d-8de5-c78cee5808c0;Lauro Antonio Texeira Menezes;Lauro Antonio;5156
b98ec8d1-4549-470f-8374-366530628dbb;Luiz Lindbergh Farias Filho;Lindbergh Farias;3695
946589e6-bae5-429e-b701-5e6a2b799a5b;Lirio Albino Parisotto;Lirio Albino Parisotto;5040
f4933a10-b1bc-46c2-a343-95708afcd127;Edison Lobão Filho;Lobão Filho;3579
b86b5391-ef07-4936-b54d-adc15b1d3867;Luis Carlos Paes de Castro;Luis Carlos Paes de Castro;5092
712bd3d5-a4ea-40a7-a0d2-33df5c28b534;Luis Cláudio da Costa Avelar;Luis Cláudio da Costa Avelar;5104
fe664cb8-8e4d-49a8-84b4-64c6077fc674;Luis Augusto Mitoso Junior;Luis Mitoso;5567
84f0b753-4bfd-4ba8-861e-120b634fa4d7;Luiz Carlos do Carmo;Luiz Carlos do Carmo;5585
6685dbfc-f694-4584-8fe5-5d36264816f9;Luiz Henrique da Silveira;Luiz Henrique;5002
03244886-5296-4cdc-ae64-dfe1fef259ac;Luiz Osvaldo Pastore;Luiz Pastore;151
9a5aa90c-0426-476a-89ff-b81343f95989;Luís Guilherme Gomes Mussi;Luís Guilherme Gomes Mussi;5058
05155be5-3fab-4663-8d48-c60661febd6f;Lídice da Mata e Souza;Lídice da Mata;4575
e8ceada3-78d4-4ad4-96e0-970ee79f2b81;Lúcia Vânia Abrão;Lúcia Vânia;643
bb27415e-0cc0-4136-b350-fbdc16e841d8;Magno Pereira Malta;Magno Malta;631
7893d3a0-1086-4f00-9a37-7044bd06e773;Mailza Assis da Silva;Mailza Gomes;5557
ce1d48fc-bcab-4a87-9b9b-1967fc4939b9;Manoel Angelo Chagas;Manoel Angelo Chagas;4951
652f3735-078f-4be4-a3d0-4f112b61d155;Manoel Antônio Rodrigues Palma;Manoel Antônio Rodrigues Palma;5110
bdaab8b8-a09e-4049-8e24-3ce09a18d20f;Manoel Francisco de Vasconcelos Motta;Manoel Motta;5591
ba6dafa8-cc3f-4eab-9d5d-4ffb5f816365;Marcelo Bezerra Crivella;Marcelo Crivella;3366
279613f4-04d3-4704-a6ba-3f9b21bbe336;Marcondes Iran Benevides Gadelha;Marcondes Gadelha;710
93032104-7f52-4009-a858-98fbae3fa253;Maria Antonieta Amorim dos Santos;Maria Antonieta Amorim dos Santos;5124
969575c8-03d3-4f1c-bdf8-d95d5235309a;Maria Luza de Aquino Machado;Maria Luza de Aquino Machado;5190
74b9b29c-58f0-4fb3-b7e4-e30eadf55db6;Maria de Pompeia Lins Pessoa;Maria de Pompeia Lins Pessoa;5174
e7d85561-0ca0-45e8-8152-c9febd711cc6;Maria do Carmo do Nascimento Alves;Maria do Carmo Alves;1023
6e84ff67-e69d-4ce0-843f-5d0a40ea9dd0;Marinor Jorge Brito;Marinor Brito;4998
bcc87d5a-abdc-4dcc-93db-6c2ccff97db4;Marizete Lisboa Fernandes Pereira;Marizete;5575
c80acb03-71f9-4b43-8f77-67e15b18e2b5;Marco Jeovano Soares Ribas;Marquinho;5571
936b1c11-2ea0-4b6d-8e4c-3d6b03d57795;Marta Maria Freire da Costa;Marta Maria Freire da Costa;5142
41b97fb2-fb80-4ded-bd39-ec0edb7814bf;Marta Teresa Suplicy;Marta Suplicy;5000
a4826fa9-dcde-47aa-a4b4-eacfcea6c8f4;Mauro de Alencar Fecury;Mauro Fecury;670
6e1c9945-bff1-4e9d-8b68-d477f9f497d7;Miguel Dias de Souza;Miguel Dias de Souza;5086
e3486718-e8e8-485d-af8c-9f62eb791a02;Moacir Kohl;Moacir Kohl;5595
91e6270a-ff85-4e5c-945f-fe14ba6a8138;Márcio Bergonsi Turra;Márcio Bergonsi Turra;5094
5ac5daf9-e50d-441a-9c82-3d161037b2be;Nestor Duarte Guimarães Neto;Nestor Duarte Guimarães Neto;5176
3afbd364-424e-4be2-aead-8291237b9cf2;Nicias Lopes Ribeiro;Nicias Ribeiro;380
7b7d158b-4cb4-4ef9-9b0d-37d91c2e5c93;Ozanilda Gondim Vital do Rego;Nilda Gondim;5281
2d8bf927-e0ce-451c-95ca-08c52b1a8bec;Nilson Moura Leite Mourão;Nilson Mourão;288
28fd999b-a475-490e-ac1f-28fa87a89f40;Odacir Soares Rodrigues;Odacir Soares;64
68fbb95c-bc63-4790-9376-f40bb65279ce;Olney Ribeiro Botelho;Olney Ribeiro Botelho;5060
e86db083-aac8-4108-af0f-110d4f5b91cc;Omar José Abdel Aziz;Omar Aziz;5525
a676b763-d3e9-48b6-90f5-7dd3b049964c;Otto Roberto Mendonça de Alencar;Otto Alencar;5523
6aac961e-3c8a-49ff-860e-113cf7dab92c;Pablo Sergio Souza Bezerra;Pablo Sergio Souza Bezerra;5080
eaeae990-7b37-46b9-b628-6e56b46359d8;Amarildo Martins da Silva;Pastor Amarildo;918
9532deae-8158-4ac3-9a6c-02a991745d57;Heber Waldo Silva Costa;Pastor Bel;5018
4ee85da2-2e19-427d-879a-853052503b96;Ibanes Taveira da Silva;Pastor Ibanes Taveira;5599
dcdc616c-4ee6-4640-b71f-af2f6be5eeb8;Sebastião Valadares Neto;Pastor Valadares;5617
c0a75982-435d-4dd8-910c-3c8da2b8853c;Paulo Antenor de Oliveira;Paulo Antenor de Oliveira;5122
93072985-32b9-4d9c-a539-dc270713021f;Paulo Roberto Bauer;Paulo Bauer;3741
