sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slp:resource_uri
5154;Abiancy Cadoso Rosa;Abiancy Cadoso Rosa;96c3f158-e4b7-43af-a5b9-fd51d173bced
5108;José Aparecido dos Santos;Cidinho Santos;1aae4a8a-8e07-4d3e-b5a9-66e572c674da
5136;Cesar Antonio de Souza;Cesar Antonio de Souza;758da695-76e4-4b4b-9744-8c8594a00bcf
3398;Cristovam Ricardo Cavalcanti Buarque;Cristovam Buarque;d078c83f-fed0-4e76-abd6-17e515cb2f7b
4895;Clésio Soares de Andrade;Clésio Andrade;7b2ec4ca-44b3-461c-bb09-365c0bb4b872
739;Ciro Nogueira Lima Filho;Ciro Nogueira;5cc35c86-a110-4a52-9364-971947fc80ab
13;Casildo João Maldaner;Casildo Maldaner;191c1b95-ec86-4a4c-8d93-d46ef4007eeb
4963;Carlos Ramiro de Castro (Falecido Em 05/09/2013);Carlos Ramiro de Castro (Falecido Em 05/09/2013);0b8a340d-0c97-433a-9347-ec0550d919ea
704;Carlos Marques Dunga;Carlos Dunga;c938264c-50bf-43b9-b27f-20b682589bd8
111;Blairo Borges Maggi;Blairo Maggi;13bc1151-2c1b-499a-9ff5-bcfd29f5d5c9
4841;Carlos Augusto Coelho de Faria;Carlos Augusto Coelho de Faria;719b80dc-debe-47fa-898f-cbab3b79c921
3823;Benedito de Lira;Benedito de Lira;30a64749-0f9e-4d3d-b262-2b74ad599620
391;Aécio Neves da Cunha;Aécio Neves;ba7ab394-bbe0-465a-bfaf-ffd73a83725d
5138;Athos de Almeida Lopes;Athos de Almeida Lopes;aa2ae455-3011-4111-ba97-4107b38a6bf5
4697;Ângela Maria Gomes Portela;Ângela Portela;49a36a6b-a7a6-428e-a1ee-442809da7b89
5118;Zonir Freitas Tetila;Zonir Freitas Tetila;c03c63f4-2676-435b-9e60-88cd3765c803
5144;José Perrella de Oliveira Costa;Zeze Perrella;9314e980-6974-43ac-a637-1effe86d66be
3597;Wirlande Santos da Luz;Wirlande da Luz;dd8bf797-86e4-491a-90f1-82f92f3de0eb
3881;Clovis Antônio Chaves Fecury;Clovis Fecury;e557051a-0dcc-4dfa-b4c6-71df205e1f6a
5044;Clécio Luis Vilhena Vieira;Clécio Luis Vilhena Vieira;75af65dc-86df-40f2-8822-e89f6ae12f66
3811;José Wilson Santiago;Wilson Santiago;d7cf57c0-0ad6-4d47-a790-ee6c7af6e93c
5096;Wilmar Lacerda;Wilmar Lacerda;a8f92762-c69f-400e-aa8a-72a36131b546
4772;Wilson de Matos Silva;Wilson Matos;958a2232-5b88-4a2f-b04c-f9f91ad5339d
604;Walter de Freitas Pinheiro;Walter Pinheiro;2a7cb13f-b7a0-4cae-b752-7e44188631d9
5016;José Wellington Barroso de Araujo Dias;Wellington Dias;d3f294cc-1052-4e0d-a88d-423614a391ed
5070;Wilder Pedro de Morais;Wilder Morais;41361429-9cbb-4b8b-aea8-f65b6930035c
5082;Waldemir Catanho de Sena Júnior;Waldemir Catanho de Sena Júnior;3c5113d5-7556-4454-9f19-3ff242b117c4
1176;Waldemir Moka Miranda de Britto;Waldemir Moka;1a76c464-7810-43bb-b9eb-22290d9ed338
5084;Veridiana Maria Tonini;Veridiana Maria Tonini;6e8dc1d5-85c1-4397-bd28-0d61ac05a54b
5130;Valério Djalma Cavalcanti Marinho;Valério Djalma Cavalcanti Marinho;4374f28e-7534-47b8-ba68-894f28665db9
4645;Vital do Rêgo Filho;Vital do Rêgo;7b367dd5-bc7e-4b69-8bbb-c8f7d52c50bf
4763;Vicente Alves de Oliveira;Vicentinho Alves;b3e3ab87-cd94-4bf4-ac5a-44ca429942c3
558;Vanessa Grazziotin;Vanessa Grazziotin;be47ad7b-f680-4c71-94ff-742b80160f1e
4786;Virginio José de Carvalho Neto;Virginio de Carvalho;4ea9a28a-d5a3-42cf-895c-e10a34336ddb
3372;Valdir Raupp de Matos;Valdir Raupp;d578adbf-5ad8-41b4-8ce2-12d209ff4f01
5420;Ubiraci Picanço;Ubiraci Picanço;f7df22b7-4514-492c-894f-c943f2bbd314
5068;Tânia Cristina Magalhães Bastos e Silva;Tânia Cristina Magalhães Bastos e Silva;93a9d88e-6c7c-47b4-8200-96c7e10fce3e
982;Sebastião Afonso Viana Macedo Neves;Tião Viana;ebc16c60-7176-43a7-b8e7-d54d04aebc0a
4949;Tomás Guilherme Correia;Tomás Correia;266dbea7-ec0a-43f3-b40c-c2852ac7ae47
438;Tilden José Santiago;Tilden Santiago;ff53a5e5-469c-4f69-ad9f-b5b7c501dc44
5106;Sérgio Rogério de Castro;Sérgio de Castro;71f786fa-a4aa-43f1-8d2d-9e9e496619d9
4790;Tobias José Carneiro;Tobias José Carneiro;f5cfecba-a28c-40e7-bc73-b358cf315ffd
624;Aluísio Sérgio Novais Eleutério;Sérgio Novais;2ec016b3-02d9-4c6d-93df-42a4113e2090
5172;Sanny Japiassú dos Santos;Sanny Japiassú dos Santos;38f75c35-4440-48fc-828b-b600cd64b0b4
5056;Silvia Nascimento Cardoso dos Santos Cerqueira;Silvia Nascimento Cardoso dos Santos Cerqueira;4e9e774c-dfbd-4d37-a011-f3efed048f8e
4957;Luiz Fernando de Abreu Sodré Santoro;Sodré Santoro;c435c5ea-5bb1-468f-be0a-977051818182
5014;Shydney Jorge Rosa;Shydney Jorge Rosa;a2e9bc77-1f97-4baa-8a67-d72583f7c2c8
5048;Sergio de Souza;Sergio Souza;e08f0eae-dfc6-4b11-8295-d6428616ace6
5038;Sandra Backsmann Braga;Sandra Braga;effabc49-6baa-48bc-9bab-c87e9c13758d
4849;Salomão Alcolumbre;Salomão Alcolumbre;1a68e926-5bbc-447d-a59d-c937369849d5
4560;Sérgio de Oliveira Cunha;Sérgio Petecão;7eaf3876-907e-4ac9-a40a-722dbe789865
4893;Ruben Figueiró de Oliveira;Ruben Figueiró;c340f983-d7a9-4f18-adc1-00d32f6c1ca7
5074;Sander Fraxe Salomao;Sander Fraxe Salomao;d9cd0f0b-e869-47b8-bf39-8f1dffd8fa48
4847;Salomão Alcolumbre Júnior;Salomão Alcolumbre Júnior;2fadadcb-322e-47e3-9b5c-36baee395beb
4985;Rui Parra Motta;Rui Parra Motta;c0c9e12c-ec2d-49db-ab20-db991f0fcacf
5110;Manoel Antônio Rodrigues Palma;Rodrigues Palma;90941960-6802-478a-8929-7e0f1a0a5867
73;Romero Jucá Filho;Romero Jucá;0fd476b7-a937-49a9-bbbb-1a855be345b1
4543;Rosalba Ciarlini Rosado;Rosalba Ciarlini;71f69e81-f14b-4685-af34-6ff4a5924b2c
72;Roberto Requião de Mello e Silva;Roberto Requião;8a88da25-1d44-4225-9646-74c3890a17e6
5052;Roberto de Oliveira Muniz;Roberto Muniz;1c9b1953-2c7f-48d6-b9a1-9852e6848299
4593;Rodrigo Sobral Rollemberg;Rodrigo Rollemberg;f5e6a799-961b-40bd-802a-1ea108150796
635;Ricardo de Rezende Ferraço;Ricardo Ferraço;6e0d0ded-bda9-487d-8af6-be952c662836
71;Roberto João Pereira Freire;Roberto Freire;1a0c7065-57bf-4269-b773-a1de7af3920a
5182;Maria Regina Sousa;Regina Sousa;18a79dc1-a5b9-47fd-95e4-43405f83aebf
3868;José Renato Casagrande;Renato Casagrande;25f5eb38-75eb-4780-943e-98b544d8bc46
5072;Reditario Cassol;Reditario Cassol;73368a7d-6d83-42ee-bb47-b1f8ea54d959
70;José Renan Vasconcelos Calheiros;Renan Calheiros;0d31d0cd-9610-4bfd-bb0e-bbfaced784c0
5098;Roberto Wagner Monteiro;Roberto Wagner Monteiro;9bd5ea82-1f8e-4859-ab5a-43b237c91865
5012;Randolph Frederich Rodrigues Alves;Randolfe Rodrigues;ec0b5632-7c97-4f90-b311-10d5d7420648
4551;Raimundo Noronha Filho;Raimundo Noronha Filho;b2faae20-ca74-4c2c-848a-7a82c2a498eb
2207;Raimundo Lira;Raimundo Lira;4762ee00-efa9-44c5-8d62-41335d15e9c5
1206;João Raimundo Colombo;Raimundo Colombo;e6ff8a80-09ee-4b20-a744-69d1beefd92c
5010;José Pedro Gonçalves Taques;Pedro Taques;5cb91fae-b9e5-421e-8e05-d1bb6cfc3ca1
4927;Péricles Ferreira Olivier de Paula;Pericles Olivier;63f73970-7952-4043-9753-a9958c21344c
68;Pedro Jorge Simon;Pedro Simon;a10b1b95-34b8-4194-90ae-ca7565773331
5152;Paulo Frateschi;Paulo Frateschi;3ddacbb0-af48-4b8b-9e07-6789fc3baf5f
5050;Pedro Irno Tonelli;Pedro Irno Tonelli;3f493eae-0cdb-4bc9-9ceb-f1a905af7270
5114;Paulo Pereira Fíuza Filho;Paulo Pereira Fíuza Filho;8b348d4f-2a14-4469-8e69-83c1f83d013a
4879;Paulo Silva de Jesus;Paulo Silva de Jesus;6edd4384-17b4-4459-94b0-5186378707f6
5116;Pedro Chaves dos Santos Filho;Pedro Chaves;d508797c-50f3-4ff3-8ed0-f13aa298274f
825;Paulo Renato Paim;Paulo Paim;9910aaa7-ac6c-4077-80cc-1e0a1d15a712
5020;Paulo Roberto Davim;Paulo Davim;fa340486-53da-46b1-86ef-97d0e4cad9c1
5122;Paulo Antenor de Oliveira;Paulo Antenor de Oliveira;673d3a36-df75-4c3d-817d-f20df6259fb7
1210;Osvaldo Roberto Sobrinho;Osvaldo Sobrinho;a3e32b21-1e6a-4ae4-b72d-4bf57ab37a72
5018;Heber Waldo Silva Costa;Pastor Bel;c9e79d3c-8184-48a9-be42-d6f77b7381ed
918;Amarildo Martins da Silva;Pastor Amarildo;31bd0ba6-0ec9-4de3-a1f4-f3e64d7c01d7
5080;Pablo Sergio Souza Bezerra;Pablo Sergio Souza Bezerra;adbceaab-8637-4817-81aa-5c77594df071
3741;Paulo Roberto Bauer;Paulo Bauer;4f04ef92-4494-4abb-8ace-d527c625bca2
