slp:resource_uri;NumeroLegislatura;cam:finishDate;cam:sigla;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;sen:CodigoMandato;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;sen:UfParlamentar;sen:finishDate;sen:startDate
0eacba96-3583-4e24-87d7-c7cfc9e68f58;;;;CE;2015-02-01;08f29f51-d0dc-46ac-b318-378e0f7be3d8;9ed50284-ca6e-4882-80a4-76c62458be5f;;;;;;;
875feb53-1c6d-4fec-9e31-e8ba3e43a3b8;;2015-02-04;;PE;2015-02-01;1cc9126a-dd9b-4be8-8e09-0b4c46743473;442f1aa3-88a9-48aa-aec4-b417c3c189b8;;;;;;;
da89b9ef-00ae-4e43-8fb3-01a7dabf50e0;;;;GO;2015-02-01;0bcb1eba-2805-43e2-8565-959c8b31c187;bafc1820-771e-474b-abf9-1f6da6a01ef6;;;;;;;
c76548bb-9763-4049-be4c-385dcd769f65;;;;SP;2015-02-01;95fce76e-e824-4977-8386-bffc05763371;e51322d4-cbb1-4381-8b9f-c780b65a803c;;;;;;;
447b0d29-32af-49c3-9729-7e8431d9a729;;2016-05-23;;AL;2015-02-01;12742186-5bc8-4bd9-932c-fe247f8c6f3c;4a46c222-deed-455c-9c7c-9831710d4d89;;;;;;;
2c322923-591d-474a-a244-a03626d9975c;;;;SP;2015-02-01;15d73351-e972-4a4b-8bae-80ac730513b5;ea7f68bb-40ca-45f7-81d5-c30c6f99e888;;;;;;;
305d4df6-4399-44b3-9487-1d6bc4aa1ac4;;;;MG;2015-02-01;0328f737-88fc-4325-9e2a-300cec9b9cae;ff99b93e-cfc5-458b-ac5a-ef298381ec75;;;;;;;
cc0bb14f-ff92-48e3-8a18-4f96a525563a;;;;PA;2015-02-01;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;59cd9a11-b131-4c97-848b-610b74388eac;;;;;;;
fd49df99-fbcb-4419-a727-528602c77e9c;;;;PR;2015-02-01;15a7dab6-461f-4543-929c-93d2e6ed0069;d79e7222-2828-49ad-8d25-11c06e1082cc;;;;;;;
616a131c-0ca8-4e4f-aebf-eb3f5960f9a6;;;;ES;2015-02-01;fda9e9b6-791b-4063-92dd-942f1bd28e88;23768664-e169-48a1-a1d2-9ff30c6bb7d6;;;;;;;
0bc153e5-677f-4e34-9340-92a906753b72;;;;PE;2015-02-01;e4658aff-e9cd-49a5-a2c5-7c557baa744c;f5a9e2f3-d78a-40f8-b2ec-2c1633bbbd12;;;;;;;
1965c1a7-3981-4938-9b32-9f0e3e66f41c;;2015-02-03;;SP;2015-02-01;7dd105df-c756-44c3-9a42-7655937beeda;4a4be606-ee48-4563-bf04-af0b681fa77b;;;;;;;
3df7833c-19db-4fd2-8998-682f953f6fcb;;;;RJ;2015-02-01;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;46e407f9-e859-4b61-8a8b-93ad42efb3b8;;;;;;;
ba2bb88e-90b3-47ea-a6d9-11d73b0c24af;;;;SC;2015-02-01;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;242768fd-8ac3-4008-9cc5-45c7e1b107f3;;;;;;;
98b34e33-11ea-4ced-8f20-5878c7a5e9d2;;;;RR;2015-02-01;2497fcf9-d994-4c8e-b48e-a4be711b78fc;5d8227c0-d13c-4e15-95db-9762a9eb5b67;;;;;;;
8cc905c3-7080-442d-ad13-00bf9263b173;;;;AP;2015-02-01;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;7989c043-8633-41ef-8668-be9566a3a2b1;;;;;;;
f142255e-a9ea-4ce1-9260-c18f5d5e1a2b;;;;PE;2015-02-01;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;79080fe4-a7c5-46d5-8c21-174b1b5688ef;;;;;;;
198d4f1c-97ee-4b80-a6b6-87dea2e8b986;;;;SP;2015-02-01;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;7d234fe0-1b0e-4db3-86fd-9d384e1e5c59;;;;;;;
306e67fa-90d0-42a9-afdd-15c143c63472;;;;PA;2015-02-01;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;a5ffd689-f9dc-4937-815d-08b58e9d02d7;;;;;;;
ac111305-3eab-4a45-ac2f-d29302e18c9c;;;;CE;2015-02-01;b004a190-744c-47e6-af4f-ddffd36adc96;968a2cec-1906-43b8-bca6-10039891acca;;;;;;;
3bf2fd66-d320-4ec8-9ed6-441981d9f0ee;;;;RJ;2015-02-01;99a43ef5-ded5-48bf-9792-dd1d74c5cd9c;c136cad3-598e-4dd2-968f-79a72a1139b0;;;;;;;
