finishDate;org:member;org:role;resource_uri;role;startDate
2007-03-14;79bbb177-8bbd-4680-910d-6db3c691baec;6a688541-b16a-45ca-8aa9-fa700373279f;bd9c06ad-6aee-45f4-824f-c554c781a330;6a688541-b16a-45ca-8aa9-fa700373279f;2007-02-01
;865e1ac6-bf2d-4f9b-93a1-86f932a9f150;6a688541-b16a-45ca-8aa9-fa700373279f;4777f803-196b-443b-87c2-3a4bd57c2008;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;abe615a3-a87f-4b46-bd82-75a25e0f8eb4;6a688541-b16a-45ca-8aa9-fa700373279f;8c0fffcd-c143-469a-b34c-c5c226814b68;6a688541-b16a-45ca-8aa9-fa700373279f;2003-02-01
;14d43b00-ed42-42c8-ba27-66f7b8950a5a;6a688541-b16a-45ca-8aa9-fa700373279f;fa14e6c6-93c9-4748-95a8-5401fb785f13;6a688541-b16a-45ca-8aa9-fa700373279f;2018-04-05
2018-04-04;14d43b00-ed42-42c8-ba27-66f7b8950a5a;6a688541-b16a-45ca-8aa9-fa700373279f;e8583a0a-dcbb-40e9-9dc9-704a11f14869;6a688541-b16a-45ca-8aa9-fa700373279f;2015-09-15
2015-09-14;14d43b00-ed42-42c8-ba27-66f7b8950a5a;6a688541-b16a-45ca-8aa9-fa700373279f;81380e1b-e9db-48d6-a896-1285c213d68e;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;f1f35be1-09d3-47ba-9deb-54cb8b301e3d;6a688541-b16a-45ca-8aa9-fa700373279f;fc84194a-53ae-475e-8dc2-4f725d8bd4aa;6a688541-b16a-45ca-8aa9-fa700373279f;2005-03-23
;f61cacd1-0e20-4a74-92dc-526ca62eee18;6a688541-b16a-45ca-8aa9-fa700373279f;adc336ca-d028-47a2-aa25-89c63cedbf59;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;21e61d7f-4885-46ba-af27-0996be05fea1;6a688541-b16a-45ca-8aa9-fa700373279f;16458967-cec0-43d5-a115-7d0add2ec386;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-01
2006-12-19;21e61d7f-4885-46ba-af27-0996be05fea1;6a688541-b16a-45ca-8aa9-fa700373279f;9b96e530-e628-437b-91c2-1abbb8d69fc6;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;a52a3599-99d2-4c05-9b70-e098a40fce7b;6a688541-b16a-45ca-8aa9-fa700373279f;3ad744d3-cd68-404e-a1b3-f2966cdc7844;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;0b24b902-066d-4501-aa7a-31ed795c4b13;6a688541-b16a-45ca-8aa9-fa700373279f;4e690567-fdaf-45e8-9201-11dbb38b51b8;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-31
2016-03-28;21d77c6d-c0d1-47c4-a429-9674c0d3e791;6a688541-b16a-45ca-8aa9-fa700373279f;e359fc2d-5690-46bd-bd3c-d3479339b014;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;4e72f813-d719-4603-b0a3-c4ec1c130b0a;6a688541-b16a-45ca-8aa9-fa700373279f;aa3f37e4-61f2-4d89-a975-de49b3e16c98;6a688541-b16a-45ca-8aa9-fa700373279f;2008-03-26
;1c52ef0c-d1d6-4748-890d-53a5f46e529f;6a688541-b16a-45ca-8aa9-fa700373279f;a65a5375-51ac-4a75-8d17-d84309dedc3a;6a688541-b16a-45ca-8aa9-fa700373279f;2007-02-01
;6b9bc6cf-6b15-4ac8-8812-aea846cff333;6a688541-b16a-45ca-8aa9-fa700373279f;4ae40a02-075a-428c-a129-a08457cb964d;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;05b55429-5eb2-4d03-a69c-3a26cae8c4ad;6a688541-b16a-45ca-8aa9-fa700373279f;6dd3409a-d11b-4046-86b6-9a5a81eb0cef;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
2015-01-31;05b55429-5eb2-4d03-a69c-3a26cae8c4ad;6a688541-b16a-45ca-8aa9-fa700373279f;6d713f6d-1600-4488-b19e-970c1a9656fe;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;1d5649e5-f68f-40c0-b7f7-f86975a36d92;6a688541-b16a-45ca-8aa9-fa700373279f;731eb6f9-42c0-4011-80e3-11d835c34e3b;6a688541-b16a-45ca-8aa9-fa700373279f;2014-12-30
2014-12-29;1d5649e5-f68f-40c0-b7f7-f86975a36d92;6a688541-b16a-45ca-8aa9-fa700373279f;4f2c54d4-83e5-406e-a61d-5945d956ecc5;6a688541-b16a-45ca-8aa9-fa700373279f;2013-10-01
