new;expired;total
0.0;1.0;521.0
1.0;0.0;522.0
0.0;1.0;521.0
1.0;0.0;522.0
0.0;1.0;521.0
1.0;1.0;521.0
0.0;1.0;520.0
1.0;0.0;521.0
0.0;1.0;520.0
1.0;0.0;521.0
0.0;1.0;520.0
1.0;0.0;521.0
0.0;2.0;519.0
1.0;0.0;520.0
0.0;1.0;519.0
0.0;1.0;518.0
1.0;0.0;519.0
1.0;1.0;519.0
1.0;0.0;520.0
1.0;0.0;521.0
0.0;2.0;519.0
2.0;2.0;519.0
2.0;0.0;521.0
0.0;1.0;520.0
0.0;1.0;519.0
0.0;1.0;518.0
2.0;0.0;520.0
0.0;1.0;519.0
1.0;0.0;520.0
0.0;1.0;519.0
1.0;0.0;520.0
0.0;8.0;512.0
9.0;3.0;518.0
3.0;0.0;521.0
0.0;1.0;520.0
1.0;0.0;521.0
0.0;4.0;517.0
3.0;2.0;518.0
2.0;7.0;513.0
4.0;0.0;517.0
2.0;0.0;519.0
0.0;1.0;518.0
1.0;2.0;517.0
1.0;0.0;518.0
1.0;1.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
1.0;1.0;518.0
1.0;0.0;519.0
0.0;1.0;518.0
1.0;1.0;518.0
1.0;0.0;519.0
0.0;1.0;518.0
1.0;0.0;519.0
0.0;1.0;518.0
0.0;1.0;517.0
1.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
0.0;1.0;516.0
1.0;1.0;516.0
1.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;3.0;514.0
3.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
0.0;1.0;515.0
1.0;0.0;516.0
0.0;1.0;515.0
1.0;0.0;516.0
0.0;2.0;514.0
2.0;1.0;515.0
1.0;3.0;513.0
3.0;9.0;507.0
9.0;0.0;516.0
0.0;3.0;513.0
3.0;4.0;512.0
5.0;1.0;516.0
0.0;2.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
1.0;0.0;515.0
1.0;0.0;516.0
0.0;1.0;515.0
0.0;1.0;514.0
1.0;0.0;515.0
1.0;0.0;516.0
0.0;2.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
1.0;0.0;515.0
0.0;1.0;514.0
1.0;1.0;514.0
0.0;2.0;512.0
1.0;0.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;1.0;513.0
1.0;0.0;514.0
0.0;1.0;513.0
1.0;1.0;513.0
1.0;0.0;514.0
0.0;2.0;512.0
1.0;0.0;513.0
1.0;0.0;514.0
0.0;2.0;512.0
2.0;0.0;514.0
0.0;2.0;512.0
0.0;5.0;507.0
2.0;4.0;505.0
3.0;18.0;490.0
10.0;5.0;495.0
10.0;0.0;505.0
0.0;1.0;504.0
2.0;0.0;506.0
6.0;0.0;512.0
0.0;1.0;511.0
2.0;0.0;513.0
0.0;1.0;512.0
1.0;2.0;511.0
1.0;0.0;512.0
1.0;1.0;512.0
0.0;1.0;511.0
1.0;1.0;511.0
1.0;516.0;-4.0
4.0;0.0;0.0
