org:role;slp:resource_uri
d69fcc38-21a6-41ee-8c0f-90be24aff805;21f4c1ca-3096-4dea-959e-2a3791261cbb
d69fcc38-21a6-41ee-8c0f-90be24aff805;a996f31b-63c2-4329-8e90-db360a7bc78a
d69fcc38-21a6-41ee-8c0f-90be24aff805;adfe1a38-21b4-44c1-9a80-a3f99deffb86
d69fcc38-21a6-41ee-8c0f-90be24aff805;ee8b1244-d518-4793-bfc4-c09f29ebc317
d69fcc38-21a6-41ee-8c0f-90be24aff805;94e2a63d-ccc6-463e-9f52-caedfc5bf178
d69fcc38-21a6-41ee-8c0f-90be24aff805;fbfaf1d3-c7b8-452d-8ad7-8b913a75334e
d69fcc38-21a6-41ee-8c0f-90be24aff805;41f6ed88-319e-44dd-8564-7be8205a8e53
d69fcc38-21a6-41ee-8c0f-90be24aff805;4b7c4305-f2f7-49a2-b015-c16553f3fdd9
d69fcc38-21a6-41ee-8c0f-90be24aff805;140e1ddd-fcd8-4ec9-9395-925e3dd44d56
d69fcc38-21a6-41ee-8c0f-90be24aff805;8f72ae08-3e9d-4623-98db-48ab91b5b496
d69fcc38-21a6-41ee-8c0f-90be24aff805;cf45954e-cba0-44cc-946e-9389cabb45e5
d69fcc38-21a6-41ee-8c0f-90be24aff805;ffbbb4fc-49a3-4743-b492-432979700189
d69fcc38-21a6-41ee-8c0f-90be24aff805;046095b4-fbb5-423e-9cd6-725f722b1024
d69fcc38-21a6-41ee-8c0f-90be24aff805;33c4bb44-c8bb-461f-b9e9-8e21c9028bd7
d69fcc38-21a6-41ee-8c0f-90be24aff805;8949af37-2485-4d31-b731-7ba319c253e2
d69fcc38-21a6-41ee-8c0f-90be24aff805;88ab9f07-eb8b-44aa-8d21-413b865ac4d7
d69fcc38-21a6-41ee-8c0f-90be24aff805;d3fbef0f-9c81-40a0-a3df-eda8d8906a7b
d69fcc38-21a6-41ee-8c0f-90be24aff805;b9f40b90-933d-4f6c-a1d9-99b0b4cab029
d69fcc38-21a6-41ee-8c0f-90be24aff805;7d6d7727-ba40-481a-9e41-6b6e26f38a97
d69fcc38-21a6-41ee-8c0f-90be24aff805;534be663-a43e-4163-8b6e-82f56482e5aa
d69fcc38-21a6-41ee-8c0f-90be24aff805;ee3c134c-1786-4e72-a87b-27a3c8bacd1d
d69fcc38-21a6-41ee-8c0f-90be24aff805;a51e89d7-38e7-4985-b24d-81637aa536d4
d69fcc38-21a6-41ee-8c0f-90be24aff805;20e8e3f5-878e-4a55-afb8-ce23558428a8
d69fcc38-21a6-41ee-8c0f-90be24aff805;5a404f14-4f02-4521-b8ef-341d5b702b21
d69fcc38-21a6-41ee-8c0f-90be24aff805;aa5f41c4-cae2-4342-adf4-6c01b9205419
d69fcc38-21a6-41ee-8c0f-90be24aff805;2eb0fd73-ab8b-4332-b2ca-f051d3efdb7f
d69fcc38-21a6-41ee-8c0f-90be24aff805;5b50270a-0de6-4372-9439-4735b75dfa5f
d69fcc38-21a6-41ee-8c0f-90be24aff805;21892a75-885a-48b8-a03c-a9c1223a1f23
d69fcc38-21a6-41ee-8c0f-90be24aff805;5d0fc4a9-18c1-45d0-8a39-97fb8ed2e97c
d69fcc38-21a6-41ee-8c0f-90be24aff805;196d1ba4-ad74-44a6-953a-126db483a9a9
d69fcc38-21a6-41ee-8c0f-90be24aff805;1786113c-13a2-488d-8b97-86f6f692f57e
d69fcc38-21a6-41ee-8c0f-90be24aff805;e87a9e97-7fcc-4b1b-9c4f-a5b8fdac1025
d69fcc38-21a6-41ee-8c0f-90be24aff805;ad2b9225-00a2-4e8f-8734-33667e9171ae
d69fcc38-21a6-41ee-8c0f-90be24aff805;dc38b19a-bd76-4323-a05e-a1a9ec2f530a
d69fcc38-21a6-41ee-8c0f-90be24aff805;6ebee153-a87c-454c-ba9b-55d88a1ca455
d69fcc38-21a6-41ee-8c0f-90be24aff805;3fa7583c-afde-4166-99a8-cf739b224f64
d69fcc38-21a6-41ee-8c0f-90be24aff805;1677cf48-a1d9-49f3-831f-1d6d356cf371
d69fcc38-21a6-41ee-8c0f-90be24aff805;053a7102-2faa-468c-9c12-546e9ebe3c79
d69fcc38-21a6-41ee-8c0f-90be24aff805;bcd23941-35bb-4d41-b6e8-47723f224209
d69fcc38-21a6-41ee-8c0f-90be24aff805;29052504-d007-4aed-8cf6-2aa57122a8a4
d69fcc38-21a6-41ee-8c0f-90be24aff805;ccb5dd62-c5c4-49be-abfd-8c7180ca5adb
d69fcc38-21a6-41ee-8c0f-90be24aff805;a43a4b80-f08f-4431-87f2-f8d534cce126
d69fcc38-21a6-41ee-8c0f-90be24aff805;216baa5d-68d5-4c96-b41f-12b49660eb74
d69fcc38-21a6-41ee-8c0f-90be24aff805;ed5276be-f5ae-4d66-a541-b668aeedd7ed
d69fcc38-21a6-41ee-8c0f-90be24aff805;2d889375-ce97-48a7-8013-e2273231ded2
d69fcc38-21a6-41ee-8c0f-90be24aff805;92871f51-6ca8-4db0-85c9-7a87747d6640
d69fcc38-21a6-41ee-8c0f-90be24aff805;b8befb64-72af-4738-8a95-07e6692c1b5b
d69fcc38-21a6-41ee-8c0f-90be24aff805;e473da06-a828-4e73-a90d-44c99ee235a5
d69fcc38-21a6-41ee-8c0f-90be24aff805;c22cc10a-1bab-4ed9-b764-1ad618ba1e65
d69fcc38-21a6-41ee-8c0f-90be24aff805;50c7588e-c152-45c7-84c0-97bcaf6c56d2
d69fcc38-21a6-41ee-8c0f-90be24aff805;26aee1fb-dd8d-422e-84bf-6836cea5c006
d69fcc38-21a6-41ee-8c0f-90be24aff805;feb98764-09c1-4d93-8c39-777198104ffb
d69fcc38-21a6-41ee-8c0f-90be24aff805;fa2e9b01-0d1a-4096-9ff3-9f66a154df1e
d69fcc38-21a6-41ee-8c0f-90be24aff805;4c88a5fd-73aa-49ae-8f69-b7c88349c7b5
d69fcc38-21a6-41ee-8c0f-90be24aff805;a0b5bbe9-730b-4e82-8705-7f43239e3b11
d69fcc38-21a6-41ee-8c0f-90be24aff805;855d07d8-7df9-4446-b3de-9cfdd5a426c0
d69fcc38-21a6-41ee-8c0f-90be24aff805;29409aab-bf97-44ca-8662-e0d45d0effe9
d69fcc38-21a6-41ee-8c0f-90be24aff805;5395fc59-91c6-4c52-baff-672ac50ab31b
d69fcc38-21a6-41ee-8c0f-90be24aff805;eb3f9ddf-70bc-44ab-8a32-860de74496bf
d69fcc38-21a6-41ee-8c0f-90be24aff805;074e735c-e539-4790-8cc6-9ccd321dcaac
d69fcc38-21a6-41ee-8c0f-90be24aff805;6bc441e4-da36-45f6-9bc2-36bc4d135a9a
d69fcc38-21a6-41ee-8c0f-90be24aff805;f2e1d078-d993-4eb7-b997-50ad979dba47
d69fcc38-21a6-41ee-8c0f-90be24aff805;55ed8499-458c-40ad-ad86-173bc183cb51
d69fcc38-21a6-41ee-8c0f-90be24aff805;26d3b5b0-3418-489e-b78f-752e6ab4f826
d69fcc38-21a6-41ee-8c0f-90be24aff805;1d137a0b-a30e-4e4c-8327-b6637f714f25
d69fcc38-21a6-41ee-8c0f-90be24aff805;8475c32c-7845-43f8-806a-bea6486ecebc
d69fcc38-21a6-41ee-8c0f-90be24aff805;5098abde-3b6a-42d2-b1a2-7678f85e2909
d69fcc38-21a6-41ee-8c0f-90be24aff805;95d6e75a-b8d7-4b67-b44b-fdc9e5148cd8
d69fcc38-21a6-41ee-8c0f-90be24aff805;8e76da93-a95d-4a36-88c1-edcb0f825466
d69fcc38-21a6-41ee-8c0f-90be24aff805;294da89d-4eca-4dc9-b876-fea5a24e9b0f
d69fcc38-21a6-41ee-8c0f-90be24aff805;adaea099-1f0e-49f6-8ff4-dc1cdfc2a56c
d69fcc38-21a6-41ee-8c0f-90be24aff805;69df4f61-39a6-4173-b9b5-ee1f5e1beb32
d69fcc38-21a6-41ee-8c0f-90be24aff805;7d8cc3d9-c5cf-4dab-b07c-3ef4efce20a2
d69fcc38-21a6-41ee-8c0f-90be24aff805;bc74b2a1-9302-4e26-8ee2-20bcc4fbafc7
d69fcc38-21a6-41ee-8c0f-90be24aff805;d550b3b1-9b54-4dd4-889b-f91a0acda85d
d69fcc38-21a6-41ee-8c0f-90be24aff805;3f30bc56-c850-47db-a99f-261dab77a72c
