;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri
84;;2015-02-01;;;;MG;Titular;116f4706-7008-43b2-99e8-3bbc9d5151a6;b27beba7-ca02-4041-a9e0-1793bcd141fe;5e003e39-278a-408a-a38a-1d4d0bdb5ecc
85;;2015-02-01;;;;PA;Titular;82b453ea-7f97-4b5b-8df6-c4b5d6e01717;b27beba7-ca02-4041-a9e0-1793bcd141fe;1f65c2c2-5d17-476b-85e9-218546944802
86;;2015-02-01;;;;BA;Titular;72f6238b-958f-4cf5-a2b4-5dcfc3376fa4;b27beba7-ca02-4041-a9e0-1793bcd141fe;bffd9ace-ed29-4ce2-8c97-830aaccd49db
87;;2015-02-01;;;;AC;Titular;c018ff4c-edd7-4a5d-9ac6-e8b5297d9429;b27beba7-ca02-4041-a9e0-1793bcd141fe;2f7b3887-6a19-480e-a895-088242f3db34
88;;2015-02-01;;;;BA;Titular;7e584920-069b-4244-8e5b-ec1b00403181;b27beba7-ca02-4041-a9e0-1793bcd141fe;657f55b3-42fe-48e6-a1a2-ffcc476e91de
89;;2015-02-01;;;;RJ;Titular;f854cb02-0560-444a-8996-07a454e616b0;b27beba7-ca02-4041-a9e0-1793bcd141fe;a2990505-06f0-4502-86ea-6ab29dde4d42
90;;2015-02-01;;;;DF;Titular;6953ba57-9aa2-43d7-9992-500507a0d939;b27beba7-ca02-4041-a9e0-1793bcd141fe;37314803-3cba-48ca-8c6f-fff7c091bf7b
91;;2015-02-04;;72442;;PE;Efetivado;8a02b3da-fbc2-4884-8de7-7f6028425ff8;b27beba7-ca02-4041-a9e0-1793bcd141fe;df306369-470b-4ae1-b173-a7ef4021014b
92;2016-02-23;2016-01-06;Afastamento;178941;53;RJ;Suplente;d6e2f886-fb93-44e6-8c1a-712669bd784f;b27beba7-ca02-4041-a9e0-1793bcd141fe;24d42025-11f2-4315-90e3-e63ef189debf
93;;2015-02-01;;;;PI;Titular;83440ac8-7aef-4991-a5e3-029054bbf3ce;b27beba7-ca02-4041-a9e0-1793bcd141fe;36df981d-6670-41af-b1b1-c52e375c0bfc
94;2015-07-07;2015-02-03;Afastamento;178979;53;SP;Efetivado;059ebd99-5f43-435b-abec-64e7a1e5936d;b27beba7-ca02-4041-a9e0-1793bcd141fe;b292f001-d162-4190-a7ca-0f1bd9718189
95;2015-10-19;2015-07-14;Afastamento;178979;53;SP;Efetivado;059ebd99-5f43-435b-abec-64e7a1e5936d;b27beba7-ca02-4041-a9e0-1793bcd141fe;d0512534-50cd-48f3-9c80-30c2709bfbd1
96;2016-04-14;2015-10-21;Afastamento;178979;53;SP;Efetivado;059ebd99-5f43-435b-abec-64e7a1e5936d;b27beba7-ca02-4041-a9e0-1793bcd141fe;5ca67300-bd8d-4b6c-92ed-3bef89f584dc
97;2016-10-19;2016-04-19;Afastamento;178979;53;SP;Efetivado;059ebd99-5f43-435b-abec-64e7a1e5936d;b27beba7-ca02-4041-a9e0-1793bcd141fe;91969b90-f9fb-4d54-bac5-2debd757fa0a
98;;2016-10-21;;178979;;SP;Efetivado;059ebd99-5f43-435b-abec-64e7a1e5936d;b27beba7-ca02-4041-a9e0-1793bcd141fe;eddb244e-21ec-4ff7-a436-d32c5ebdb1df
99;;2015-02-01;;;;AM;Titular;55ddc337-fd95-4d89-8c7a-cbd3d061868b;b27beba7-ca02-4041-a9e0-1793bcd141fe;461e55b1-9425-4034-8381-ddce534d425a
100;;2015-02-01;;;;BA;Titular;1b429cb3-17ee-460e-89e7-4135732f017b;b27beba7-ca02-4041-a9e0-1793bcd141fe;aa4e41f8-6919-483e-8b6c-cb585dc9a5c0
101;2015-02-03;2015-02-01;Secretário de Estado;;12;SP;Titular;0e81aa91-b321-42b7-9ed3-1993451c990f;b27beba7-ca02-4041-a9e0-1793bcd141fe;5d0d1bf2-4eab-4eb4-93b5-710dec993d86
102;2015-07-14;2015-07-07;Secretário de Estado;;12;SP;Titular;0e81aa91-b321-42b7-9ed3-1993451c990f;b27beba7-ca02-4041-a9e0-1793bcd141fe;29ba65f5-1ab3-44cc-9291-e0eb64fe3d88
103;2015-10-21;2015-10-19;Secretário de Estado;;12;SP;Titular;0e81aa91-b321-42b7-9ed3-1993451c990f;b27beba7-ca02-4041-a9e0-1793bcd141fe;fb1131f1-b4a2-4b3c-afdb-efbfc00ad044
104;2016-04-19;2016-04-14;Secretário de Estado;;12;SP;Titular;0e81aa91-b321-42b7-9ed3-1993451c990f;b27beba7-ca02-4041-a9e0-1793bcd141fe;c656a042-b0af-4a68-ae1d-266bc257d46c
105;2016-10-21;2016-10-19;Secretário de Estado;;12;SP;Titular;0e81aa91-b321-42b7-9ed3-1993451c990f;b27beba7-ca02-4041-a9e0-1793bcd141fe;9bd6d1ae-99ea-4634-a89d-3ce09d0c451b
106;2017-10-21;2017-10-19;Secretário de Estado;;12;SP;Titular;0e81aa91-b321-42b7-9ed3-1993451c990f;b27beba7-ca02-4041-a9e0-1793bcd141fe;b086debb-9bc7-40b1-8ff9-01a2d973cfc4
107;2017-01-01;2015-02-01;Renúncia;;16;SP;Titular;5241473c-70a0-41bc-822e-7aeb76d7dd08;b27beba7-ca02-4041-a9e0-1793bcd141fe;540302f5-f3cd-4fa7-9a96-d2461c9a7a68
108;;2015-02-01;;;;RJ;Titular;1a3458e9-86fd-43af-9ed3-f93ef96e0408;b27beba7-ca02-4041-a9e0-1793bcd141fe;aa9b8cc0-15aa-4cd1-ba07-8533a64f4bf5
109;2016-05-12;2015-02-01;Ministro de Estado;;11;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;761a5f3c-aecb-495a-8b1f-6def8e2990c9
110;2016-10-11;2016-10-10;Ministro de Estado;;11;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;68e7d203-5513-401b-abbb-b512507f813d
111;2016-10-26;2016-10-20;Ministro de Estado;;11;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;24a4a4eb-b7ac-43b1-86dd-c3214dab329e
112;2017-04-27;2017-04-26;Ministro de Estado;;11;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;2d2d891f-8bf8-4ae8-8035-d95c5f943124
113;2017-08-03;2017-08-02;Ministro de Estado;;11;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;eb3d73dd-48cd-4abc-bdee-9f3385e7626f
114;2017-10-26;2017-10-20;Ministro de Estado;;11;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;a59d9458-87da-41df-a731-a880675426df
115;;2017-11-14;;;;PE;Titular;18ac2d3b-3dc3-47ca-a8da-556c2c7d4025;b27beba7-ca02-4041-a9e0-1793bcd141fe;6d1406ef-a7d5-4a94-adb4-b280ec5af02b
116;2017-04-26;2017-01-02;Afastamento;141485;53;RS;Suplente;5c57208b-1dc1-4f26-88ab-b542f0e2312c;b27beba7-ca02-4041-a9e0-1793bcd141fe;cab7ef34-4fd6-4c0f-977a-85d4e84d0ac2
117;2017-08-02;2017-04-28;Afastamento;163321;53;RS;Suplente;5c57208b-1dc1-4f26-88ab-b542f0e2312c;b27beba7-ca02-4041-a9e0-1793bcd141fe;f726e894-1773-4da6-b69c-7b7bceb2f548
118;2017-10-20;2017-08-03;Afastamento;163321;53;RS;Suplente;5c57208b-1dc1-4f26-88ab-b542f0e2312c;b27beba7-ca02-4041-a9e0-1793bcd141fe;901bade8-bf20-4756-a327-720505f5f2b5
119;2017-12-29;2017-10-31;Afastamento;163321;53;RS;Suplente;5c57208b-1dc1-4f26-88ab-b542f0e2312c;b27beba7-ca02-4041-a9e0-1793bcd141fe;62c028e9-2285-46ba-be5b-3679080b140b
120;;2015-02-01;;;;AP;Titular;a3ffcf35-d591-465e-bbfe-c65cbeea04fe;b27beba7-ca02-4041-a9e0-1793bcd141fe;1f87816d-1f17-4ab5-a496-2544b3cd9933
121;;2015-02-01;;;;CE;Titular;1a84a788-9dfd-4d24-890a-6fac0307d812;b27beba7-ca02-4041-a9e0-1793bcd141fe;ab13b5c2-8285-4b69-9759-15a4f2045aa7
122;;2015-02-01;;;;RS;Titular;a200ba7b-973d-44a8-9c54-d64ed3649dc5;b27beba7-ca02-4041-a9e0-1793bcd141fe;cbbe4d20-0395-45f3-be98-f112dcec13e3
123;;2015-02-01;;;;SP;Titular;f3cdc312-9398-4762-a898-4b389e6f133f;b27beba7-ca02-4041-a9e0-1793bcd141fe;2ddd8e52-8dc6-4e95-97e9-e47b3a9b34d6
124;2016-05-18;2015-02-01;Licença para Tratamento de Saúde;;7;RJ;Titular;af5e41ed-3e82-4cd8-a7d0-fa210ff9c0b0;b27beba7-ca02-4041-a9e0-1793bcd141fe;a45c9fa9-f726-4a2d-980f-8604a029e8b3
