sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slp:resource_uri
4949;Tomás Guilherme Correia;Tomás Correia;4b2d4680-29e7-4799-b3e5-ec7da9665a54
5068;Tânia Cristina Magalhães Bastos e Silva;Tânia Cristina Magalhães Bastos e Silva;4cc6fd4d-56d1-45ae-af2f-ee5b4785ef41
438;Tilden José Santiago;Tilden Santiago;ba9323ef-f93c-4222-a067-2c2f6bdf1ce1
3396;Tasso Ribeiro Jereissati;Tasso Jereissati;0bda8ac7-ccf5-414e-929b-440d419cbf3d
5535;Telmário Mota de Oliveira;Telmário Mota;8d08d09a-803e-4b99-b901-61d6c3eb5e7a
5619;Thieres Pinto de Mesquita Filho;Thieres Pinto;294203c4-296f-442e-af61-c4d5be845b17
5629;Theodorico Bezerra Netto;Theodorico Netto;f0e20b87-df5f-4fb4-afae-7770c72b7b38
4560;Sérgio de Oliveira Cunha;Sérgio Petecão;5c56604c-6d40-4892-9820-5fe73c39bc86
624;Aluísio Sérgio Novais Eleutério;Sérgio Novais;4d1c78dc-d5f6-4364-9abf-46b1f6fc5931
5106;Sérgio Rogério de Castro;Sérgio de Castro;4d800d42-097a-4cf2-9f8a-a00bb0e60423
5527;Simone Nassar Tebet;Simone Tebet;5eded581-fbed-4104-a323-b102adb40689
5563;Severino Barboza Leão;Severino Leão;4dd384da-f557-47ae-9817-0270886fa381
5611;Severino Nunes de Araujo;Severino Araujo;659e3e91-e5ce-4015-b11d-9e1d09c05417
5583;Schariff Moyses;Schariff Moyses;71baf308-e3c7-463e-8ba3-6a00ad706fd8
5172;Sanny Japiassú dos Santos;Sanny Japiassú dos Santos;79b9166f-1aac-47c8-9c02-70af38e06148
5056;Silvia Nascimento Cardoso dos Santos Cerqueira;Silvia Nascimento Cardoso dos Santos Cerqueira;39525ff5-f3b3-46f7-91ae-1ba7bf42e92a
5048;Sergio de Souza;Sergio Souza;937c2502-6bfe-47d8-b6df-8d93eabae29c
5038;Sandra Backsmann Braga;Sandra Braga;4e4a13b6-5571-44c0-a61e-56e899f4d238
5074;Sander Fraxe Salomao;Sander Fraxe Salomao;4371de53-e508-4694-b023-5ae9944dbe82
2331;Rosilda de Freitas;Rose de Freitas;cd164bfa-0848-4293-9af3-a9f7c396fdde
5322;Romario de Souza Faria;Romário;4f58d17b-0d92-4c57-b545-88daba65e15a
4847;Salomão Alcolumbre Júnior;Salomão Alcolumbre Júnior;9580e603-00f2-46fd-a258-a180d36c7a15
5601;Roosevelt Vita;Roosevelt Vita;e95c0d8d-94c5-4aba-88fa-169bc082ea69
5621;Rudson Leite da Silva;Rudson Leite;4752defa-d607-4bfa-9b18-1c09f6ef8d38
73;Romero Jucá Filho;Romero Jucá;c32024fd-3dc6-476b-a0f9-a4e3db01b9f6
456;Ronaldo Ramos Caiado;Ronaldo Caiado;553e9e88-fe88-4777-99ad-985244fa38c3
677;Roberto Coelho Rocha;Roberto Rocha;d497c34c-e547-4869-b824-afaea1b2b5c3
