slnp:resource_uri;rdfs:label
7377e310-92fc-475e-ab04-6d7bd0d37423;Affiliate
395fb667-05eb-4faa-bee4-fb72d55a7476;Affiliate
f2764f28-1752-401d-b04f-ccc6143fcb38;Affiliate
d9e5e608-2541-4e6f-9b52-d582c9330df7;Affiliate
45963e07-db8f-4a94-84d4-1e62ca3e7aad;Affiliate
b9fe38d5-1039-4d89-8d9e-39daec67ebd6;Affiliate
7a74a6f2-16d5-4b1a-b957-112a3bbf8886;Affiliate
57e21784-9ad3-4087-86ff-343c52451584;Affiliate
97367f9b-0258-4bdc-bf30-56ccb31658ae;Affiliate
8088c136-ad7a-4e9e-8a38-efdf8c3bb9a2;Affiliate
0d18f5c3-8f46-4085-aa12-622d7c866c74;Affiliate
1f7d8f3a-8216-4e7d-ab73-7d0926007c7b;Affiliate
f27a82b9-ad22-4bed-9ad4-ea9f1b6f8006;Affiliate
26e0ea75-39c5-42ca-b084-7475cb414c26;Affiliate
67c3c804-0761-4695-93ec-b48ddf35855b;Affiliate
1dc6c961-a4c6-4d5c-ab09-243a016f32a6;Affiliate
3271ca0b-b719-438e-9885-48bc14e239f4;Affiliate
59edf87d-8305-409a-ad9c-3416d52470aa;Affiliate
5f1b6d85-ccac-4ab9-a0fe-51fced57586d;Affiliate
b88ba3e8-a23f-4427-a35d-52c5f4cf2234;Affiliate
1710d6d1-1421-4c95-8d77-db53f6904623;Affiliate
9725da60-bd76-46a7-8b72-3d87df884a97;Affiliate
87bba505-8c7e-4334-bc22-2e290a9bd308;Affiliate
c6077c6b-1a02-4bba-946a-6f7aab4d969e;Affiliate
b897df6d-cf32-41f0-ae42-a5d0aed41f98;Affiliate
b8f50273-14f0-44fe-8c76-b4a093772e43;Affiliate
c2e4a45f-07f0-49de-ba8b-a5375f957e95;Affiliate
c3ccb0ea-7b90-4841-b5ec-ce27128da8ec;Affiliate
02e1c985-7bc2-4da6-af8c-1f60f2ba86c2;Affiliate
dd89dec2-4c19-48e7-8da2-c1cfe75e549e;Affiliate
e52d25c7-fff0-406f-852e-096ab64a3559;Affiliate
3c0215e4-64b9-414e-a3ac-0cbdf806bd61;Affiliate
6c117aab-b4d0-496b-b32e-94e3a65f9eaf;Affiliate
37725e1d-2bea-4059-bd70-bf7b5bd0e5d8;Affiliate
73cf0f92-3b1c-413f-9000-fd1d4ca9f91d;Affiliate
de7ad82f-c067-4e02-86f9-13f515599b34;Affiliate
3003d8e3-17f3-401b-8dbe-7f386b608e43;Affiliate
d3458969-5ee0-4e38-996b-ab9b25e9d03a;Affiliate
3d64c273-c457-4207-b7af-31b352a449e1;Affiliate
1ac52c4f-4219-47d4-9ad8-6dcb4f66455b;Affiliate
1b165c81-30d1-495d-a0e1-8a8f04723a97;Affiliate
b80e02d6-b0ac-460d-98eb-74954eb08251;Affiliate
e76c6f78-3e74-43f4-ba6f-41de575923b2;Affiliate
6bd963f6-e639-4510-802b-e1211362c6c8;Affiliate
9b0cd2bb-9493-4659-8237-c1c58679b778;Affiliate
ed1bb8e7-a3fa-4e6c-b214-a8a647472ba7;Affiliate
11be7e5a-9e7c-476f-95a6-5a52ea6da160;Affiliate
cc82d67d-4302-4c53-ac73-001d83600a52;Affiliate
4e585457-d435-4ce7-a7ec-864d9a410fc4;Affiliate
c7ca79a8-49c9-47fc-a603-e4589fe06f24;Affiliate
5b9a80ec-38ce-4c88-9e1c-b43f0d585b4f;Affiliate
a2aa9ccc-0788-4c52-aa53-6599af53a85c;Affiliate
9c391ef5-6ab1-47b7-aca6-0f125edd581f;Affiliate
5a76fd92-c2b7-4ac3-9cf1-8e0c0591f90d;Affiliate
518825c6-f192-4405-823a-64a1d24fedf2;Affiliate
85b308c7-440f-4f28-82ad-53e16ec1be84;Affiliate
53fcfc30-1ce8-4879-9123-0f34d80d113d;Affiliate
3b4c7cef-08ce-40dc-bd17-02a67dc01e11;Affiliate
41b5ef7f-9d27-46cc-8334-6da0cd49f4ed;Affiliate
302479cc-2b90-43ee-952b-753cb330f0f3;Affiliate
36f86ae5-153b-43ce-94c7-f95141ac4a7a;Affiliate
2ad7f697-8f56-4656-9669-4f19b0e55220;Affiliate
6ec065d2-01ab-453e-b741-aa4721733a4b;Affiliate
4fc02a71-ac8b-4363-a1a4-0312c97a9d87;Affiliate
540ee9d8-bfb2-4dd8-96a6-23a06df3f580;Affiliate
97757a8e-7409-41f1-924d-217d90d814b2;Affiliate
a1044982-1a40-44b1-9201-2e1762b24db7;Affiliate
a041bd88-f9bf-475b-8cce-8db10c4ea5eb;Affiliate
a44ce5d6-3a58-45e6-b625-fa4761fbcb37;Affiliate
629c5cee-49da-42ff-a76b-bd0dfa68fa30;Affiliate
33b56125-3d82-4a41-8091-e8c68f83ff03;Affiliate
8d21ef6e-fc8c-4e17-85b0-16128cefb183;Affiliate
71fd95b9-1bd8-4b43-9338-b6f52586a830;Affiliate
e9846b47-dd31-4c2c-9817-f5d00029eb7c;Affiliate
5fbbeccc-a611-452c-9f83-e48a5aa86fda;Affiliate
7672d203-88a7-4615-b016-238a1f3ef5b6;Affiliate
8f0cb27f-813f-4227-85b8-318179d6b75c;Affiliate
b5955f47-d405-44d7-854e-78d1da5f3387;Affiliate
4bef4d94-747a-490d-9e66-dc334d3baee7;Affiliate
08a1ed40-ff0d-48ea-abe8-08cc7e509eee;Affiliate
