resource_uri;rdfs:label
6a688541-b16a-45ca-8aa9-fa700373279f;Affiliate
22a2ecf6-5f03-4da9-bc89-48319d152403;Deputy
d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;Senator
