slnp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
893e009e-a971-403f-86a7-ac5dcf197f9d;;1960-04-22;178884.0;HILDO AUGUSTO DA ROCHA NETO;HILDO ROCHA;;;
70825e89-8f53-4af7-a7a9-caf435526fdc;;1980-08-02;178849.0;HISSA NAGIB ABRAHAO FILHO;HISSA ABRAHÃO;;;
74f99559-defd-4519-8678-65114e534908;;1962-03-25;178964.0;HEITOR JOSE SCHUCH;HEITOR SCHUCH;;;
e48da2c7-36c4-430b-912b-71fa3c909cfe;;1964-03-08;178873.0;HELDER IGNACIO SALOMAO;HELDER SALOMÃO;;;
f185b176-4efb-4fa5-966f-22c116a435df;;1982-10-14;160667.0;GUILHERME MUSSI FERREIRA;GUILHERME MUSSI;;;
4a14500f-eff5-45db-a05b-c4ce768b5be7;;1957-12-09;178909.0;HELIO LEITE DA SILVA;HÉLIO LEITE;;;
2e12915f-6c39-49bb-8d7e-e3d2ca618e2d;;1953-12-23;178980.0;ANTONIO GOULART DOS REIS;GOULART;;;
a9c4ae04-0d34-4cac-955f-71662ccf509a;;1960-01-18;73482.0;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;;;
b5a06a77-ee25-4f9b-a99a-1be347b47553;;1946-04-26;74419.0;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;;;
f9325c76-87ec-4f27-9a53-fe4f13a31267;;1969-10-28;178872.0;GIVALDO VIEIRA DA SILVA;GIVALDO VIEIRA;;;
24689a93-609f-48d6-822b-59b47c171844;;1962-04-28;194259.0;GUILHERME CRUZ DE SOUZA COELHO;GUILHERME COELHO;;;
b09be9bc-b9d5-4657-855d-4b0352f1b507;;1957-01-14;178878.0;GIUSEPPE VECCI;GIUSEPPE VECCI;;;
fc8be6cd-4392-4c71-ae68-157f0b77216f;;1957-10-14;74558.0;GIVALDO DE SÁ GOUVEIA;GIVALDO CARIMBÃO;;;
4e884a18-1409-4e50-b0f5-a90e9e441053;;1957-04-10;178996.0;GIOVANI BATISTA FELTES;GIOVANI FELTES;;;
c8007469-7783-447b-8c91-afd1f2a80798;;1970-12-17;74383.0;FERNANDO LÚCIO GIACOBO;GIACOBO;;;
4660cf2c-9286-4687-83bf-cff70b3a6c4c;;1956-07-09;74270.0;GILBERTO NASCIMENTO SILVA;GILBERTO NASCIMENTO;;;
9027259f-e3b5-4f0b-9a08-79bfda5828e5;;1952-04-10;129618.0;MARIA GORETE PEREIRA;GORETE PEREIRA;;;
9c277169-9b8b-4b2a-b9b6-7843b9f9da5e;;1972-03-30;178966.0;GEOVANIA DE SA RODRIGUES;GEOVANIA DE SÁ;;;
de2725ff-e1e7-4c64-8066-86e11e9fe9f7;;1983-06-06;129037.0;GABRIEL GUIMARÃES DE ANDRADE;GABRIEL GUIMARÃES;;;
0d211f58-61f3-4ba6-855f-71477b0c450a;;1955-04-20;74374.0;GERALDO RESENDE PEREIRA;GERALDO RESENDE;;;
9ac1a3b0-78d2-439a-950c-b8ae3cef8a9e;;1960-06-23;160673.0;GIOVANI CHERINI;GIOVANI CHERINI;;;
693cc36c-5c9b-42c2-bfae-e76858232c57;;1971-06-11;141441.0;GEORGE HILTON DOS SANTOS CECÍLIO;GEORGE HILTON;;;
6b0d5938-41f1-4c69-ad1e-f0642b5c728b;;1963-03-13;160669.0;GENECIAS MATEUS NORONHA;GENECIAS NORONHA;;;
91894fa3-82f1-432b-a3a9-4de4da2385fb;;1971-11-13;178978.0;FLAVIO AUGUSTO DA SILVA;FLAVINHO;;;
1a91f188-e981-448e-b733-a5f75025f061;;1968-12-28;160676.0;FERNANDO DANTAS TORRES;FERNANDO TORRES;;;
18c7a3d5-b539-41d9-9187-77f159e23293;;1949-11-17;141434.0;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;;;
2c875c02-f6be-4159-af40-d348c47550e3;;1959-09-21;160677.0;FRANCISCO FLORIANO DE SOUSA SILVA;FRANCISCO FLORIANO;;;
e8b3ad0f-a9f5-4d11-990f-4a8b6ff397d9;;1976-09-17;92699.0;FERNANDO MONTEIRO DE ALBUQUERQUE;FERNANDO MONTEIRO;;;
9838c4d2-623c-45a9-970c-71a881c07e16;;1952-06-23;163831.0;FERNANDO ANTÔNIO CECILIANO JORDÃO;FERNANDO JORDÃO;;;
90ee0f31-5e30-416a-b524-2105e92fe1d2;;1973-04-04;186775.0;FRANKLIN ROBERTO DE LIMA SOUZA;FRANKLIN;;;
4741ed10-4393-4967-8922-77c90bdcec88;;1984-02-28;141431.0;FERNANDO BEZERRA DE SOUZA COELHO FILHO;FERNANDO COELHO FILHO;;;
6c23d519-8090-411e-8aa2-605b21cf54f5;;1969-08-18;160587.0;FÁBIO RICARDO TRAD;FÁBIO TRAD;;;
3f8c9516-7cae-42b7-9b1e-3b2f495b3f37;;1973-12-07;141429.0;FELIPE CATALÃO MAIA;FELIPE MAIA;;;
88c627b9-416b-4274-b918-0df57e525694;;1956-07-31;73481.0;FERNANDO STEPHAN MARRONI;FERNANDO MARRONI;;;
48ced01a-b618-4314-8231-acf12757148c;;1969-04-26;160598.0;FLÁVIA CARREIRO ALBUQUERQUE MORAIS;FLÁVIA MORAIS;;;
dc1d858b-f31c-4fd2-bdc7-4edb537eee14;;1978-12-26;141430.0;FELIPE LEONE BORNIER DE OLIVEIRA;FELIPE BORNIER;;;
4b1e3baa-2862-4408-93be-fb932e55c0fe;;1975-04-16;72442.0;FELIPE AUGUSTO LYRA CARRERAS;FELIPE CARRERAS;;;
60ca1f38-b961-4c81-b00f-d76d5aed1a7e;;1982-09-11;178877.0;FABIO FERNANDES DE SOUSA;FÁBIO SOUSA;;;
edf32f6c-c39c-4331-8ba6-51d49a59b801;;1963-11-29;160666.0;FELIX DE ALMEIDA MENDONÇA JÚNIOR;FÉLIX MENDONÇA JÚNIOR;;;
2d752cc2-d443-4768-b752-33678868fa17;;1961-12-22;141427.0;FÁBIO AUGUSTO RAMALHO DOS SANTOS;FÁBIO RAMALHO;;;
f23c1d52-1aa8-4099-98f9-bb9d6465561f;;1977-04-15;171623.0;FABIO DE ALMEIDA REIS;FABIO REIS;;;
f84ecb6c-e92c-4882-9843-003051be682e;;1955-02-25;178941.0;EZEQUIEL CORTAZ TEIXEIRA;EZEQUIEL TEIXEIRA;;;
