DataFim;DataInicio;NumeroLegislatura;org:role;sen:CodigoMandato;sen:UfParlamentar;slp:resource_uri
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;517;SE;4e0778e1-325f-47e0-9338-fbcb3b948ec7
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;517;SE;f7dfdb3a-aad9-463c-8c85-86da13bb6dd4
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;437;AM;97479b57-cafb-41e5-aa57-4809f5c0ffba
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;437;AM;d0a7626c-03fc-4f48-8ac7-c110218b4f28
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;453;RO;81b71c6f-26fa-49d0-a4f1-aedd0c008c22
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;453;RO;f1fbdeaf-d3c9-43a1-93c6-0d4885232b9a
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;481;RN;795d4e98-73c3-471d-be4e-ea8bea71c245
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;481;RN;643cb72a-a357-46cf-a33c-131731029255
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;449;RS;9f5f194e-d439-40e6-b10a-3650f39be155
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;449;RS;b89eb73d-e50a-4a7f-b3d2-5cc4af75b193
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;507;PA;3c9d860b-7975-45f0-a50d-0509b12cd459
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;507;PA;021e8c8f-c9f7-4e3c-9997-6c44426628f2
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;490;AP;759027f2-9ead-4146-ab46-386068da50d5
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;490;AP;c02d447b-acaf-4224-b0e0-61512d387b19
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;453;RO;0d31915f-ba5f-4f0e-a4ff-47c53a494130
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;453;RO;dc154378-899c-4ae4-aeac-7bb8243ba861
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;480;RJ;6872a79d-e770-42ef-8efb-e294487ec76c
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;480;RJ;b3801e2b-e994-4453-9c94-8ac29a533397
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;435;MG;e7c4137c-dc49-4b90-9df1-806e4fdda362
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;435;MG;324c5847-1cee-45d4-8053-8b2604b237d9
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;512;CE;404d0b1a-d015-4998-b698-b73f90526a08
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;512;CE;357ab57b-9a8d-4cad-a6fa-57322ca777fb
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;498;RR;10489bf9-ea13-43d3-afae-ba5ba52129c9
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;498;RR;49d166df-c620-4d3a-a232-fb3a6e5f6f6c
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;498;RR;f759808b-5908-4f90-9401-8d8c4db57a49
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;498;RR;5c451969-9d13-4414-b07b-275310d03e22
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;510;RN;a344c9b0-87bf-4856-a86d-312502bebeac
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;510;RN;765c1c3f-b341-424f-b57d-d02b8c8b0007
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;442;AC;2043c759-17a6-46a6-b8e3-bbbb3d21edaf
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;442;AC;2a6a964b-08c9-4b75-96a2-f0d51596ec79
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;444;CE;60e3e74d-1c61-4a53-8ddc-aac22a9c3c5e
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;444;CE;5c2d93df-87db-460f-8206-da9b6855d991
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;455;ES;6246f33d-02b8-4124-a781-7e02e6d31122
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;455;ES;ed0f147c-bff1-4e64-b560-b9dfb5635039
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;494;MS;2ae569d9-5565-461c-9468-4dcfbe8f2e68
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;494;MS;bc6aeb33-0f7b-44bd-bcba-39fa0d17140f
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;511;AL;b2b2b978-6c51-4cce-9497-2146224b0179
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;511;AL;a9103c75-a2c6-444a-9544-70d99765fb0c
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;514;PR;aa5148e9-bd8a-4794-9291-46244dc1412c
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;514;PR;2c6162f8-9bca-4381-ae59-5c85190e36ac
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;503;ES;41831a2b-433a-4296-bc9c-00ab363f22d5
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;503;ES;1d4552ef-2bca-4ffd-9122-850d15d476f7
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;479;PB;1d4a4c27-a837-4be2-bfd4-7833f43541e0
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;479;PB;704ada26-394d-4d29-a1d3-e4dc918f23c7
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;454;BA;45285c9f-8fdc-4231-907d-6cae3a16b121
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;454;BA;bb945465-a8db-4ccc-beee-293d967811c2
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;439;PR;a424869e-a315-451b-9849-50dac74c52ec
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;439;PR;b14db47b-0b4f-4c3c-a9b4-7d59425ddcd3
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;473;AM;acf17007-06fb-4dbb-806d-15f0da25164b
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;473;AM;32265d25-f28b-44a7-b4ec-3a8372ef41bd
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;460;RR;3052b9ca-5842-46b3-9418-374af1236b64
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;460;RR;199cf2b9-5093-42e1-a65b-5d55093b1041
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;503;ES;9a23fcf5-be63-4519-8542-089b12e0ef3c
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;503;ES;a40fdf67-51b4-463e-803e-8a50b8d8d8e2
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;509;RJ;bc020f7f-5892-462f-854c-0e01473cd2d6
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;509;RJ;f1e9e959-36c5-41d9-b5f4-f6f088b245bf
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;464;AP;10c85d66-0a1c-4d3c-950e-4ee9daac8f8d
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;464;AP;64bb6071-d49c-4f9f-a4f4-c76af4d9d04d
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;513;PB;2415f6f1-ce30-48f7-81bd-91254c0fa1fb
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;513;PB;3661193c-be9e-4000-b335-1873bb056cd2
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;498;RR;0c891d50-4674-410b-a59c-8c488cef8710
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;498;RR;878651a1-6ab3-462f-9162-dbe84fb67fc9
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;460;RR;e44a8e91-9b74-4643-a222-07c45090868d
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;460;RR;63297a03-4276-4d6a-bae3-573a18c3b239
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;504;GO;b79ea1d4-a6bb-40cf-9ed1-28c325a076e3
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;504;GO;b4b20687-2bcd-49bb-9249-a9eb711b8770
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;505;MA;85a1b2ff-6195-42ca-a002-bea7d1a0e5ca
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;505;MA;fef42ace-7226-4417-9eb4-e5184286cdcf
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;452;DF;1b955028-5599-46cc-8918-0a79f5741f54
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;452;DF;46965814-aaab-4303-9cf9-31dd0f976781
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;470;DF;549315d9-46d5-4c3f-94d3-4bcf135abfcd
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;470;DF;1997735d-46c6-430d-91b2-d32884ca25c7
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;454;BA;a34835db-4a31-4c6a-b407-fee6379b07d9
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;454;BA;24bcf1b1-318b-4c03-aadc-205f0cc274b0
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;469;AL;7ff17446-c029-43c8-86d9-f3878bf7103f
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;469;AL;1b4b1371-d25b-4f02-a2bc-21e387ae4af3
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;517;SE;7a4a3c1d-730e-4a17-95ae-6bdc6b474abf
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;517;SE;3933aa33-6c33-4ff9-bb7f-5c1c7139fcf4
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;455;ES;e2347b12-6812-4d79-b9a6-018f2376d190
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;455;ES;a920f26f-b247-48b6-b719-966055e43d27
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;467;PR;a0cc197a-872e-4718-837a-9d45c3ea921d
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;467;PR;0b1dee43-ab09-497b-841d-f49b0148f1bb
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;502;DF;e32960a1-7d42-48bf-a8d5-20783c926c43
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;502;DF;cf5012c3-c133-4239-86bf-84664357f6c7
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;477;RO;fd974cb7-4a75-4802-be54-6921129fe3d4
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;477;RO;c644a862-69c6-45bc-8938-cc944b2c125d
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;440;PB;bfcfff0a-460a-4421-9c26-503a0cf81ece
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;440;PB;91d6d48e-d04b-415e-9e20-dec5add57098
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;488;PI;1da5ba5d-9c57-41b9-ba9b-0e1edf2190f8
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;488;PI;1a6006cf-ecc2-4e92-aee6-02eecb565da0
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;475;AP;1843f944-59df-43dc-8291-8573ff5129c7
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;475;AP;25215cad-a295-4700-b5d8-a6043f7f03bb
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;505;MA;9e0fbfd1-d11a-4dc5-b18c-f7a1927ee8dc
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;505;MA;5d0a2e9b-413a-47a9-a875-c6746ca52ecc
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;463;MT;cb5986b2-e803-4193-920d-65fa5149586d
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;463;MT;0627c0a2-35ab-49c4-87c8-2a779462bb53
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;439;PR;b5ae389f-15f4-4f9a-bba1-76169b1ed397
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;439;PR;424cfa02-9851-41a2-aa15-228d1c03ebf3
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;463;MT;4416927e-9309-42aa-86db-71727edf5e07
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;463;MT;7fd511b4-a003-4ca9-b3ab-db6c33f60be7
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;505;MA;262aeab5-0f66-4f99-bde0-7028d2e8e14c
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;505;MA;ff020226-972a-41d6-aae2-13914a6f53f4
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;447;MS;2796aaac-151d-4143-b785-6255df7533f6
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;447;MS;fa464e3e-28c4-4e4f-8a12-e4135dbb7c14
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;449;RS;674ee2e5-bdee-4c96-bf60-3b62b35de7a6
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;449;RS;3ee253d6-116d-46f3-b3f0-19ca9dbc71a8
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;471;SP;9d3be7ce-1e21-4903-a7d5-e5caa1a78a72
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;471;SP;793d3961-9514-491b-87f8-16b9a153e21f
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;499;SC;1496bb51-bf36-41a6-a04e-c21b8e6b2f2d
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;499;SC;b13dd46a-d3e6-43b3-a4d9-32e8cf1a09ba
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;507;PA;a0bec70f-0964-4dfe-bdea-63f7ceab7b13
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;507;PA;84a4ec5b-8ca6-42df-b279-43ca7bb6c970
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;476;RN;6c672259-fdf1-4ef3-81d9-4208ae6b383d
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;476;RN;01135fc5-1a60-405a-9b24-38594e2de63c
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;507;PA;f38b61df-ccc9-4f64-9b52-6c2b533bef08
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;507;PA;f554c444-f9d4-4868-b3cc-e2f5951299a2
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;468;TO;db3e9c5d-6e02-42f6-9738-00c781a38e49
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;468;TO;7c457ef4-17db-483e-95ba-9d7edddda378
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;466;SC;62fb2db5-12c1-416d-b0bc-025796eb893a
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;466;SC;1b6817dc-55eb-4241-8bd1-187682fe864f
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;486;RR;77f3cc08-14f4-4057-807b-783522e45f12
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;486;RR;e8ce6f7e-a34f-402b-b9ba-cb99726d8dfd
