cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:post;org:postIn;org:role;slp:resource_uri
;2015-02-01;PR;9aba8810-4581-4f77-ac52-73f353b125ad;8522b844-b51b-4778-9632-0fb1f4cb7d20;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;bb727462-c702-4fe9-9bbb-c0488a9b46e2
;2015-02-01;RJ;d327aa35-6715-4841-a8df-e7288a767a03;4ea035ee-4f63-482b-a35f-15a55a01d1b1;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;65339d02-bb00-466d-bcb9-4150faa58586
;2015-02-01;BA;a3173bb6-fb1e-4ed7-9182-d0f657ff29b7;7c6244bf-3c3e-455d-b880-82fd34b41bf4;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;d0de0d14-2753-4955-b6f0-4149855e2bd4
;2015-02-01;AP;8a31f6cd-fc1d-40c4-8fd4-5b03a5e548c6;12c4a704-811d-4b95-87c7-508ac3ffc0d6;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;0f8996ae-f0ce-44ac-a26a-61b8071fab5d
2017-01-01;2015-02-01;SP;098797ec-2a48-41f8-898c-8b33452ea70c;8606807f-1af6-456f-a69f-c31f0c45c2ce;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;55d4be61-32ee-44d8-bb57-c6a8e26f4882
;2015-02-01;MG;d8366b31-40f2-4558-bce3-4c24c8897c1b;535df29b-a9a9-49c2-94bd-776e34867990;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;e392c99b-5f8f-45ac-9a72-49be2552ea1b
2017-12-15;2015-02-01;MS;59c7bbf5-1b53-471c-8448-8e4f280f52ef;c581d220-4f38-4b10-9b0e-8fbd547bec1c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;0da2ff4a-b7d3-4d95-91dd-33a26aff8088
;2015-02-01;ES;2ea5d284-fb53-4cc1-8891-aa7843c77504;47387673-a14b-42c8-a194-26ae14f15ded;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;6adb25c9-5373-4d54-9c55-aec460222666
;2015-02-01;TO;6b2cea53-544d-4dbc-84e2-413132f121e6;10d65fd2-7a49-4202-a9bf-6227eab326a2;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;3542a1d3-b958-40e1-949f-397cf221dfed
;2015-02-01;CE;08f29f51-d0dc-46ac-b318-378e0f7be3d8;8503a548-9a81-4a04-b973-97f67eaf0921;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;0eacba96-3583-4e24-87d7-c7cfc9e68f58
2015-02-04;2015-02-01;PE;1cc9126a-dd9b-4be8-8e09-0b4c46743473;63a416e8-f8b3-4faa-960f-e0047b674e34;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;875feb53-1c6d-4fec-9e31-e8ba3e43a3b8
;2015-02-01;GO;0bcb1eba-2805-43e2-8565-959c8b31c187;6277da6e-8336-4eb3-9dff-3b60ca5f7fc0;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;da89b9ef-00ae-4e43-8fb3-01a7dabf50e0
;2015-02-01;SP;95fce76e-e824-4977-8386-bffc05763371;1594aabf-b125-497f-bd89-2c2f35e70705;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;c76548bb-9763-4049-be4c-385dcd769f65
2016-05-23;2015-02-01;AL;12742186-5bc8-4bd9-932c-fe247f8c6f3c;7326d5a4-582b-45ab-b7fc-d187b8928b70;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;447b0d29-32af-49c3-9729-7e8431d9a729
