cam:dataFim;cam:dataInicio;cam:sigla;org:member;org:post;org:postIn;org:role;slp:resource_uri
;;S.PART.;55df2c80-2de5-4739-b227-bcd41d1ee1f1;f7d0699d-af1d-4724-a537-a82a0fc816cb;7b214aa8-df61-11e7-a515-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;4f20aeff-b474-4c23-a523-5b4114e062b5
;;PP;55df2c80-2de5-4739-b227-bcd41d1ee1f1;67d7c63f-8a7a-4081-bfc6-137ac119ed22;7b21152e-df61-11e7-bdcf-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;812da4b3-77ea-4228-aee1-083b9628b8d7
;;PT;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;f3c2f21f-d86c-4ed4-ad2d-8ba25a8a662a;7b2138a6-df61-11e7-baf1-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;c11b6e40-94f9-4ede-848f-0f6f3300b533
;;PROS;afecd733-1fa9-4a4b-b639-5302baec6ad9;77fa88b3-7e20-4c46-848f-e366317e2d10;7b20e63a-df61-11e7-b49c-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;153e18d7-3368-41ea-a291-e1e21c68cd8a
;;PDT;afecd733-1fa9-4a4b-b639-5302baec6ad9;bbba201e-89f4-4533-9830-277ecb487f5a;7b210070-df61-11e7-97e9-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2abd0932-a4ef-4ac0-bb5e-b622752e5e2f
;;PTB;2dd6db55-28c2-4607-8784-d8f45f9e2177;56f7f5d7-acc7-41ba-959d-74594fccc596;7b2139c8-df61-11e7-8d64-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;66a2382f-74fe-42d1-98db-289503096518
;;PSD;2dd6db55-28c2-4607-8784-d8f45f9e2177;c5db306e-b5c2-4950-9f5b-fef48fad81de;7b212d98-df61-11e7-95f7-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e9ad0d91-4d80-456e-8495-12eddb0bbf7c
;;PROS;a287ed45-5fa2-459d-a807-00032c1e5c83;ff01da4d-1040-4ba9-b720-3be622a1be1b;7b20e63a-df61-11e7-b49c-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;4f95e50b-9536-47a4-9932-50e67daad821
;;PTN;a287ed45-5fa2-459d-a807-00032c1e5c83;e8fea40b-0a94-4412-9d75-104ef9b99937;7b214546-df61-11e7-b9be-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;cb239780-e9ba-4afc-83f8-3a8c8caa460c
;;PODE;a287ed45-5fa2-459d-a807-00032c1e5c83;c188a727-47f2-413f-8d31-9fffde98379c;7b214350-df61-11e7-b1a0-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;194f73ea-3a54-4255-a2da-0c188ef4227b
;;PT;9fa16f07-1fa8-432c-a3e4-6ac61dd14055;415c14cb-5381-4ccd-9293-7188af87a17b;7b2138a6-df61-11e7-baf1-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;d3aa57b2-cfaa-4dfa-b860-1717dd67d4b5
;;PMDB;c5830278-3b13-43b0-8dbd-6b22d04918d2;d9da25c5-6501-4cae-88af-7358fc8e2842;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;615df07b-c0c1-4274-a807-5b065688eaf7
;;PDT;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;06b983a7-2951-43c8-a6b6-69177dc65b06;7b210070-df61-11e7-97e9-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;12bfc885-fe40-44eb-a3a4-fddcbf27734a
;;PMB;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;cf8827b5-3375-49cc-b448-5c15c838ff48;7b213f54-df61-11e7-9eec-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;025ea180-909f-4ee0-ac0e-06c33bf84c99
;;DEM;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;2ec8a02f-22ae-40fa-a2f4-b763b5c32ff7;7b20ed7e-df61-11e7-bb65-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;dbe71da7-91c0-4039-838b-f326ba985ecb
;;PRB;01aab937-df9a-4fb6-b751-789b10f77a10;f768cfa9-adbd-45fa-8331-1f6afee697c7;7b211b34-df61-11e7-b235-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;b5ea2bc0-b2f5-4104-8cd8-aef791ac72b9
;;PCdoB;05aae140-c7f5-4c84-aa55-fac7d5d6911e;6ab02d4a-a087-495b-b280-0549f6982ba4;7b20f90c-df61-11e7-a941-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;b29e4ec2-9afb-45b9-8284-52c58f13d066
