slp:resource_uri;rdfs:label
b94a4471-8be2-429a-b6f1-ae9b3d1df278;Affiliate
169fad45-164e-493b-b07b-ced9dbb11c2f;Affiliate
2e24f63c-2d79-47e0-9fa8-759e368e555a;Affiliate
710041e1-ccaf-4fa3-bbfb-96718349d6de;Affiliate
eab59870-9a53-4f86-9df2-cafbc33e9089;Affiliate
090bcad6-143c-425f-bd71-50bc870efb41;Affiliate
41530e95-e394-4f28-be15-477d0717c3f3;Affiliate
2dc14181-7367-417e-a62a-ec36801bdf7f;Affiliate
3cbaf6f8-e469-4083-950e-d7a4af857f7e;Affiliate
5f4de16d-1f93-4a6f-b67e-cdeb35efd3c6;Affiliate
d2f5b4c6-801a-4193-a63e-ac3859cd2086;Affiliate
d57fa78e-21aa-4384-acae-03209b7e31a9;Affiliate
1a88668e-6e37-4874-aa28-6b1881ad0981;Affiliate
ea2112e0-ef9e-4ca4-9938-1209d264ec61;Affiliate
edb92020-c031-4123-a996-5d94479b9942;Affiliate
93ea7778-85d6-4cfd-ace5-17be95701497;Affiliate
982b9a9b-d82a-44e3-a805-30f118cfe97c;Affiliate
0eb42367-f80f-4682-8e6e-c79f6fa189f3;Affiliate
d7590892-c64d-456c-8d5e-2da7b4afaad7;Affiliate
1292709e-9214-49a5-8909-9364061644fc;Affiliate
9a8fe968-7483-4b9d-a1f9-48d75d4737fc;Affiliate
fcbe70c2-282d-4f8c-b0f6-ffc8c0fca794;Affiliate
d19b2711-75cd-448a-80bc-30808aca08ad;Affiliate
aa1654dc-9881-4d99-a4eb-b905d3986824;Affiliate
995006f8-bf17-4868-a176-8c6411382de3;Affiliate
fa42b775-6e14-4a52-9993-969df0080c76;Affiliate
067a9ac1-4549-4c04-90e5-23d1c85b1991;Affiliate
dc18a8f6-61d5-4970-8e34-e17d512244cb;Affiliate
881bd74e-ee5f-4355-9e45-6c267c85f731;Affiliate
bf11665a-3c46-4dc5-8f66-f33fb137d23e;Affiliate
e8641b63-bd0f-47fc-8c06-03241b47e67c;Affiliate
c421db3a-4bc6-454b-8171-bd272596bccd;Affiliate
a13e22d6-475e-49b5-a975-812b77345fea;Affiliate
739a5155-4d0e-479e-ba0d-d26faf6e808f;Affiliate
98449729-1563-4131-b617-e0cc0942494f;Affiliate
c6a64886-8b48-4e2f-aa17-af662d23b190;Affiliate
6274ea31-cd6f-4437-a377-bc93d747519a;Affiliate
66e15db2-2307-4c16-a48d-38d8633bdab8;Affiliate
5c44374e-f5ad-4404-ac9c-f709881a590a;Affiliate
13433612-01a8-4bb0-8332-080a88ed241d;Affiliate
93df2ef8-e662-4362-9929-a3cc2df29e2c;Affiliate
13e212af-e51e-41f2-80d0-865564c193f1;Affiliate
77c7f89a-5f0c-49d6-b484-98f9204d2517;Affiliate
4cf8f661-30d5-458a-8ad8-8fc74755fe0a;Affiliate
7c2c3f3b-1bc2-43e7-bafa-612201996d3f;Affiliate
2e2670c3-7362-4469-abcd-5860ef3f24ec;Affiliate
5d68f433-f955-43fb-9a3e-e6ee75362c35;Affiliate
d96802ba-bf3e-4f88-8426-0773d616b68f;Affiliate
2ca17962-97a3-4139-9552-8fdbb1e4bf9c;Affiliate
7850c9b4-2483-492c-8a1e-08e92f7aea4b;Affiliate
202ffe71-8039-4761-99e9-0b55171da32f;Affiliate
9107b2e2-92cb-47de-9689-bc37913a4630;Affiliate
27d35d47-084f-49cf-b249-eec55ac7bc4e;Affiliate
919deffe-f310-4c68-b55c-65727f0f5fd6;Affiliate
34e2028d-6ea1-490e-b002-0fd2f8d68da8;Affiliate
3d572295-f759-445b-b204-6a78b402c35f;Affiliate
343f8cff-b809-4463-90f5-7f12db69401a;Affiliate
647932ba-73dc-4c9c-99e9-45c92482d2c3;Affiliate
c0e6daca-f5b3-464e-b15c-f234910504b4;Affiliate
c56e4856-c387-4c7a-9b76-3f695d39c407;Affiliate
4f065fc7-2602-4c38-9406-59ce87fec385;Affiliate
d623152c-2942-4314-a502-6f8dd7084a41;Affiliate
f0ec22b1-a36f-4b87-acf5-b2361df42768;Affiliate
e8d1db76-6294-40b3-83f5-cd0ddd641b4c;Affiliate
06e4a3af-b470-4b01-83f3-395c93124766;Affiliate
c58786dd-17e5-4149-a925-2d2f4dd03e46;Affiliate
4902b551-cabe-4b76-82aa-46851ec9d404;Affiliate
e5d504f1-a40f-43fe-86c5-30e261f97c30;Affiliate
aa0fa26e-e58c-4086-b527-a9b019e21599;Affiliate
9016c1ee-fe23-402d-bc56-9d5282d110e1;Affiliate
521695c3-8b45-411a-86d6-5a987bc93928;Affiliate
c9447dec-ebc5-41ed-8e6b-ed0e856b5777;Affiliate
9bde2159-5ac2-4dc0-8336-1a43ea1b0f8c;Affiliate
4a50b1b9-a478-45e1-a0b2-9131071aa809;Affiliate
bfab0a59-46d1-4b4a-9650-04e6a0cca611;Affiliate
3b485ae9-59cf-4f5f-810b-9f000e3b7f90;Affiliate
e4305c3e-0d1c-4a55-8007-91c2007958a5;Affiliate
f2ea5159-fd64-418e-b86d-fc902db3ab21;Affiliate
8e50e3f7-5838-4b43-ade3-4b18aff37a2a;Affiliate
1adff383-c0e8-4127-ae4f-1dce433306b9;Affiliate
fb333f38-da2f-4234-a1d3-ea1f2767e4d8;Affiliate
f9c60220-2466-40ac-a182-d96356db75b9;Affiliate
a2a77d7f-1a71-40da-981b-c492000e4638;Affiliate
d5130d7f-3cae-445a-b04d-abbcfbb389a7;Affiliate
f1a7543a-2f65-4f5e-ab1a-569407ed932e;Affiliate
ac62c676-7b76-46d4-9423-6b8bfd90e1e5;Affiliate
cf0dc3b8-6794-4d30-ace2-20352ff1ea68;Affiliate
a6568daa-4d22-440f-9f78-88960468dd44;Affiliate
ef2b4f6e-6ed6-4478-9535-2806a125cd9c;Affiliate
309dd907-544e-4617-b958-a3d1afa21d56;Affiliate
efdc8736-f467-4a95-898d-258ada8b800d;Affiliate
7eebb1ef-0765-4784-8220-4bf894da2b38;Affiliate
caa0edb4-6db6-429e-a5d4-f5901314ab08;Affiliate
cbdd6731-547b-4c27-8319-c77014d183ad;Affiliate
b4004137-4a50-4bbb-b58d-476868cbe278;Affiliate
1ff3ef4a-e710-4225-87d6-361ca102d0d4;Affiliate
a5708883-7866-477d-b9db-8fff519ee359;Affiliate
a33092e4-cdff-4f12-960e-227355a89954;Affiliate
9d470536-099b-4586-b1c9-c855fdda3c47;Affiliate
ef718dcb-bbad-4cdf-abce-7973fedd9bbb;Affiliate
7448a442-bd5a-443f-8ce0-9e844cb75692;Affiliate
f5fcfb96-824f-4023-aecc-6aa71d99e3c0;Affiliate
1904268a-2376-4b6d-911e-0f6dee9e8b91;Affiliate
036eac52-68d4-4db8-9410-5dddc0b6e327;Affiliate
a3119d9a-18cf-4821-8693-f4267f0b401a;Affiliate
b0d96cb1-1dd5-4fb0-9dc0-a631a6a19e98;Affiliate
3f568e28-0536-44e6-bfcb-4a0c25f72609;Affiliate
78ac0d6e-70da-4a9a-a049-053ca75f3209;Affiliate
b3c77e43-3284-4c89-8820-8ec86ce09e90;Affiliate
c6362f58-4267-4f88-a2b0-ce3cefc8529d;Affiliate
3444591c-d1ba-4633-9d3f-84f31910fef4;Affiliate
ae153f0b-e878-4cb1-8d83-cc428268f765;Affiliate
231c2b4d-e054-4f29-90f1-e87b677c60e6;Affiliate
5d4f13fe-cb4e-4d70-a69c-dea2cfcdc961;Affiliate
8761b49b-9d60-43fb-9516-ad9bce3b680b;Affiliate
631fa2d0-ff96-4975-a59e-0ada1f740cd7;Affiliate
316bd631-d822-4bd8-898a-d3cd209dd44d;Affiliate
f638e521-3660-41b5-890a-26a67ce45215;Affiliate
831fbcad-2aeb-485b-b53b-5ac3762ed0e3;Affiliate
7961c757-438c-4360-b4fd-9290cbf91e14;Affiliate
f9b63ec1-0995-4fae-85da-dd4cba241d83;Affiliate
c4c62d55-616d-4ad8-84c4-e69e7c030ccd;Affiliate
e55d39bd-d42b-4ccd-a96b-a0df4be376bd;Affiliate
2b4303ae-0a24-4ace-a3f6-53258d433047;Affiliate
85c2b6f8-16d3-4075-9a49-7706c08b1576;Affiliate
c3d03651-2efe-487b-8c64-193925ec8ab9;Affiliate
ebb79dd2-7004-45a9-9406-3063e0ffe4cb;Affiliate
f2d0648f-1a9a-42a5-86fa-22f9afb5fba2;Affiliate
b4432f74-d079-4868-aab2-a619a78d6c71;Affiliate
ce6e5d33-5b1e-4c83-b6cc-75d5989c5933;Affiliate
27750387-bd67-4694-b447-f0e21da6b88c;Affiliate
aa8efdc3-66e7-4dbb-8579-6223c0cf66bd;Affiliate
ba8e27aa-cfe3-4d2f-921b-14a05deec6da;Affiliate
80982c51-07b2-46cb-80c0-2c4b71f04e2c;Affiliate
82d4b13f-a292-4b17-93a8-16237e4262d8;Affiliate
8e971b35-975f-4081-9600-506d31c98739;Affiliate
ac18fec9-0e18-48e6-b01f-f26aefe13def;Affiliate
ebc4c9c2-bd29-446d-9ca4-639778639f09;Affiliate
ea460a1c-19af-474e-99c6-7ebec678dafe;Affiliate
bfd6fd07-5e2e-41f0-b008-6e45bdf09bd3;Affiliate
faa7187b-cd3d-41c1-addf-d172edf8b2c2;Affiliate
413d5576-54d9-4a59-82a9-29b11ce092c5;Affiliate
215f7159-7b1a-4453-acc8-ce2beb5afadd;Affiliate
e0f0aada-f03e-4620-b5ba-03395a9148f6;Affiliate
fd0fcb36-68ee-4f71-9807-a4367230fb4a;Affiliate
a9de49f6-3ccd-4826-a6d7-b774fc40fbb9;Affiliate
fa4e18eb-a8c2-4dbd-af53-fd2ce71ac8e4;Affiliate
1fa3fc11-ac59-43b0-ab63-9fcd94789749;Affiliate
7c6095df-2b42-455e-9baa-51b651f747f2;Affiliate
f181bd36-4b0c-4ac3-9793-f73cc7f99793;Affiliate
47cabd88-d9a5-4422-ba27-1f66aedd57c9;Affiliate
558f108a-7e7b-432d-a252-e3c2d95f6dc9;Affiliate
ebfc7dae-a723-4fc6-9678-a362871d5796;Affiliate
bf2ba1e3-cee2-4e16-ae66-e5177528e74d;Affiliate
fa53f569-025e-4acb-bddc-b85b179ff9fe;Affiliate
5aaaaa1c-35ac-4473-9f03-94c9f45d4d28;Affiliate
4f1be11d-9ba5-4bd7-89f6-03b7dac9871b;Affiliate
9d87f2c4-4ae7-4720-9308-b87de4b501fb;Affiliate
bca10d35-7076-4aaa-a59f-a8d1ea8e3fd2;Affiliate
e663ae35-bf94-4030-aea2-531189ed4994;Affiliate
04a1f526-74cd-4d24-a02a-1cfef26c80ee;Affiliate
e7f5877c-b157-48ed-8844-9624a0c0fcbf;Affiliate
41a6f07b-0368-4aa5-8a38-def9a32782a8;Affiliate
21d169eb-c540-4984-9ec6-54fde6a1292f;Affiliate
45daad0a-45d0-45f1-8cc2-785a9440e146;Affiliate
3168a831-b276-4959-80c1-c241b587f52b;Affiliate
f52d39ee-1e01-48e6-a27a-7e636e9d62ee;Affiliate
adf5d3b4-ded9-43c8-ac85-8732e24c499c;Affiliate
