slp:resource_uri;rdfs:label
d9b87710-f8f5-4348-aba4-9dfd63c76654;Senador
df56aca1-34aa-4bb3-9c21-7baf39d310d4;Senador
4d1c6cfb-c5ea-4c59-99db-9064c56587c5;Senador
ca0deac1-dfc2-4f6a-8a5d-532d4bdd96d2;Senador
4a13e74a-893e-43f0-afd0-1688c936154a;Senador
1f8ceb78-3e24-4ede-8c26-d5f647df1ecf;Senador
bc84db76-6536-4120-8963-e3e6d091c0f5;Senador
fab9c77b-f174-4d7e-9478-a42b155b407e;Senador
8136599a-510c-46fb-a4c9-62c83761cc98;Senador
68422861-ec66-48dc-9bf6-14f8fe1f973a;Senador
518cb000-4a0f-4a16-b826-ae1f68d6a843;Senador
992f5294-1bb0-4fd3-82b7-7b106976d546;Senador
9946916c-fb03-4c57-ac1e-50207e25e77a;Senador
c41f5c53-159e-4d76-b44c-282b0431e058;Senador
56f3fcb7-1044-4bb1-9332-2f47dcbbebb5;Senador
1ce108bf-5328-46fd-9977-ce0ddfcd3038;Senador
a2ec0356-f03c-4daa-bba2-f075243fc11e;Senador
7163397b-93a4-4044-8a4d-639011249eba;Senador
56a22358-c486-4665-93b3-5af2aab6fdd6;Senador
47f3b701-ebb1-43ae-ba7b-341668565372;Senador
3fdb6dac-7e12-4788-bb15-124cef01222a;Senador
dd9f65e1-efb7-41cf-9340-eb3148cfca6d;Senador
5738f899-aa6e-44b9-9909-7320b2e95b57;Senador
ae372e61-2ee9-40f5-a143-42eec3385226;Senador
467f68d6-9fc3-4954-909e-dd4c5b882a59;Senador
ca42bf70-9fc3-44ad-a376-b27fe2ebd4a8;Senador
a11c2e2b-ef08-4e48-9244-0abe78daac5a;Senador
d8648efc-b18c-40dc-ab79-081463544a0f;Senador
ab4c75c8-343a-4e5f-896a-02b4402e8fb4;Senador
ccafec0f-eaa3-43d0-9a80-2d4fca4d8e48;Senador
84780b3f-f7c0-4feb-b5bd-26ecd30caad4;Senador
f7153ce0-36f8-4cd0-98a9-f5547e5d0290;Senador
6ef3e6ae-566b-4fb3-9e99-57489515b6e3;Senador
f36c683a-adea-484e-92ad-417abe0e2684;Senador
2884c33e-0b0c-47ec-a28a-aae2dc48f48a;Senador
611f11d9-02d8-4458-b523-3b03c39ae9d0;Senador
79b99cab-49a4-4cc0-9b73-084b1e8250da;Senador
cbbed5e8-5bef-4831-bc6a-8ac0d2601fc2;Senador
30204d41-1bbc-46f1-860e-780f63473f27;Senador
ecc23782-b9aa-4d24-bde7-a75a84014e25;Senador
06d0b89e-7816-4bc4-a98d-190bca94e911;Senador
6423412b-99e3-44ec-ab05-f019fff41b1e;Senador
9450bbaf-961e-41fd-a712-7fd8173ff664;Senador
0888a98c-8e59-4e06-8474-652fa4c4ad0b;Senador
033ab6f0-857c-436c-8215-116c01244f33;Senador
7fce1553-d406-417a-80a0-bd19e7a08480;Senador
fdc10e0f-9d41-4080-a4f8-b93aec065b1a;Senador
fafa5d10-4408-47ad-bc61-86b37b029cb1;Senador
fbd95b54-4bf6-4c85-9c8a-14f85ec990f8;Senador
ab9ffb16-c25c-4729-84ca-f2773233a9ff;Senador
e1518664-e77d-4040-8151-ec330fbea6b7;Senador
c7676278-1349-41f5-9f65-ec27ded38a45;Senador
0fb8ea9e-7d5d-4153-a5fe-c3aa84d1b533;Senador
297c37c3-8fc4-46c8-bab3-c804f0e62b2f;Senador
a297e47b-5bc6-477f-bf4c-72be1532a469;Senador
3ebdfbc8-6eb5-469c-8c2c-ea75ea28df21;Senador
08007d61-ab10-4056-8e69-cdac6684c426;Senador
