cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
;1945-07-18;74392;ODACIR ZONTA;ZONTA;
;1961-08-15;169868;RAIMUNDO VALRY DE MORAIS;VALRY MORAIS;
;1964-01-22;74376;VANDER LUIZ DOS SANTOS LOUBET;VANDER LOUBET;
;1963-05-11;160632;JOSÉ SILVA SOARES;ZÉ SILVA;
;1952-12-15;160625;JORGE DE OLIVEIRA;ZOINHO;
;1961-02-04;74354;ZENALDO RODRIGUES COUTINHO JÚNIOR;ZENALDO COUTINHO;
;1934-07-30;152607;JOSÉ VIEIRA LINS;ZÉ VIEIRA;
;1959-09-18;73933;JOSÉ DA CRUZ MARINHO;ZEQUINHA MARINHO;
;1972-12-12;74439;WOLNEY QUEIROZ MACIEL;WOLNEY QUEIROZ;
;1989-08-10;160636;JOSÉ WILSON SANTIAGO FILHO;WILSON FILHO;
;1978-06-21;160592;JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA;ZECA DIRCEU;
;1961-12-21;73931;JOSÉ GERALDO TORRES DA SILVA;ZÉ GERALDO;
;1950-02-08;168253;JOSE CARLOS DE JESUS RODRIGUES;ZE CARLOS DA PESCA;
;1946-11-25;160586;WILLIAM DIB;WILLIAM DIB;
;1957-06-01;73653;WELLINGTON ANTONIO FAGUNDES;WELLINGTON FAGUNDES;
;1979-10-08;167493;WEVERTON ROCHA MARQUES DE SOUSA;WEVERTON ROCHA;
;1958-02-24;179387;WELLINGTON SALGADO DE OLIVEIRA;WELLINGTON SALGADO;
;1958-10-20;160609;WALTER DA ROCHA TOSTA;WALTER TOSTA;
;1975-08-24;160518;WELITON FERNANDES PRADO;WELITON PRADO;
;1954-01-29;74284;WALTER MEYER FELDMAN;WALTER FELDMAN;
;1959-04-19;160631;WALNEY DA ROCHA CARVALHO;WALNEY ROCHA;
;1959-05-19;74043;JOSÉ WELLINGTON ROBERTO;WELLINGTON ROBERTO;
;1955-08-04;141558;WALDIR MARANHÃO CARDOSO;WALDIR MARANHÃO;
;1967-04-05;160620;WASHINGTON REIS DE OLIVEIRA;WASHINGTON REIS;
;1961-07-17;141560;WALTER SHINDI IIHOSHI;WALTER IHOSHI;
;1951-04-17;141561;WANDENKOLK PASTEUR GONÇALVES;WANDENKOLK GONÇALVES;
;1978-07-31;160591;VINICIUS DE AZEVEDO GURGEL;VINICIUS GURGEL;
;1961-12-16;163322;ZACARIAS VILHARBA;VILALBA;
;1951-02-14;73677;VILMAR DA SILVA ROCHA;VILMAR ROCHA;
;1964-11-22;92355;VITOR PAULO ARAÚJO DOS SANTOS;VITOR PAULO;
;1942-06-26;141557;VITOR PENIDO DE BARROS;VITOR PENIDO;
;1957-01-26;141870;VILSON LUIZ COVATTI;VILSON COVATTI;
;1952-11-29;160595;JOSÉ CARLOS VAZ DE LIMA;VAZ DE LIMA;
;1959-11-17;160622;VICENTE CÂNDIDO DA SILVA;VICENTE CANDIDO;
;1964-04-17;159258;VICENTE PAULO DE OLIVEIRA SELISTRE;VICENTE SELISTRE;
;1929-05-17;74308;VICENTE FERREIRA DE ARRUDA COELHO;VICENTE ARRUDA;
;1960-02-15;167617;VANDERLEI SIRAQUE;VANDERLEI SIRAQUE;
;1960-03-31;141400;CARLOS EDUARDO VIEIRA DA CUNHA;VIEIRA DA CUNHA;
;1956-04-08;74283;VICENTE PAULO DA SILVA;VICENTINHO;
;1952-01-11;162490;VALDIVINO JOSE DE OLIVEIRA;VALDIVINO DE OLIVEIRA;
;1949-08-11;73565;VALDEMAR COSTA NETO;VALDEMAR COSTA NETO;
;1949-10-15;74010;VALDIR COLATTO;VALDIR COLATTO;
;1980-10-01;141384;ANTÔNIO CARLOS VALADARES FILHO;VALADARES FILHO;
;1965-05-01;160976;FRANCISCO EVERARDO OLIVEIRA SILVA;TIRIRICA;
;1974-07-22;160617;THIAGO MELLO PEIXOTO DA SILVEIRA;THIAGO PEIXOTO;
;1958-05-28;141551;URZENI DA ROCHA FREITAS FILHO;URZENI ROCHA;
;1964-12-17;160610;VALMIR CARLOS DA ASSUNÇÃO;VALMIR ASSUNÇÃO;
;1960-04-23;160611;ANTÔNIO PINHEIRO JÚNIOR;TONINHO PINHEIRO;
;1956-08-14;160608;MARIA TERESA SAENZ SURITA JUCÁ;TERESA SURITA;
;1952-03-12;169711;TELMA PINHEIRO RIBEIRO;TELMA PINHEIRO;
;1948-04-20;74385;HIDEKAZU TAKAYAMA;TAKAYAMA;
;1955-06-19;141548;SUELI RANGEL SILVA VIDIGAL;SUELI VIDIGAL;
;1953-12-02;160627;STEPAN NERCESSIAN;STEPAN NERCESSIAN;
;1961-02-26;141547;SOLANGE PEREIRA DE ALMEIDA;SOLANGE ALMEIDA;
;1976-03-03;92776;STEFANO AGUIAR DOS SANTOS;STEFANO AGUIAR;
;1935-12-08;73424;SIMÃO SESSIM;SIMÃO SESSIM;
;1962-05-31;177282;LUIZ GONZAGA RIBEIRO;SUBTENENTE GONZAGA;
;1943-10-22;74765;SILAS BRASILEIRO;SILAS BRASILEIRO;
;1969-04-18;168175;JOSE SIMPLICIO ALVES DE ARAUJO;SIMPLÍCIO ARAÚJO;
;1962-12-15;74356;SILAS CÂMARA;SILAS CÂMARA;
;1946-06-01;73560;SILVIO FRANÇA TORRES;SILVIO TORRES;
;1958-01-21;141539;SEBASTIÃO FERREIRA DA ROCHA;SEBASTIÃO BALA ROCHA;
;1957-06-14;74210;JOSÉ SARNEY FILHO;SARNEY FILHO;
;1952-03-14;167614;SEVERINO DE SOUZA SILVA;SEVERINO NINHO;
;1956-12-23;4930;SÍLVIO SERAFIM COSTA;SILVIO COSTA;
;1972-11-25;160621;SANDRO ALEX CRUZ DE OLIVEIRA;SANDRO ALEX;
;1952-03-26;74762;JOSÉ SARAIVA FELIPE;SARAIVA FELIPE;
;1958-01-24;160613;SEBASTIÃO SIBÁ MACHADO OLIVEIRA;SIBÁ MACHADO;
;1961-06-08;73808;SÉRGIO LUÍS LACERDA BRITO;SÉRGIO BRITO;
;1951-05-23;74039;SANDRA MARIA DA ESCÓSSIA ROSADO;SANDRA ROSADO;
;1960-10-14;74533;SÉRGIO BARRADAS CARNEIRO;SÉRGIO BARRADAS CARNEIRO;
;1958-12-31;73676;SANDRO ANTONIO SCODRO;SANDRO MABEL;
;1955-06-05;73559;SALVADOR ZIMBALDI FILHO;SALVADOR ZIMBALDI;
;1956-02-06;74371;RUBENS OTONI GOMIDE;RUBENS OTONI;
;1948-05-23;73466;RUBENS BUENO;RUBENS BUENO;
;1973-04-22;146949;ROSEANE CAVALCANTE DE FREITAS ESTRELA;ROSINHA DA ADEFAL;
;1963-04-11;160630;SÁGUAS MORAES SOUSA;SÁGUAS MORAES;
;1964-08-31;141522;RAIMUNDO SABINO CASTELO BRANCO MAUÉS;SABINO CASTELO BRANCO;
;1949-01-23;73507;ROSILDA DE FREITAS;ROSE DE FREITAS;
;1959-04-28;74372;JOÃO SANDES JÚNIOR;SANDES JÚNIOR;
;1954-10-16;160594;RONALDO MIRO ZÜLKE;RONALDO ZULKE;
;1973-01-15;179379;CARLA ROSYMAR ARAUJO DE SOUSA BARRETO;ROSY DE SOUSA;
;1966-01-09;160629;ROMERO RODRIGUES VEIGA;ROMERO RODRIGUES;
;1975-02-18;167707;ROMANNA GIULIA CECCON LEANDRO REMOR MARCELINO;ROMANNA REMOR;
;1963-07-31;160614;CLEUSA ROSANE RIBAS FERREIRA;ROSANE FERREIRA;
;1956-03-09;160515;RONALDO JOSÉ BENEDET;RONALDO BENEDET;
;1966-04-25;163321;RONALDO NOGUEIRA DE OLIVEIRA;RONALDO NOGUEIRA;
;1968-08-02;160568;ROGÉRIO CARVALHO SANTOS;ROGÉRIO CARVALHO;
;1963-11-26;141535;ROGÉRIO SIMONETTI MARINHO;ROGÉRIO MARINHO;
;1970-06-12;74693;RODRIGO FELINTO IBARRA EPITÁCIO MAIA;RODRIGO MAIA;
;1974-05-10;88950;RODRIGO GARCIA;RODRIGO GARCIA;
;1971-07-15;141531;RODRIGO BATISTA DE CASTRO;RODRIGO DE CASTRO;
;1959-04-04;160637;RONALDO FONSECA DE SOUZA;RONALDO FONSECA;
;1971-02-15;152865;RODRIGO BETHLEM FERNANDES;RODRIGO BETHLEM;
;1958-07-01;141473;JOSÉ ROBERTO SANTIAGO GOMES;ROBERTO SANTIAGO;
;1948-04-06;161903;ROBERTO DORNER;ROBERTO DORNER;
;1961-10-02;160652;ROBERTO SÉRGIO RIBEIRO COUTINHO TEIXEIRA;ROBERTO TEIXEIRA;
;1949-09-25;74813;RONALDO RAMOS CAIADO;RONALDO CAIADO;
;1966-04-18;160653;ROBERTO ALVES DE LUCENA;ROBERTO DE LUCENA;
;1953-01-27;160651;ROGÉRIO MENDONÇA;ROGÉRIO PENINHA MENDONÇA;
;1964-09-22;150634;RICARDO QUIRINO DOS SANTOS;RICARDO QUIRINO;
;1962-04-24;172945;RICARDO ARRUDA NUNES;RICARDO ARRUDA;
;1951-04-03;141529;ROBERTO PEREIRA DE BRITTO;ROBERTO BRITTO;
;1942-04-20;73805;ROBERTO JOÃO PEREIRA FREIRE;ROBERTO FREIRE;
;1960-02-10;74793;RICARDO JOSÉ RIBEIRO BERZOINI;RICARDO BERZOINI;
;1981-04-22;169553;RICARDO CEPPAS ARCHER;RICARDO ARCHER;
;1954-06-15;74027;JOSÉ DE RIBAMAR COSTA ALVES;RIBAMAR ALVES;
;1968-08-01;160655;RICARDO IZAR JUNIOR;RICARDO IZAR;
;1980-04-11;160654;RENZO DO AMARAL BRAZ;RENZO BRAZ;
;1939-08-13;73786;REINHOLD STEPHANES;REINHOLD STEPHANES;
;1960-10-01;141527;RENATO DELMAR MOLLING;RENATO MOLLING;
;1962-02-03;175212;RENATO SIMÕES;RENATO SIMÕES;
;1979-10-08;160623;JOSÉ RENAN VASCONCELOS CALHEIROS FILHO;RENAN FILHO;
;1971-03-12;171620;RENATO BARBOSA DE ANDRADE;RENATO ANDRADE;
;1981-04-19;141403;CARLOS ROBERTO MASSA JÚNIOR;RATINHO JUNIOR;
;1963-05-13;160615;REINALDO AZAMBUJA SILVA;REINALDO AZAMBUJA;
;1951-03-30;74216;RAIMUNDO GOMES DE MATOS;RAIMUNDO GOMES DE MATOS;
;1966-12-02;160656;RAUL DA SILVA LIMA SOBRINHO;RAUL LIMA;
;1942-11-30;160516;RAIMUNDO ANTONIO DE MACEDO;RAIMUNDÃO;
;1964-10-01;160639;MARIA AUXILIADORA SEABRA REZENDE;PROFESSORA DORINHA SEABRA REZENDE;
;1963-03-19;170673;SERGIO PAULO DE OLIVEIRA;PROFESSOR SÉRGIO DE OLIVEIRA;
;1964-06-06;141523;RAUL JEAN LOUIS HENRY JÚNIOR;RAUL HENRY;
;1967-02-22;162174;ROBERTO POLICARPO FAGUNDES;POLICARPO;
;1963-03-10;160604;PEDRO FRANCISCO UCZAI;PEDRO UCZAI;
;1949-11-27;141543;SÉTIMO WAQUIM;PROFESSOR SETIMO;
;1973-06-21;160641;MARCIVANIA DO SOCORRO DA ROCHA FLEXA;PROFESSORA MARCIVANIA;
;1958-10-29;141445;GILBERTO JOSÉ SPIER VARGAS;PEPE VARGAS;
;1972-06-29;122158;PEDRO PAULO CARVALHO TEIXEIRA;PEDRO PAULO;
;1930-07-07;74207;PEDRO NOVAIS LIMA;PEDRO NOVAIS;
;1961-04-30;148134;VICTORIO GALLI FILHO;PROFESSOR VICTÓRIO GALLI;
;1957-04-19;74111;PEDRO HENRY NETO;PEDRO HENRY;
;1955-01-31;172711;FRANCISCO PLÍNIO VALÉRIO TOMAZ;PLÍNIO VALÉRIO;
;1945-12-27;80920;JOSÉ LUIZ DE FRANÇA PENNA;PENNA;
;1949-03-29;74556;PEDRO EUGÊNIO DE CASTRO TOLEDO CABRAL;PEDRO EUGÊNIO;
;1962-07-19;160593;PAULO WAGNER LEITE DANTAS;PAULO WAGNER;
;1961-05-06;141488;LUIZ PAULO TEIXEIRA FERREIRA;PAULO TEIXEIRA;
;1958-08-28;74812;PEDRO PINHEIRO CHAVES;PEDRO CHAVES;
;1981-09-14;174314;PEDRO DOS SANTOS LIMA GUERRA;PEDRO GUERRA;
;1955-07-17;74047;PAULO RUBEM SANTIAGO FERREIRA;PAULO RUBEM SANTIAGO;
;1949-03-02;74449;PEDRO FERNANDES RIBEIRO;PEDRO FERNANDES;
;1985-02-09;128760;PAULO CELSO FONSECA MARINHO JÚNIOR;PAULO MARINHO JUNIOR;
;1953-08-23;141519;PAULO PIAU NOGUEIRA;PAULO PIAU;
;1956-02-24;141518;PAULO PEREIRA DA SILVA;PAULO PEREIRA DA SILVA;
;1931-09-03;132056;PAULO SALIM MALUF;PAULO MALUF;
;1952-11-28;74574;PAULO SÉRGIO PARANHOS DE MAGALHÃES;PAULO MAGALHÃES;
;1965-03-19;74400;PAULO ROBERTO SEVERO PIMENTA;PAULO PIMENTA;
;1968-02-08;141517;PAULO HENRIQUE ELLERY LUSTOSA DA COSTA;PAULO HENRIQUE LUSTOSA;
;1959-02-04;109372;PAULO ADALBERTO ALVES FERREIRA;PAULO FERREIRA;
;1956-03-23;74017;PAULO FERNANDO FEIJO TORRES;PAULO FEIJÓ;
;1955-02-14;160558;PAULO ROBERTO FREIRE DA COSTA;PAULO FREIRE;
;1963-09-19;73883;PAULO ROBERTO BARRETO BORNHAUSEN;PAULO BORNHAUSEN;
;1956-04-30;160517;PAULO ROBERTO FOLETTO;PAULO FOLETTO;
;1952-07-16;160668;PAULO CESAR JUSTO QUARTIERO;PAULO CESAR QUARTIERO;
;1972-10-12;160601;MARCO ANTÔNIO FELICIANO;PASTOR MARCO FELICIANO;
;1968-11-04;160670;MÁRITON BENEDITO DE HOLANDA;PADRE TON;
;1962-09-12;160642;FRANCISCO EURICO DA SILVA;PASTOR EURICO;
;1967-02-28;160556;JOÃO CARLOS SIQUEIRA;PADRE JOÃO;
;1954-09-24;74095;PAUDERNEY TOMAZ AVELINO;PAUDERNEY AVELINO;
;1937-03-23;74319;JOSÉ FRANCISCO PAES LANDIM;PAES LANDIM;
;1965-03-23;160650;OZIEL ALVES DE OLIVEIRA;OZIEL OLIVEIRA;
;1936-12-30;74191;OSVALDO DE SOUZA REIS;OSVALDO REIS;
;1931-08-24;74430;OSVALDO DE SOUZA COELHO;OSVALDO COELHO;
;1950-02-18;73692;OSMAR GASPARINI TERRA;OSMAR TERRA;
;1940-03-22;160563;ONOFRE SANTO AGUSTINI;ONOFRE SANTO AGOSTINI;
;1954-10-03;74399;ONYX DORNELLES LORENZONI;ONYX LORENZONI;
;1957-04-15;73464;BERNARDINO BARRETO DE OLIVEIRA;OLIVEIRA FILHO;
;1969-06-19;160540;OTONIEL CARLOS DE LIMA;OTONIEL LIMA;
;1941-06-08;73782;ODILIO BALBINOTTI;ODÍLIO BALBINOTTI;
;1948-05-23;73463;OSMAR JOSÉ SERRAGLIO;OSMAR SERRAGLIO;
;1961-07-29;141515;OTAVIO SANTOS SILVA LEITE;OTAVIO LEITE;
;1976-06-18;74159;ODAIR JOSÉ DA CUNHA;ODAIR CUNHA;
;1969-02-25;166401;NILSON APARECIDO LEITÃO;NILSON LEITÃO;
;1960-02-09;74359;NILTON BALBINO;NILTON CAPIXABA;
;1947-08-11;74751;NILMÁRIO DE MIRANDA;NILMÁRIO MIRANDA;
;1956-02-05;73594;NILMAR GAVINO RUIZ;NILMAR RUIZ;
;1946-03-30;160564;OZANILDA GONDIM VITAL DO REGO;NILDA GONDIM;
;1952-03-25;74352;NILSON PINTO DE OLIVEIRA;NILSON PINTO;
;1953-02-28;160657;NEWTON LIMA NETO;NEWTON LIMA;
;1938-05-22;74750;NEWTON CARDOSO;NEWTON CARDOSO;
;1948-09-17;160566;NELSON PADOVANI;NELSON PADOVANI;
;1942-07-23;73781;NELSON MEURER;NELSON MEURER;
;1971-11-30;160567;NELSON MARCHEZAN JÚNIOR;NELSON MARCHEZAN JUNIOR;
;1950-01-14;73416;NELSON ROBERTO BORNIER DE OLIVEIRA;NELSON BORNIER;
;1941-10-29;73553;NELSON MARQUEZELLI;NELSON MARQUEZELLI;
;1962-07-22;141510;NEILTON MULIM DA COSTA;NEILTON MULIM;
;1967-07-27;133372;NATAN DONADON;NATAN DONADON;
;1936-10-29;74447;NICE LOBÃO;NICE LOBÃO;
;1959-04-23;74108;NÁRCIO RODRIGUES DA SILVEIRA;NARCIO RODRIGUES;
;1946-07-19;141537;RUBENS MOREIRA MENDES FILHO;MOREIRA MENDES;
2012-01-30;1942-11-25;74238;MOACIR MICHELETTO;MOACIR MICHELETTO;
;1956-12-11;160561;JOSÉ OLIMPIO SILVEIRA MORAES;MISSIONÁRIO JOSÉ OLIMPIO;
;1961-06-11;74787;MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;
;1945-05-27;74862;MIRO TEIXEIRA;MIRO TEIXEIRA;
;1966-07-12;74428;JOSÉ MENDONÇA BEZERRA FILHO;MENDONÇA FILHO;
;1954-12-27;73904;JORGE ALBERTO PORTANOVA MENDES RIBEIRO FILHO;MENDES RIBEIRO FILHO;
;1954-05-04;74491;JOSÉ NAZARENO CARDEAL FONTELES;NAZARENO FONTELES;
;1959-01-30;141508;MAURO NAZIF RASUL;MAURO NAZIF;
;1978-06-11;141509;MIGUEL CORRÊA DA SILVA JÚNIOR;MIGUEL CORRÊA;
;1966-10-14;74056;JOSÉ DE ARAÚJO MENDONÇA SOBRINHO;MENDONÇA PRADO;
;1936-05-24;74749;MAURO RIBEIRO LOPES;MAURO LOPES;
;1961-09-17;74045;MAURÍCIO RANDS COELHO BARROS;MAURÍCIO RANDS;
;1968-06-24;178827;MAX FREITAS MAURO FILHO;MAX FILHO;
;1964-01-08;141507;MAURO MARIANI;MAURO MARIANI;
;1930-03-21;73588;CARLOS MAURO CABRAL BENEVIDES;MAURO BENEVIDES;
;1979-07-26;75431;MAURÍCIO ALEXANDRE DZIEDRICKI;MAURÍCIO DZIEDRICKI;
;1962-09-10;141506;MAURÍCIO GONÇALVES TRINDADE;MAURÍCIO TRINDADE;
;1974-12-28;121759;MARLLOS ROSSANO RIBEIRO GONÇALVES DE SAMPAIO;MARLLOS SAMPAIO;
;1950-07-06;74635;MÁRIO SÍLVIO MENDES NEGROMONTE;MÁRIO NEGROMONTE;
;1953-09-02;168447;MARIO FEITOZA DE CARVALHO FREITAS;MÁRIO FEITOZA;
;1971-03-28;74050;MAURÍCIO QUINTELLA MALTA LESSA;MAURÍCIO QUINTELLA LESSA;
;1962-05-19;179880;MASSAMI MIKI;MASSAMI MIKI;
;1945-11-03;74747;MÁRIO DE OLIVEIRA;MÁRIO DE OLIVEIRA;
;1954-09-30;74158;MÁRIO LÚCIO HERINGER;MÁRIO HERINGER;
;1960-11-23;74177;MARINHA CÉLIA ROCHA RAUPP DE MATOS;MARINHA RAUPP;
;1958-10-14;164361;MARINA PIGNATARO SANT'ANNA;MARINA SANTANNA;
;1954-04-28;74235;MARCUS ANTÔNIO VICENTE;MARCUS VICENTE;
;1944-11-29;176794;MARIA LUCIA PRANDI GOMES;MARIA LUCIA PRANDI;
;1966-11-22;74398;MARIA DO ROSÁRIO NUNES;MARIA DO ROSÁRIO;
;1965-12-27;133373;MARCO AURÉLIO SPALL MAIA;MARCO MAIA;
;1942-11-03;74744;MÁRCIO REINALDO DIAS MOREIRA;MARCIO REINALDO MOREIRA;
;1950-06-10;171619;MARIA MARGARIDA MARTINS SALOMÃO;MARGARIDA SALOMÃO;
;1960-06-13;159238;MARCUS VINÍCIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;
;1978-07-07;167722;MARCOS ROGÉRIO DA SILVA BRITO;MARCOS ROGÉRIO;
;1958-01-31;160536;MARCO ANTONIO TEBALDI;MARCO TEBALDI;
;1970-12-12;150418;MÁRCIO CARLOS MARINHO;MÁRCIO MARINHO;
;1970-09-18;160542;MÁRCIO COSTA MACÊDO;MÁRCIO MACÊDO;
;1963-06-23;141497;MÁRCIO LUIZ FRANÇA GOMES;MÁRCIO FRANÇA;
;1968-01-27;141496;MÁRCIO HENRIQUE JUNQUEIRA PEREIRA;MARCIO JUNQUEIRA;
;1971-02-01;178821;MARCELO PEREIRA SURCIN;MARCELINHO CARIOCA;
;1963-06-28;74363;MÁRCIO MIGUEL BITTAR;MARCIO BITTAR;
;1964-10-14;74124;MARÇAL GONÇALVES LEITE FILHO;MARÇAL FILHO;
;1973-09-16;160660;MARCELO THEODORO DE AGUIAR;MARCELO AGUIAR;
;1968-05-26;76287;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;
;1967-09-28;160565;MARA CRISTINA GABRILLI;MARA GABRILLI;
;1976-03-01;74143;MARCELO DE OLIVEIRA GUIMARÃES FILHO;MARCELO GUIMARÃES FILHO;
;1946-03-04;171622;MANUEL ROSA DA SILVA;MANUEL ROSA NECA;
;1981-08-18;141492;MANUELA PINTO VIEIRA D'ÁVILA;MANUELA D'ÁVILA;
;1950-06-09;74460;MARCELO COSTA E CASTRO;MARCELO CASTRO;
;1939-09-24;74456;MANOEL SALVIANO SOBRINHO;MANOEL SALVIANO;
;1934-03-01;179382;MANOEL ANTUNES;MANOEL ANTUNES;
;1964-02-21;141490;MANOEL ALVES DA SILVA JUNIOR;MANOEL JUNIOR;
;1948-10-26;166402;MAGDA MOFATTO HON;MAGDA MOFATTO;
;1969-11-04;149327;FÁBIO RODRIGUES DE OLIVEIRA;MAJOR FÁBIO;
;1954-05-27;161906;LUIZ OTAVIO OLIVEIRA CAMPOS;LUIZ OTAVIO;
;1934-11-30;74784;LUIZA ERUNDINA DE SOUSA;LUIZA ERUNDINA;
;1975-09-14;161962;LUIZ NOÉ SOUZA SOARES;LUIZ NOÉ;
;1949-04-09;162332;LUIZ HILOSHI NISHIMORI;LUIZ NISHIMORI;
;1964-11-30;160633;LUIZ HENRIQUE MANDETTA;MANDETTA;
;1956-12-26;74802;GERALDO MAGELA PEREIRA;MAGELA;
;1977-10-08;160662;LUIZ FERNANDO ARANTES MACHADO;LUIZ FERNANDO MACHADO;
;1938-06-05;171618;LUIZ BARBOSA DE DEUS;LUIZ DE DEUS;
;1945-02-13;74041;LUIZ ALBUQUERQUE COUTO;LUIZ COUTO;
;1948-11-06;141485;LUIZ CARLOS GHIORZZI BUSATO;LUIZ CARLOS BUSATO;
;1979-08-16;160645;LUIZ CARLOS GOMES DOS SANTOS JUNIOR;LUIZ CARLOS;
;1980-06-23;160547;JOÃO LUIZ CORREIA ARGÔLO DOS SANTOS;LUIZ ARGÔLO;
;1950-10-08;73778;LUIZ CARLOS JORGE HAULY;LUIZ CARLOS HAULY;
;1953-01-03;74133;LUIZ ALBERTO SILVA DOS SANTOS;LUIZ ALBERTO;
;1950-09-14;73483;LUIS CARLOS HEINZE;LUIS CARLOS HEINZE;
;1957-03-23;73777;LUCIANO PIZZATTO;LUCIANO PIZZATTO;
2011-06-16;1952-07-29;160513;LUCIANO FERNANDES MOREIRA;LUCIANO MOREIRA;
;1972-12-27;141484;LÚCIO DUTRA VALE;LÚCIO VALE;
;1962-11-19;94931;LÚCIO QUADROS VIEIRA LIMA;LUCIO VIEIRA LIMA;
;1949-08-22;73982;LUCIANO DE SOUZA CASTRO;LUCIANO CASTRO;
;1957-09-12;141487;LUIZ FERNANDO RAMOS FARIA;LUIZ FERNANDO FARIA;
;1965-12-29;160628;LUCIANA BARBOSA DE OLIVEIRA SANTOS;LUCIANA SANTOS;
;1944-05-02;141486;LUIZ CARLOS SETIM;LUIZ CARLOS SETIM;
;1954-03-17;73474;LUCI TERESINHA KOSWOSKI CHOINACKI;LUCI CHOINACKI;
;1955-03-27;160555;LOURIVAL MENDES DA FONSECA FILHO;LOURIVAL MENDES;
;1952-09-01;141462;JOAQUIM DE LIRA MAIA;LIRA MAIA;
;1969-10-18;141483;LINDOMAR BARBOSA ALVES;LINDOMAR GARÇON;
;1949-11-29;160663;LEOPOLDO COSTA MEYER;LEOPOLDO MEYER;
;1953-11-03;74585;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;
;1970-02-23;160534;LAURIETE RODRIGUES PINTO;LAURIETE;
;1975-11-07;74367;LEANDRO VILELA VELLOSO;LEANDRO VILELA;
;1947-02-11;141480;LÁZARO BOTELHO MARTINS;LÁZARO BOTELHO;
;1957-07-03;141479;LAUREZ DA ROCHA MOREIRA;LAUREZ MOREIRA;
;1959-04-15;151208;LAERCIO JOSÉ DE OLIVEIRA;LAERCIO OLIVEIRA;
;1939-02-19;74742;LAEL VIEIRA VARELLA;LAEL VARELLA;
;1965-03-28;160648;RAIMUNDO COIMBRA JÚNIOR;JÚNIOR COIMBRA;
;1940-12-15;160544;JUNJI ABE;JUNJI ABE;
;1956-07-25;74783;JULIO FRANCISCO SEMEGHINI NETO;JULIO SEMEGHINI;
;1956-09-28;160659;IOLANDA KEIKO MIASHIRO OTA;KEIKO OTA;
;1959-04-06;74253;JULIO LUIZ BAPTISTA LOPES;JULIO LOPES;
;1966-11-18;73586;JÚLIO CÉSAR DELGADO;JÚLIO DELGADO;
;1960-04-22;160533;LILIAM SÁ DE PAULA;LILIAM SÁ;
;1946-12-11;160519;JÚLIO JOSÉ DE CAMPOS;JÚLIO CAMPOS;
;1948-08-25;74317;JÚLIO CÉSAR DE CARVALHO LIMA;JÚLIO CESAR;
;1951-06-04;73666;JOVAIR DE OLIVEIRA ARANTES;JOVAIR ARANTES;
;1944-05-27;74351;JOSUÉ BENGTSON;JOSUÉ BENGTSON;
;1954-06-21;141562;WELINGTON COIMBRA;LELO COIMBRA;
;1949-11-06;4929;JOSEPH WALLACE FARIA BANDEIRA;JOSEPH BANDEIRA;
;1956-10-14;74141;JOSIAS GOMES DA SILVA;JOSIAS GOMES;
;1957-08-11;160607;JOSE LUIZ STÉDILE;JOSE STÉDILE;
;1963-12-02;74079;JOSÉ BENITO PRIANTE JÚNIOR;JOSÉ PRIANTE;
;1950-12-18;160619;JOSÉ NUNES SOARES;JOSÉ NUNES;
;1960-10-29;160396;JOSÉ HUMBERTO SOARES;JOSÉ HUMBERTO;
;1948-08-18;74554;JOSÉ ALVES ROCHA;JOSÉ ROCHA;
;1942-06-08;74423;JOSÉ SEVERIANO CHAVES;JOSÉ CHAVES;
;1930-10-21;74297;JOSÉ LINHARES PONTE;JOSÉ LINHARES;
;1946-05-03;73540;JOSÉ GENOÍNO NETO;JOSÉ GENOÍNO;
;1959-02-13;141470;JOSÉ NOBRE GUIMARÃES;JOSÉ GUIMARÃES;
;1953-05-27;73875;JOSÉ CARLOS VIEIRA;JOSÉ CARLOS VIEIRA;
;1956-01-20;160661;JOSÉ AUGUSTO MAIA;JOSÉ AUGUSTO MAIA;
;1947-08-09;73536;JOSÉ ANÍBAL PERES DE PONTES;JOSÉ ANÍBAL;
;1957-02-21;141464;JOSÉ AIRTON FÉLIX CIRILO DA SILVA;JOSÉ AIRTON;
;1944-12-21;74140;JOSÉ CARLOS LEÃO DE ARAÚJO;JOSÉ CARLOS ARAÚJO;
;1957-06-02;160560;JOSÉ DE FILIPPI JÚNIOR;JOSÉ DE FILIPPI;
;1956-07-15;160509;JORGINHO DOS SANTOS MELLO;JORGINHO MELLO;
;1951-05-09;160572;JORGE WICKS CÔRTE REAL;JORGE CÔRTE REAL;
;1948-09-30;74275;JOSÉ MENTOR GUILHERME DE MELLO NETTO;JOSÉ MENTOR;
;1955-11-05;74388;JORGE CATARINO LEONARDELI BOEIRA;JORGE BOEIRA;
;1965-06-25;160548;JONAS DONIZETTE FERREIRA;JONAS DONIZETTE;
;1957-10-25;141461;JOAQUIM BELTRÃO SIQUEIRA;JOAQUIM BELTRÃO;
;1967-03-23;160571;JOÃO RODRIGUES;JOÃO RODRIGUES;
