cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
;1947-03-06;170489;DILSON MALHEIROS DRUMOND;DR. DILSON DRUMOND;
;1952-06-03;160643;JORGE SILVA;DR. JORGE SILVA;
;1940-09-11;141371;ADILSON SOARES;DR. ADILSON SOARES;
;1956-03-20;74197;DOMINGOS FRANCISCO DUTRA FILHO;DOMINGOS DUTRA;
;1954-08-13;74265;DIMAS EDUARDO RAMALHO;DIMAS RAMALHO;
;1968-07-13;160529;ALUIZIO DOS SANTOS JUNIOR;DR. ALUIZIO;
;1973-05-23;160599;DIMAS FABIANO TOLEDO JÚNIOR;DIMAS FABIANO;
;1948-01-26;73768;DILCEU JOÃO SPERAFICO;DILCEU SPERAFICO;
;1972-07-26;160514;RODRIGO MOREIRA LADEIRA GRILO;DR. GRILO;
;1977-08-08;160588;DIEGO LEONARDO DE ANDRADE CARVALHO;DIEGO ANDRADE;
;1971-06-16;174854;DENÍLSON FRANCISCO TEIXEIRA;DENILSON TEIXEIRA;
;1944-02-02;74264;DEVANIR RIBEIRO;DEVANIR RIBEIRO;
;1962-11-28;164359;WALDIR SOARES DE OLIVEIRA;DELEGADO WALDIR;
;1959-08-28;74172;WANDERLEY ALVES DE OLIVEIRA;DELEY;
;1959-05-20;160606;PROTÓGENES PINHEIRO DE QUEIROZ;DELEGADO PROTÓGENES;
;1945-09-29;118384;CARLOS ALBERTO LOPES;DR. CARLOS ALBERTO;
;1976-11-22;141412;DAVI ALVES SILVA JÚNIOR;DAVI ALVES SILVA JÚNIOR;
;1967-04-21;160528;DANILO JORGE DE BARROS CABRAL;DANILO CABRAL;
;1958-09-01;62881;FRANCISCO DANILO BASTOS FORTE;DANILO FORTE;
;1955-01-21;74060;DANIEL GOMES DE ALMEIDA;DANIEL ALMEIDA;
;1978-03-23;114586;CRISTIANO JOSÉ RODRIGUES DE SOUZA;CRISTIANO;
;1960-10-01;141413;DÉCIO NERY DE LIMA;DÉCIO LIMA;
;1952-04-28;74467;DAMIÃO FELICIANO DA SILVA;DAMIÃO FELICIANO;
;1939-07-28;74016;ANTONIO DA CONCEIÇÃO COSTA FERREIRA;COSTA FERREIRA;
;1972-05-10;141408;CLEBER VERDE CORDEIRO MENDES;CLEBER VERDE;
;1952-10-02;74230;COLBERT MARTINS DA SILVA FILHO;COLBERT MARTINS;
;1970-08-02;160557;CLAUDIO ALBERTO CASTELO BRANCO PUTY;CLÁUDIO PUTY;
;1961-04-25;141502;MARIA DALVA DE SOUZA FIGUEIREDO;DALVA FIGUEIREDO;
;1965-02-18;160580;MARIA APARECIDA BORGHETTI;CIDA BORGHETTI;
;1954-03-10;160576;CESAR HANNA HALUM;CÉSAR HALUM;
;1954-08-01;74379;CEZAR AUGUSTO CAROLLO SILVESTRI;CEZAR SILVESTRI;
;1958-07-22;160664;CÉSAR ROBERTO COLNAGHI;CESAR COLNAGO;
;1963-12-01;74537;CLÁUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;
;1957-01-19;73568;CELSO ALENCAR RAMOS JACOB;CELSO JACOB;
;1953-08-30;141405;CELSO MALDANER;CELSO MALDANER;
