org:member;org:postIn;org:role;org:startDate;owner;resource_uri
3372;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;7de43bc4-4e9a-4d43-b919-28f71edc5c16
5535;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-04-14;;2d4a17c5-3ec9-41ed-9f22-aee845cf5730
5535;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;2d4a17c5-3ec9-41ed-9f22-aee845cf5730
3396;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;b097fc18-1aa0-4f77-b848-5f9452f59344
5527;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;af78536f-1100-412f-8c28-6ef9333d31dd
5106;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-11-08;635;7d0c8a03-2c39-481f-aacd-e671c871f017
4560;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;63fa0f87-69a6-40e3-ba5a-9ec52d5e4cf1
5038;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-01-01;4994;e2591095-bb0d-42f3-9aba-13da277d7d0b
5048;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-06-14;5006;1f53bc51-7110-43e9-a833-38506eace066
2331;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;3730a87c-1bd2-48e6-b689-bfd6dacf1cdd
5110;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2018-05-02;111;60129c5c-dd11-45ac-a65a-1f6d11efd821
5322;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;3a4eacbb-bfbb-4c7f-908f-1c64e00237de
73;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-24;;c1127fd3-fa11-471a-91b3-433b4a9ba6bc
73;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;c1127fd3-fa11-471a-91b3-433b4a9ba6bc
4593;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;aa83f904-3741-438a-997d-c0be780d1eec
456;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;334e3067-8f5d-447d-b54f-74c7f416afd6
677;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-01-27;;6abdd1c1-860e-4aae-915c-78d739ce3035
677;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;6abdd1c1-860e-4aae-915c-78d739ce3035
72;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;69bbedc0-b5a1-4b0f-81a0-00d0e1fbbea4
5052;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2017-10-19;604;03611979-45e6-414d-bf19-b11191bd2845
5052;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-06-06;604;03611979-45e6-414d-bf19-b11191bd2845
5635;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-10-07;1023;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
5635;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-23;1023;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
5635;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-11-11;1023;4d618e12-c383-44ab-9c39-1d34fa2a4c1b
635;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2018-03-08;;7d0c8a03-2c39-481f-aacd-e671c871f017
635;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;7d0c8a03-2c39-481f-aacd-e671c871f017
5236;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;1ce4b695-be99-4ed6-8798-43ef84939cd9
70;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;1b52d40a-e111-4661-8d42-45028c694d9a
5182;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-01-01;5016;0dc1bc2a-54e2-407c-9a95-ec8eb537eff6
5116;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-17;3360;22546c04-3a0f-43de-a0fc-546dc1272b92
5012;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;7e1fa3c6-74fb-42a4-bd3a-6b2610e7b65d
5072;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-07-13;5004;a0e4d335-6ae6-4c3e-b71f-22ff85e63389
2207;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-12-22;4645;ecb05c62-f2f5-4037-ae51-533e60a633ea
374;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;1cb001cf-4599-4c07-b6cd-138a83989a79
5010;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;e4e8be28-61e7-47cb-a4f0-46ccffd3a9ee
4606;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-10-05;677;6abdd1c1-860e-4aae-915c-78d739ce3035
