sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slnp:resource_uri
5621;Rudson Leite da Silva;Rudson Leite;bdff27a3-bc83-40b5-bdd4-8391c7a777e5
4847;Salomão Alcolumbre Júnior;Salomão Alcolumbre Júnior;aa343aa2-ad5d-45c4-88d1-0f998f7a2b1c
2331;Rosilda de Freitas;Rose de Freitas;67ccee0c-9a35-4379-96c6-0d94517240b1
5601;Roosevelt Vita;Roosevelt Vita;15f6c4e1-7866-4d6b-8b06-c68b74f34280
5110;Manoel Antônio Rodrigues Palma;Rodrigues Palma;3ba55941-dc1f-418e-8dca-4c35d5d9d2ab
5322;Romario de Souza Faria;Romário;72c0393e-79e4-4bf0-9bfb-0daeb5d20041
73;Romero Jucá Filho;Romero Jucá;84e4c713-a00a-49ae-a3e5-3d415fba8de5
4593;Rodrigo Sobral Rollemberg;Rodrigo Rollemberg;4361d273-5947-4597-adee-f3add02a12f3
456;Ronaldo Ramos Caiado;Ronaldo Caiado;d0fac895-d8ef-48b1-bb9d-5f5170fee734
5098;Roberto Wagner Monteiro;Roberto Wagner Monteiro;6b04c2d2-6249-4302-a9c5-5a0e28cff224
677;Roberto Coelho Rocha;Roberto Rocha;9142f343-a65b-4676-9e85-b776fcecce4e
72;Roberto Requião de Mello e Silva;Roberto Requião;dc60217c-0d92-44a0-a210-7a8b0bd5f672
5052;Roberto de Oliveira Muniz;Roberto Muniz;8cf10beb-42e1-41b0-8791-6d84cc16558d
5635;Ricardo Barreto Franco;Ricardo Franco;e8b11aad-a268-4b52-8b38-b4e8eb0d808e
635;Ricardo de Rezende Ferraço;Ricardo Ferraço;67467a48-f2a7-4ba6-90af-5d07e0692a81
5236;José Antônio Machado Reguffe;Reguffe;ac1e4ec6-8f3c-420d-b07f-e652eaace968
70;José Renan Vasconcelos Calheiros;Renan Calheiros;22c978c0-fdf6-4cce-be19-f4f46770718c
5182;Maria Regina Sousa;Regina Sousa;01760840-8d85-4a14-ae7f-c5b78fb57df5
5116;Pedro Chaves dos Santos Filho;Pedro Chaves;5e973d44-2731-4a1a-9879-32fa13dfdeb8
5012;Randolph Frederich Rodrigues Alves;Randolfe Rodrigues;8eedb3bf-8e87-459a-9b0a-3ddf53a0e9e1
5050;Pedro Irno Tonelli;Pedro Irno Tonelli;06dd3d2f-c068-4e90-92b5-f122b12b5fc7
5072;Reditario Cassol;Reditario Cassol;bbffdcfb-9793-47a4-844f-43c419235286
2207;Raimundo Lira;Raimundo Lira;77aacc4f-a0ce-447c-847d-727d1a150e41
374;Paulo Roberto Galvão da Rocha;Paulo Rocha;2898a985-05d8-4aa0-bf1a-9a1ca8fd524c
5010;José Pedro Gonçalves Taques;Pedro Taques;794a74c9-f834-45e0-84bc-058250b458d2
4606;José Eleonildo Soares;Pinto Itamaraty;94b7d3fd-f5c7-464a-9568-b1883cc395b5
825;Paulo Renato Paim;Paulo Paim;a1d33818-4807-4c45-9a6f-8db1e12a0708
5589;Paulo Henrique Campos Matos;Paulo Matos;e8548a1e-fdaa-426c-bbae-a59830f5bb05
5114;Paulo Pereira Fíuza Filho;Paulo Pereira Fíuza Filho;b1c81864-5014-4750-8d1d-20145aa7ecdf
824;Paulo José Gouvêa;Paulo Gouvêa;ed3219bf-3846-4097-945d-25cc5e37a6cc
3741;Paulo Roberto Bauer;Paulo Bauer;2096d988-a25d-4af6-9032-53163648dacf
5020;Paulo Roberto Davim;Paulo Davim;1b3cf4c9-df11-4b9b-ab04-4696813316cb
5122;Paulo Antenor de Oliveira;Paulo Antenor de Oliveira;687f9449-eae6-4810-8ac6-15e1907fa1be
5152;Paulo Frateschi;Paulo Frateschi;cd77dc6e-4c17-490a-8390-31ccbd74be68
5018;Heber Waldo Silva Costa;Pastor Bel;988ef563-72fa-42f1-a7f1-02f736352621
5617;Sebastião Valadares Neto;Pastor Valadares;28357c7e-3936-4843-a5ee-844670006d9e
5599;Ibanes Taveira da Silva;Pastor Ibanes Taveira;b9124f79-9536-4036-a13f-13c33433ce62
5523;Otto Roberto Mendonça de Alencar;Otto Alencar;b113ffa4-b745-4911-a4d7-ff2c0290ba33
918;Amarildo Martins da Silva;Pastor Amarildo;5fdb2567-9b92-4852-8ae8-d3bde3a9ec4c
5525;Omar José Abdel Aziz;Omar Aziz;9be4ce66-4c3c-459f-9b02-75afebb6b07b
5080;Pablo Sergio Souza Bezerra;Pablo Sergio Souza Bezerra;8115d4a2-6e79-4e83-9982-16d6ded8b86b
5060;Olney Ribeiro Botelho;Olney Ribeiro Botelho;3c2489c8-2394-48ac-aee5-459d134fa7fc
288;Nilson Moura Leite Mourão;Nilson Mourão;fa9d260b-4bb8-40e8-8237-6c36910f0c2e
5176;Nestor Duarte Guimarães Neto;Nestor Duarte Guimarães Neto;a4cdc2aa-58c2-4400-80ff-81df5751a1ca
5094;Márcio Bergonsi Turra;Márcio Bergonsi Turra;8ed47306-3b66-494c-bec1-65245204fabd
380;Nicias Lopes Ribeiro;Nicias Ribeiro;57f59fd6-000f-4712-ab67-67111ca20277
5086;Miguel Dias de Souza;Miguel Dias de Souza;47bbd50b-4613-407b-976e-eb988275a796
5281;Ozanilda Gondim Vital do Rego;Nilda Gondim;e6151e4a-7a43-4a36-88a1-8846fd93a937
5595;Moacir Kohl;Moacir Kohl;fea99295-e819-4d0a-8351-c6a3bb8ca9c7
64;Odacir Soares Rodrigues;Odacir Soares;d379f530-2980-49f3-8bc0-cf6777b9abb3
5142;Marta Maria Freire da Costa;Marta Maria Freire da Costa;6e1d05f8-5214-4567-8e6b-53b8a37f5699
5571;Marco Jeovano Soares Ribas;Marquinho;625b80ee-f645-4712-88ee-7d2d40e40dd3
4998;Marinor Jorge Brito;Marinor Brito;d8eac7da-f942-4270-8581-c16479bee8a1
1023;Maria do Carmo do Nascimento Alves;Maria do Carmo Alves;28c06ab6-4c7d-4d8d-b444-5bce2e9b8092
5000;Marta Teresa Suplicy;Marta Suplicy;7c9e85ec-10c8-4c1f-96f7-9ac80cce5c2d
670;Mauro de Alencar Fecury;Mauro Fecury;53b1e990-b31f-4240-8f78-3319fae11c66
5575;Marizete Lisboa Fernandes Pereira;Marizete;58346859-26e8-4d28-a35f-1f427c74ec4d
5174;Maria de Pompeia Lins Pessoa;Maria de Pompeia Lins Pessoa;716a7890-cad9-40d8-a104-c23871235ab9
5190;Maria Luza de Aquino Machado;Maria Luza de Aquino Machado;611701af-fb70-4567-933f-f8247449db0d
5124;Maria Antonieta Amorim dos Santos;Maria Antonieta Amorim dos Santos;061e42ba-da13-4603-803e-6403e5e5dbb4
4951;Manoel Angelo Chagas;Manoel Angelo Chagas;8235de01-4265-4fb0-987e-321e9c9f95f1
710;Marcondes Iran Benevides Gadelha;Marcondes Gadelha;29e87930-e298-4d2a-98f3-24c51543ce9b
3366;Marcelo Bezerra Crivella;Marcelo Crivella;c9488653-10eb-4cbd-b463-51a892acb032
5591;Manoel Francisco de Vasconcelos Motta;Manoel Motta;74ebbe70-0630-463b-bb87-63245f3abf05
631;Magno Pereira Malta;Magno Malta;4ac44cff-d4db-4e3f-b18d-908834c67ffa
5557;Mailza Assis da Silva;Mailza Gomes;920972c7-31fe-4b6a-8a55-9ebdbed1d2c9
151;Luiz Osvaldo Pastore;Luiz Pastore;522c8b91-1755-4a8e-bcbf-deccb5471daa
643;Lúcia Vânia Abrão;Lúcia Vânia;d08b4fd9-ac97-4a7c-a82d-e82935aeeec4
5058;Luís Guilherme Gomes Mussi;Luís Guilherme Gomes Mussi;0d9e16bc-0023-40f5-8f5a-eecb93563d99
4575;Lídice da Mata e Souza;Lídice da Mata;b7438e5f-7c24-4c31-b04b-d7743452b22e
5002;Luiz Henrique da Silveira;Luiz Henrique;eb16ebfc-6335-45d0-8981-8c78ab9235be
5567;Luis Augusto Mitoso Junior;Luis Mitoso;26517902-89df-4849-86d0-21d3bff4f19b
5585;Luiz Carlos do Carmo;Luiz Carlos do Carmo;79cf23d3-541d-4b9e-854c-c301b829b4e9
5104;Luis Cláudio da Costa Avelar;Luis Cláudio da Costa Avelar;13923a90-75e4-4684-bd50-7f2d29b964b4
